表8-2湖南省育龄妇女分年龄、孩次的生育状况-年龄别-年龄别,平均育龄妇女人数-平均育龄妇女人数,出生人数-出生人数,生育率（‰）-生育率（‰）,第一孩-出生数,第一孩-生育率,单位：人，‰-第二孩-出生数,单位：人，‰-第二孩-生育率,单位：人，‰-第三孩及以上-出生数,单位：人，‰-第三孩及以上-生育率
总计,168025,5937,35,3609,21,2047,12,281,2
15-19,25072,109,4,108,4,1,0,0,0
15,7133,0,0,0,0,0,0,0,0
16,5792,3,1,3,1,0,0,0,0
17,5050,15,3,15,3,0,0,0,0
18,3825,17,4,17,4,0,0,0,0
19,3272,74,23,73,22,1,0,0,0
20-24,18271,2289,125,2107,115,163,9,19,1
20,3209,278,87,264,82,13,4,1,0
21,3538,418,118,400,113,16,5,2,1
22,4146,577,139,533,129,40,10,4,1
23,4055,567,140,513,127,44,11,10,2
24,3323,449,135,397,119,50,15,2,1
25-29,18687,1839,98,1067,57,694,37,78,4
25,3723,441,118,354,95,81,22,6,2
26,3485,401,115,259,74,127,36,15,4
27,3363,331,98,188,56,131,39,12,4
28,3818,324,85,141,37,167,44,16,4
29,4298,342,80,125,29,188,44,29,7
30-34,26202,1165,44,247,9,832,32,86,3
30,4856,305,63,89,18,197,41,19,4
31,5066,263,52,57,11,189,37,17,3
32,5320,223,42,40,8,162,30,21,4
33,5148,192,37,30,6,144,28,18,4
34,5812,182,31,31,5,140,24,11,2
35-39,32023,415,13,63,2,284,9,68,2
35,6272,144,23,18,3,101,16,25,4
36,7422,121,16,21,3,86,12,14,2
37,6096,55,9,12,2,34,6,9,1
38,5720,48,8,5,1,29,5,14,2
39,6513,47,7,7,1,34,5,6,1
40-44,26521,79,3,11,0,48,2,20,1
40,6753,22,3,2,0,13,2,7,1
41,6904,21,3,3,0,14,2,4,1
42,7268,22,3,2,0,14,2,6,1
43,3157,9,3,2,1,4,1,3,1
44,2439,5,2,2,1,3,1,0,0
45-49,21249,41,2,6,0,25,1,10,0
45,3269,5,2,1,0,4,1,0,0
46,3589,6,2,1,0,3,1,2,1
47,4950,9,2,0,0,3,1,6,1
48,4939,12,2,3,1,8,2,1,0
49,4502,9,2,1,0,7,2,1,0
