8-2  居民消费价格分类指数-上年=100-指标名称,8-2  居民消费价格分类指数-上年=100-2015,8-2  居民消费价格分类指数-上年=100-2020,8-2  居民消费价格分类指数-上年=100-2021,8-2  居民消费价格分类指数-上年=100-2022
居民消费价格总指数,101.0,103,101,102
食品烟酒,,108,100,103
食品,103.0,111,99,104
茶及饮料,104.0,105,104,101
烟酒,98.0,101,100,100
在外餐饮,,103,104,102
衣着,101.0,100,102,101
服装,100.0,101,101,100
鞋类,,97,105,102
居住,99.0,101,100,100
租赁房房租,,103,100,100
住房保养维修及管理,,100,101,101
水电燃料,97.0,100,101,100
自有住房,101.0,101,100,99
生活用品及服务,,101,100,101
家具及室内装饰品,,101,100,100
家用器具,,101,101,101
家用纺织品,,101,98,99
家庭日用杂品,100.0,101,100,99
个人护理用品,,101,98,101
家庭服务,,103,100,112
交通和通信,99.0,96,105,105
交通,98.0,95,106,107
通信,99.0,99,102,100
教育文化和娱乐,,101,101,101
教育,102.0,100,101,102
文化娱乐,100.0,102,101,100
医疗保健,107.0,101,99,100
药品及医疗器具,,103,99,100
医疗服务,,100,99,100
其他用品和服务,,103,96,102
其他用品类,,108,100,103
其他服务类,,98,92,100
