表19-13分地区环境保护情况(2022年)-指标,表19-13分地区环境保护情况(2022年)-市区,表19-13分地区环境保护情况(2022年)-常熟,表19-13分地区环境保护情况(2022年)-张家港,表19-13分地区环境保护情况(2022年)-昆　山,表19-13分地区环境保护情况(2022年)-太　仓
工业废水排放量               (万吨),18 849,5 784,3 642,2 824,3 158
工业废水处理量,23 209,6 721,90 623,4 840,3 233
工业废气排放总量          (亿立方米),5 669,4 063,10 166,2 934,1 378
工业二氧化硫产生量             (吨),89 240,311 855,180 467,5 951,126 309
工业二氧化硫排放量,1 277,5 069,11 287,466,2 629
工业化学需氧量产生量,82 737,96 678,15 941,9 462,82 051
工业化学需氧量排放量,6 278,1 783,1 277,511,1 452
工业氨氮产生量,4 290,913,746,385,313
工业氨氮排放量,208,64,48,13,107
工业氮氧化物产生量,22 600,46 399,71 531,6 487,31 411
工业氮氧化物排放量,5 647,10 794,14 048,1 730,6 625
工业烟（粉）尘产生量,1 189 153,3 147 412,3 418 325,105 133,1 820 235
工业烟（粉）尘排放量,1 517,2 298,8 373,545,541
一般工业固体废物产生量         (万吨),387,627,1 690,85,328
一般工业固体废物处置量,11,38,23,8,31
一般工业固体废物综合利用量,376,589,1 667,78,296
环境污染治理本年投资总额      (万元),894 138,439 393,517 800,778 545,286 437
空气质量优良天数比例（%）,81,79,83,81,83
工业锅炉                      (台),563,194,78,229,70
工业炉窑                      (台),627,173,197,244,106
