国民经济核算,2017,2018,2019,2020,2021
本地生产总值,854.0,918.0,1017.0,1127.0,1285.0
第一产业,1.0,2.0,2.0,2.0,2.0
第二产业,596.0,627.0,685.0,757.0,875.0
第三产业,257.0,289.0,330.0,368.0,408.0
,,,,,
财政,,,,,
,2017.0,2018.0,2019.0,2020.0,2021.0
一般公共预算收入,50.0,53.0,59.0,66.0,79.0
一般公共预算支出,138.0,121.0,133.0,148.0,182.0
,,,,,
固定资产投资,,,,,
,2017.0,2018.0,2019.0,2020.0,2021.0
固定资产投资增速,0.0,0.0,0.0,0.0,0.0
房地产开发投资增速,0.0,0.0,0.0,1.0,0.0
非房地产开发项目增速,0.0,0.0,0.0,0.0,0.0
,,,,,
,,,,,
工业,,,,,
,2017.0,2018.0,2019.0,2020.0,2021.0
规模以上工业总产值,2004.0,2206.0,2560.0,2891.0,3650.0
,,,,,
,,,,,
商业,,,,,
,2017.0,2018.0,2019.0,2020.0,2021.0
社会消费品零售总额,120.0,182.0,196.0,196.0,220.0
限额以上批发零售商品销售总额,150.0,251.0,209.0,235.0,355.0
