1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-指标,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-Item,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-1996,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2000,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2005,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2010,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2018,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2019,1－5平均每天主要社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2020,2021
每天创造的财富,Daily Production,,,,,,,,
本市生产总值（万元）,Gross Domestic Product (10 000 yuan),36340,49919,94475,220966,591474,646733,686067.0,764220.0
第一产业,Primary Industry,7878,7684,12468,17794,37772,42509,49412.0,52658.0
第二产业,Secondary Industry,15759,21223,42717,99291,242253,257314,273139.0,306437.0
＃工    业,Industry,13886,17645,35476,80699,171729,179502,191528.0,216128.0
第三产业,Tertiary Industry,12702,21013,39290,103881,311449,346910,363516.0,405125.0
一般公共预算收入（万元）,General Public Budget Revenue (10 000 yuan),,,,,62070,58491,57393.0,62615.0
粮    食（吨）,Grain (ton),32113,30992,32005,31675,29571,29458,29628.0,29941.0
油    料（吨）,Oil-bearing Crops (ton),647,851,1170,1218,1745,1786,1838.0,1876.0
猪  肉（吨）,Pork (ton),3128,3355,3958,3812,3621,3070,2981.0,3891.0
水产品（吨）,Aquatic Products (ton),385,549,687,615,1451,1484,1436.0,1494.0
天然气（万立方米）,Natural Gas (10 000 cu.m),715,1068,1564,1849,2925,3028,3563.0,3823.0
发电量（万千瓦小时）,Electricity (10 000 kwh),3527,4600,6412,12513,21153,20867,21348.0,25505.0
钢    材（吨）,Steel Products (ton),3221,4301,8074,19176,33114,31136,35889.0,35903.0
水    泥（吨）,Cement (ton),17774,38432,57553,125974,180180,185010,178225.0,170766.0
汽    车（辆）,Motor Vehicles (unit),340,674,1155,4427,4715,3789,4329.0,5474.0
＃轿  车,Cars,37,132,420,2333,1237,727,788.0,1084.0
摩托车（辆）,Motorcycles (unit),4859,5235,11530,23267,12512,11159,13399.0,12011.0
每天消费量,Daily Consumption,,,,,,,,
一般公共预算支出（万元）,General Public Budget Expenditure (10 000 yuan),,,,,124410,132813,134081.0,132467.0
社会消费品零售总额（万元）,Total Retail Sales of Consumer Goods (10 000 yuan),14087,20973,37331,96300,293294,318676,322937.0,382676.0
每天其他经济活动,Other Daily Economic Activities,,,,,,,,
客运量（万人）,Passenger Traffic (10 000 persons),116,156,166,347,174,174,109.0,97.0
货运量（万吨）,Freight Traffic (10 000 tons),67,74,107,223,351,309,333.0,395.0
港口货物吞吐量（万吨）,Cargo Throughput of Ports (10 000 tons),3,7,14,26,56,47,45.0,54.0
邮电业务收入（万元）,"Business Revenue from Postal and
 Telecommunication Services (10 000 yuan)",458,1491,3073,4906,10104,10688,11359.0,12619.0
进出口总额（万美元）,Total Imports and Exports (USD 10 000),434,489,1176,3404,21655,23004,25802.0,33927.0
出  口,Exports,163,273,691,2052,14076,14739,16583.0,21920.0
进  口,Imports,272,217,486,1353,7579,8264,9219.0,12007.0
实际使用外资（万美元）,Actual Utilization of Foreign Capital (USD 10 000),60,67,141,834,890,648,576.0,613.0
接待入境旅游人数（人次）,Number of Overseas Vistior Arrival Received (person-time),443,729,1435,3754,10631,11270,401.0,271.0
,,,,,,,,,
注：2006年以前工业产品产量为国有及规模以上非国有工业企业数，2007年起为规模以上工业企业数，2015年起天然气和发电量为全口径工业企业数据。,,,,,,,,,
Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,Note: The output of industrial products before 2006 is based on the state-owned industrial enterprises and non-state-owned industrial enterprises above designated size; while it is based on the industrial enterprises above designated size since 2007. And the data of natural gas and electricity about the industrial enterprises are those of full coverage since 2015.,,
