规模以上服务业企业主要经济指标（分行业）-2020年1-5月-行业-行业,规模以上服务业企业主要经济指标（分行业）-2020年1-5月-营业收入（亿元）-营业收入（亿元）,规模以上服务业企业主要经济指标（分行业）-2020年1-5月-比去年同期增长(%)-比去年同期增长(%),规模以上服务业企业主要经济指标（分行业）-2020年1-5月-营业利润（亿元）-营业利润（亿元）,规模以上服务业企业主要经济指标（分行业）-2020年1-5月-比去年同期增长(%)-比去年同期增长(%).1
总  计,11985,(7),367,(53)
#交通运输、仓储和邮政业,3955,(6),(5),-
信息传输、软件和信息技术服务业,2511,10,171,(13)
电信、广播电视和卫星传输服务,340,(3),47,(13)
互联网和相关服务,969,12,(32),-
软件和信息技术服务业,1201,12,156,57
租赁和商务服务业,3493,(16),189,(41)
租赁业,69,(11),1,(69)
商务服务业,3424,(16),187,(40)
科学研究和技术服务业,1049,(2),30,(6)
水利、环境和公共设施管理业,162,(6),(6),-
居民服务、修理和其他服务业,100,(25),1,(86)
教育,71,(8),(4),-
卫生和社会工作,66,(24),(9),-
文化、体育和娱乐业,133,(29),(31),-
,,,,
规模以上服务业企业统计范围、采集渠道及主要指标解释,规模以上服务业企业统计范围、采集渠道及主要指标解释,规模以上服务业企业统计范围、采集渠道及主要指标解释,规模以上服务业企业统计范围、采集渠道及主要指标解释,规模以上服务业企业统计范围、采集渠道及主要指标解释
一、统计范围,,,,
本表统计范围为从事交通运输、仓储和邮政业，信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，教育，以及卫生、物业管理、房地产中介服务、房地产租赁经营和其他房地产业等国民经济行业，年营业收入在1000万元及以上的，执行企业会计准则的法人单位；从事居民服务、修理和其他服务业，文化、体育和娱乐业，以及社会工作等国民经济行业，年营业收入在500万元及以上的，执行企业会计准则的法人单位。,    本表统计范围为从事交通运输、仓储和邮政业，信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，教育，以及卫生、物业管理、房地产中介服务、房地产租赁经营和其他房地产业等国民经济行业，年营业收入在1000万元及以上的，执行企业会计准则的法人单位；从事居民服务、修理和其他服务业，文化、体育和娱乐业，以及社会工作等国民经济行业，年营业收入在500万元及以上的，执行企业会计准则的法人单位。,    本表统计范围为从事交通运输、仓储和邮政业，信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，教育，以及卫生、物业管理、房地产中介服务、房地产租赁经营和其他房地产业等国民经济行业，年营业收入在1000万元及以上的，执行企业会计准则的法人单位；从事居民服务、修理和其他服务业，文化、体育和娱乐业，以及社会工作等国民经济行业，年营业收入在500万元及以上的，执行企业会计准则的法人单位。,    本表统计范围为从事交通运输、仓储和邮政业，信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，教育，以及卫生、物业管理、房地产中介服务、房地产租赁经营和其他房地产业等国民经济行业，年营业收入在1000万元及以上的，执行企业会计准则的法人单位；从事居民服务、修理和其他服务业，文化、体育和娱乐业，以及社会工作等国民经济行业，年营业收入在500万元及以上的，执行企业会计准则的法人单位。,    本表统计范围为从事交通运输、仓储和邮政业，信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，教育，以及卫生、物业管理、房地产中介服务、房地产租赁经营和其他房地产业等国民经济行业，年营业收入在1000万元及以上的，执行企业会计准则的法人单位；从事居民服务、修理和其他服务业，文化、体育和娱乐业，以及社会工作等国民经济行业，年营业收入在500万元及以上的，执行企业会计准则的法人单位。
二、采集渠道,,,,
服务业规模以上企业统计按照《服务业统计报表制度》规定，采用全面调查的方法，经过各级统计部门逐级审核统计数据，由上海市统计局汇总规模以上服务业企业总量数据。,    服务业规模以上企业统计按照《服务业统计报表制度》规定，采用全面调查的方法，经过各级统计部门逐级审核统计数据，由上海市统计局汇总规模以上服务业企业总量数据。,    服务业规模以上企业统计按照《服务业统计报表制度》规定，采用全面调查的方法，经过各级统计部门逐级审核统计数据，由上海市统计局汇总规模以上服务业企业总量数据。,    服务业规模以上企业统计按照《服务业统计报表制度》规定，采用全面调查的方法，经过各级统计部门逐级审核统计数据，由上海市统计局汇总规模以上服务业企业总量数据。,    服务业规模以上企业统计按照《服务业统计报表制度》规定，采用全面调查的方法，经过各级统计部门逐级审核统计数据，由上海市统计局汇总规模以上服务业企业总量数据。
三、主要统计指标说明,,,,
表中增速指标均为同口径的可比增速。,   表中增速指标均为同口径的可比增速。,   表中增速指标均为同口径的可比增速。,   表中增速指标均为同口径的可比增速。,   表中增速指标均为同口径的可比增速。
