1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-名称-名称,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-合计-合计,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-在本村内-在本村内,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-村外乡内-村外乡内,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-乡外县内-乡外县内,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-县外(地)市内-县外(地)市内,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-市外省内-市外省内,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-外省-外省,1-1-10全国按乡村类型和户籍所在地分的住户农业从业人员数量-单位：人-其他-其他
,,,,,,,,
合        计,342463995.0,337127973.0,1601690.0,1226920.0,568952.0,639437.0,1193511.0,105512.0
一、按社区类型分,,,,,,,,
村委会,333684993.0,328925880.0,1454445.0,1120243.0,513185.0,534215.0,1034797.0,102228.0
居委会,6075378.0,5841448.0,72051.0,48064.0,21714.0,42336.0,48100.0,1665.0
农场,1966458.0,1736218.0,56052.0,41922.0,22873.0,28237.0,79872.0,1284.0
二、按地势分,,,,,,,,
平原,135485165.0,133230707.0,652940.0,465723.0,222603.0,272865.0,607904.0,32423.0
丘陵,110167471.0,108456498.0,520994.0,405820.0,191350.0,196156.0,365252.0,31401.0
山区,95985895.0,94737159.0,406548.0,336646.0,142690.0,134648.0,186892.0,41312.0
三、按贫困村类型分,,,,,,,,
非贫困村,270346671.0,265919239.0,1333547.0,1005348.0,476560.0,524010.0,1010857.0,77110.0
贫困村,71291023.0,70504361.0,246922.0,202819.0,80066.0,79640.0,149189.0,28026.0
省定贫困村,48410554.0,47910211.0,166236.0,131311.0,51955.0,48823.0,83912.0,18106.0
省以下定贫困村,22880469.0,22594150.0,80686.0,71508.0,28111.0,30817.0,65277.0,9920.0
四、按是否少数民族聚居村分,,,,,,,,
是,46039392.0,45309966.0,235980.0,192277.0,90219.0,86053.0,97449.0,27448.0
否,295597825.0,291113219.0,1344499.0,1015876.0,466377.0,517568.0,1062598.0,77688.0
五、按所在乡镇类型分,,,,,,,,
乡,108757710.0,107525395.0,380735.0,343923.0,142293.0,126665.0,205148.0,33551.0
镇,220718427.0,217333895.0,1079167.0,747620.0,338518.0,382921.0,769641.0,66665.0
街道,10265970.0,9802399.0,80005.0,89980.0,62309.0,98347.0,129213.0,3717.0
农场,2629682.0,2382901.0,59175.0,43793.0,25013.0,30225.0,87029.0,1546.0
六、按所在乡镇是否县政府驻地分,,,,,,,,
是,23302896.0,22785042.0,151837.0,158969.0,51824.0,57941.0,89506.0,7777.0
否,319068893.0,314259548.0,1447245.0,1066347.0,516309.0,580217.0,1101525.0,97702.0
七、按所在乡镇是否民族乡镇分,,,,,,,,
是,19729492.0,19415993.0,101540.0,83549.0,33093.0,32167.0,54117.0,9033.0
否,322642297.0,317628597.0,1497542.0,1141767.0,535040.0,605991.0,1136914.0,96446.0
八、按所在乡镇是否老区分,,,,,,,,
是,78271253.0,77363676.0,308838.0,222291.0,75149.0,90408.0,189722.0,21169.0
否,264100536.0,259680914.0,1290244.0,1003025.0,492984.0,547750.0,1001309.0,84310.0
九、按所在乡镇是否边区分,,,,,,,,
是,14007787.0,13761709.0,70791.0,51269.0,26090.0,42633.0,41340.0,13955.0
否,328364002.0,323282881.0,1528291.0,1174047.0,542043.0,595525.0,1149691.0,91524.0
十、无对应乡表的分组,92206.0,83383.0,2608.0,1604.0,819.0,1279.0,2480.0,33.0
十一、无对应村表的分组,737166.0,624427.0,19142.0,16691.0,11180.0,34649.0,30742.0,335.0
