1-2-20全国按单位特征分的农业生产经营单位农业技术措施应用情况-名称-名称,1-2-20全国按单位特征分的农业生产经营单位农业技术措施应用情况-单位：%-占耕地面积比重-机耕面积比重,1-2-20全国按单位特征分的农业生产经营单位农业技术措施应用情况-单位：%-占耕地面积比重-机电灌溉面积比重,1-2-20全国按单位特征分的农业生产经营单位农业技术措施应用情况-单位：%-占耕地面积比重-喷灌面积比重,1-2-20全国按单位特征分的农业生产经营单位农业技术措施应用情况-单位：%-占耕地面积比重-滴灌渗灌面积比重,1-2-20全国按单位特征分的农业生产经营单位农业技术措施应用情况-单位：%-占播种面积比重-机播面积比重,1-2-20全国按单位特征分的农业生产经营单位农业技术措施应用情况-单位：%-占播种面积比重-机收面积比重
名    称,"机耕面
积比重","机电灌溉
面积比重","喷灌面
积比重","滴灌渗灌
面积比重","机播面
积比重","机收面
积比重"
,,,,,,
一、按单位类型分,82,26,2,1,63,55
单产业法人单位,72,22,4,1,49,39
多产业法人单位的产业活动单位,87,26,2,1,76,68
未注册单位,64,29,4,2,27,19
二、按主营农业行业分,,,,,,
农作物种植业,85,29,2,1,66,58
林业,63,5,0,0,56,38
畜牧业,71,16,7,0,50,34
渔业,62,23,0,0,20,20
农林牧渔服务业,71,20,2,1,52,45
# 农业服务,75,23,2,1,54,51
林业服务业,44,13,1,0,29,19
牧业服务业,61,5,2,0,52,20
渔业服务业,34,19,0,2,18,24
三、按机构类型分(不包括未注册单位),83,25,2,1,68,59
企业,86,27,2,1,72,65
事业单位,75,13,2,0,63,47
机关,81,25,2,12,66,45
社会团体,68,5,1,1,58,57
民办非企业,43,28,2,1,20,14
其他法人单位,54,25,3,6,33,25
四、按所属系统分(不包括未注册单位),,,,,,
其中：农垦,92,30,2,1,82,77
林业,75,4,0,0,72,50
五、按所有制分(不包括未注册单位),,,,,,
国有,88,25,2,1,77,68
集体,58,28,4,0,32,25
内资私营,53,32,5,3,25,16
内资合作、合资,56,24,5,2,38,30
港澳台独资,49,26,16,1,9,4
与港澳台合资,47,31,4,0,36,10
外商独资,64,31,13,0,37,16
与外商合资,92,8,5,1,70,69
