1-2-21  全国按单位特征分的农业生产经营单位农用薄膜、化肥、农药使用情况,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
名        称,"地膜覆盖面积
(公顷)","中小棚覆盖面积
(公顷)","化肥购买量
(吨)","农药购买量
(吨)"
,,,,
,,,,
一、按单位类型分,375879,19099,2255260,67276
单产业法人单位,106756,7692,503680,18334
多产业法人单位的产业活动单位,208544,7530,1373952,35595
未注册单位,60579,3877,377628,13347
二、按主营农业行业分,,,,
农作物种植业,349195,17800,1839735,48232
林业,6830,446,280185,15214
畜牧业,9252,178,48184,1086
渔业,1872,284,51077,1682
农林牧渔服务业,8730,390,36077,1063
未回答,,,,
#农业服务,7502,312,27017,740
林业服务业,686,26,2469,164
牧业服务业,475,40,4313,114
渔业服务业,57,12,2265,41
未回答,10,,13,3
三、按机构类型分(不包括未注册单位),315300,15222,1877632,53929
企业,190644,12250,1512457,42977
事业单位,27931,701,173547,6360
机关,33816,90,46279,682
社会团体,1328,66,9238,294
民办非企业,835,111,5988,188
其他法人单位,60218,1993,128904,3407
未回答,528,11,1220,22
四、按所属系统分(不包括未注册单位),,,,
其中：农垦,151521,5689,1036306,27623
林业,5674,174,130763,5482
五、按所有制分(不包括未注册单位),,,,
国有,220514,6396,1332700,36851
集体,14131,1963,90505,2422
内资私营,39022,3896,207319,6409
内资合作、合资,30851,2275,163039,4845
港澳台独资,733,118,8378,277
与港澳台合资,199,11,3433,110
外商独资,1404,118,8430,208
与外商合资,442,113,7233,251
未回答,8004,331,56594,2557
