1-1-15全国按乡镇类型和主要农业行业分的农业生产经营单位数-名称,单位：个-合计,单位：个-农作物种植业,单位：个-林业,单位：个-畜牧业,单位：个-渔业,单位：个-农林牧渔服务业
,,,,,,
,,,,,,
合        计,395180.0,70637.0,99079.0,43976.0,42736.0,138752.0
一、按所在乡镇类型分,,,,,,
乡,93149.0,13064.0,24626.0,10011.0,6402.0,39046.0
镇,256309.0,43314.0,65275.0,28230.0,31140.0,88350.0
街道,29949.0,6787.0,6862.0,4519.0,3326.0,8455.0
农场,13037.0,6548.0,2057.0,1025.0,1048.0,2359.0
二、按所在乡镇是否县政府驻地分,,,,,,
是,40534.0,7472.0,8397.0,5008.0,3164.0,16493.0
否,351910.0,62241.0,90423.0,38777.0,38752.0,121717.0
三、按所在乡镇的地势分,,,,,,
平原,123878.0,27370.0,16767.0,18210.0,12085.0,49446.0
丘陵,156783.0,25853.0,38453.0,17443.0,26092.0,48942.0
山区,111783.0,16490.0,43600.0,8132.0,3739.0,39822.0
四、按所在乡镇是否民族乡镇分,,,,,,
是,16569.0,3177.0,4004.0,1459.0,474.0,7455.0
否,375875.0,66536.0,94816.0,42326.0,41442.0,130755.0
五、按所在乡镇是否老区分,,,,,,
是,97055.0,15020.0,29089.0,8623.0,9126.0,35197.0
否,295389.0,54693.0,69731.0,35162.0,32790.0,103013.0
六、按所在乡镇是否边区分,,,,,,
是,15765.0,3322.0,3994.0,1446.0,1124.0,5879.0
否,376679.0,66391.0,94826.0,42339.0,40792.0,132331.0
七、无对应乡表的分组,2736.0,924.0,259.0,191.0,820.0,542.0
