1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位),1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个,1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个.1,1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个.2,1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个.3,1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个.4,1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个.5,1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个.6,1-1-17全国按乡镇类型和机构类型分的农业生产经营单位数(不含未注册单位)-单位：个.7
名        称,合计,企业,事业,机关,社会团体,"民办非
企业","其他法
人单位",未回答
名        称,合计,企业,事业,机关,社会团体,"民办非
企业","其他法
人单位",
,,,,,,,,
合        计,268217,67179,99101,9408,7517,2398,82478,136
一、按所在乡镇类型分,,,,,,,,
乡,66193,11566,30395,3227,1714,423,18823,45
镇,167666,41110,60466,5386,5281,1744,53608,71
街道,22050,7304,6232,536,472,187,7300,19
农场,10678,6253,1481,181,45,38,2680,
二、按所在乡镇是否县政府驻地分,,,,,,,,
是,29769,7663,14079,1204,697,260,5845,21
否,236818,58570,84495,8126,6815,2132,76566,114
三、按所在乡镇的地势分,,,,,,,,
平原,79967,27953,26384,2769,2097,817,19893,54
丘陵,99882,23979,35762,3420,2771,943,32966,41
山区,86738,14301,36428,3141,2644,632,29552,40
四、按所在乡镇是否民族乡镇分,,,,,,,,
是,13103,2436,6985,803,237,95,2526,21
否,253484,63797,91589,8527,7275,2297,79885,114
五、按所在乡镇是否老区分,,,,,,,,
是,65306,13334,23180,1924,1974,649,24211,34
否,201281,52899,75394,7406,5538,1743,58200,101
六、按所在乡镇是否边区分,,,,,,,,
是,11586,2670,5329,634,305,96,2534,18
否,255001,63563,93245,8696,7207,2296,79877,117
七、无对应乡表的分组,1630,946,527,78,5,6,67,1
