1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-名称-名称,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-合计-合计,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-国有-国有,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-集体-集体,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-内资私营-内资私营,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-内资合作、合资,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-港澳台独资,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-与港澳台合资,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-外商独资-外商独资,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-与外商合资-与外商合资,1-1-18全国按乡镇类型和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-未回答-未回答
,,,,,,,,,,
合        计,268217.0,99766.0,45947.0,36058.0,59687.0,505.0,153.0,415.0,396.0,25290.0
一、按所在乡镇类型分,,,,,,,,,,
乡,66193.0,28802.0,11315.0,6268.0,13227.0,49.0,14.0,44.0,37.0,6437.0
镇,167666.0,55025.0,30997.0,24532.0,39008.0,378.0,101.0,293.0,274.0,17058.0
街道,22050.0,6304.0,3203.0,4396.0,6628.0,49.0,32.0,53.0,60.0,1325.0
农场,10678.0,8647.0,368.0,650.0,574.0,24.0,4.0,20.0,16.0,375.0
二、按所在乡镇是否县政府驻地分,,,,,,,,,,
是,29769.0,14942.0,3604.0,4276.0,5045.0,57.0,11.0,38.0,35.0,1761.0
否,236818.0,83836.0,42279.0,31570.0,54392.0,443.0,140.0,372.0,352.0,23434.0
三、按所在乡镇的地势分,,,,,,,,,,
平原,79967.0,29937.0,10724.0,15683.0,17839.0,158.0,58.0,188.0,189.0,5191.0
丘陵,99882.0,33634.0,20440.0,14167.0,21670.0,245.0,67.0,156.0,152.0,9351.0
山区,86738.0,35207.0,14719.0,5996.0,19928.0,97.0,26.0,66.0,46.0,10653.0
四、按所在乡镇是否民族乡镇分,,,,,,,,,,
是,13103.0,7932.0,1427.0,1074.0,1920.0,10.0,4.0,19.0,8.0,709.0
否,253484.0,90846.0,44456.0,34772.0,57517.0,490.0,147.0,391.0,379.0,24486.0
五、按所在乡镇是否老区分,,,,,,,,,,
是,65306.0,20954.0,12308.0,7499.0,15717.0,137.0,32.0,88.0,67.0,8504.0
否,201281.0,77824.0,33575.0,28347.0,43720.0,363.0,119.0,322.0,320.0,16691.0
六、按所在乡镇是否边区分,,,,,,,,,,
是,11586.0,6516.0,1766.0,718.0,1264.0,17.0,1.0,17.0,10.0,1277.0
否,255001.0,92262.0,44117.0,35128.0,58173.0,483.0,150.0,393.0,377.0,23918.0
七、无对应乡表的分组,1630.0,988.0,64.0,212.0,250.0,5.0,2.0,5.0,9.0,95.0
