1-1-20全国按乡镇类型和从业时间分的农业生产经营单位农业从业人员数量-名称,年末从业人员数(人),从业6个月以上人员数(人),女工,其他从业人员从业天数(工作日),从业折算时间(人、年)
,,,,,
合    计,6824418.0,5912344.0,1877636.0,180998058.0,603327.0
一、按所在乡镇类型分,,,,,
乡,989692.0,829738.0,236215.0,25375150.0,84584.0
镇,3467399.0,2997993.0,891225.0,94714114.0,315714.0
街道,541663.0,480091.0,148124.0,13901726.0,46339.0
农场,1694539.0,1482465.0,562323.0,43129104.0,143764.0
二、按所在乡镇是否县政府驻地分,,,,,
是,847468.0,756364.0,250742.0,18005125.0,60017.0
否,5845825.0,5033923.0,1586533.0,159114969.0,530383.0
三、按所在乡镇的地势分,,,,,
平原,2660678.0,2306775.0,760099.0,68093328.0,226978.0
丘陵,2429046.0,2093557.0,655819.0,69912685.0,233042.0
山区,1603569.0,1389955.0,420519.0,39114081.0,130380.0
四、按所在乡镇是否民族乡镇分,,,,,
是,248058.0,223607.0,67681.0,6392198.0,21307.0
否,6445235.0,5566680.0,1768971.0,170727896.0,569093.0
五、按所在乡镇是否老区分,,,,,
是,1158171.0,984589.0,284160.0,32305528.0,107685.0
否,5535122.0,4805698.0,1552588.0,144814566.0,482715.0
六、按所在乡镇是否边区分,,,,,
是,590682.0,542926.0,197790.0,10032275.0,33441.0
否,6102611.0,5247361.0,1638984.0,167087819.0,556959.0
七、无对应乡表的分组,131125.0,122057.0,40998.0,3877964.0,12927.0
