1-1-21全国按乡镇类型分的农业生产经营单位农业技术人员数量,单位：人,Unnamed: 2,Unnamed: 3,Unnamed: 4
名        称,合计,初级,中级,高级
,,,,
合        计,938168,556158,295179,86856
一、按所在乡镇类型分,,,,
乡,181189,114610,53720,12860
镇,582748,347399,182672,52697
街道,89487,46696,32281,10512
农场,71513,41042,21135,9339
二、按所在乡镇是否县政府驻地分,,,,
是,162496,89205,58070,15229
否,762441,460542,231738,70179
三、按所在乡镇的地势分,,,,
平原,332420,189632,106664,36125
丘陵,333705,200167,104883,28675
山区,258812,159948,78261,20608
四、按所在乡镇是否民族乡镇分,,,,
是,44071,28026,12787,3258
否,880866,521721,277021,82150
五、按所在乡镇是否老区分,,,,
是,190443,120160,57287,12998
否,734494,429587,232521,72410
六、按所在乡镇是否边区分,,,,
是,56685,30299,16894,9493
否,868252,519448,272914,75915
七、无对应乡表的分组,13231,6411,5371,1448
