1-1-23全国按住户人口特征和主要农业行业分的家庭户农业从业人员数量-名称,单位：人-合计,单位：人-农作物种植业,单位：人-林业,单位：人-畜牧业,单位：人-渔业,单位：人-农林牧渔服务业
,,,,,,
,,,,,,
合   计,342170157.0,321464449.0,2395482.0,14659250.0,2593002.0,1057974.0
按住户居住时间分,,,,,,
1年以下,74191.0,57543.0,1825.0,7343.0,5317.0,2163.0
1-5年,1933345.0,1560489.0,30117.0,232630.0,81341.0,28768.0
5年以上,340162614.0,319846410.0,2363540.0,14419277.0,2506344.0,1027043.0
按登记人数分,,,,,,
1人户,5846191.0,5562051.0,64993.0,163232.0,37173.0,18742.0
2人户,30075956.0,28124703.0,228250.0,1389217.0,233403.0,100383.0
3人户,64566085.0,60153770.0,483052.0,3075852.0,590594.0,262817.0
4人户,96962780.0,91290915.0,650433.0,4005654.0,722942.0,292836.0
5人户,75530518.0,71195612.0,494481.0,3092047.0,536841.0,211537.0
6人及以上,69188627.0,65137398.0,474273.0,2933248.0,472049.0,171659.0
按住户户籍所在地分,,,,,,
本村户,339708240.0,319639695.0,2336517.0,14296001.0,2429074.0,1006953.0
村外乡内户,823239.0,617477.0,20047.0,110642.0,56357.0,18716.0
乡外县内户,476705.0,325711.0,15410.0,94038.0,32906.0,8640.0
县外(地)市内户,249531.0,167338.0,7330.0,56327.0,15185.0,3351.0
市外省内户,364155.0,281488.0,9219.0,46782.0,21600.0,5066.0
外省,531966.0,418806.0,6799.0,53748.0,37567.0,15046.0
其他,16321.0,13934.0,160.0,1712.0,313.0,202.0
按户籍性质分,,,,,,
农业户籍户,325489705.0,306822450.0,2127197.0,13485516.0,2175529.0,879013.0
混合户,12305696.0,11310032.0,131189.0,626442.0,159979.0,78054.0
非农户籍户,4350173.0,3311398.0,136758.0,544625.0,256863.0,100529.0
户籍待定户,24583.0,20569.0,338.0,2667.0,631.0,378.0
按户主受教育程度分,,,,,,
文盲,22130047.0,20429814.0,170577.0,1365196.0,124686.0,39774.0
小学,140342004.0,131626761.0,1029426.0,6261301.0,1073574.0,350942.0
初中,158940065.0,149994562.0,1010694.0,6163696.0,1214606.0,556507.0
高中,19904906.0,18652970.0,171135.0,809829.0,172484.0,98488.0
大学及以上,850719.0,758081.0,13637.0,59089.0,7649.0,12263.0
