1-1-26全国按住户人口特征和年龄分的家庭户农业从业人员数量,单位：人,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
名    称,合计,20岁以下,21-30岁,31-40岁,41-50岁,51-60岁,60岁以上
,,,,,,,
合    计,342170157,18209623,51110247,82661098,78922142,72799328,38467719
按住户居住时间分,,,,,,,
1年以下,74191,2117,11937,28047,19624,10020,2446
1-5年,1933345,83397,360439,635454,464689,286600,102766
5年以上,340162614,18124109,50737871,81997595,78437827,72502708,38362504
按登记人数分,,,,,,,
1人户,5846191,52727,257867,598455,849458,1742811,2344873
2人户,30075956,397712,1808111,2242947,3911871,10905935,10809380
3人户,64566085,2392278,10197226,18964194,15047570,13016795,4948022
4人户,96962780,6507272,12219452,31170247,28811734,13647813,4606262
5人户,75530518,4725362,12462893,16632497,17813508,16497791,7398467
6人及以上,69188627,4134272,14164698,13052758,12488001,16988183,8360715
按住户户籍所在地分,,,,,,,
本村户,339708240,18111122,50769839,81876302,78257995,72374307,38318675
村外乡内户,823239,33855,118690,237223,212215,160374,60882
乡外县内户,476705,18012,61651,140548,129853,92696,33945
县外(地)市内户,249531,10080,32000,71442,70654,49229,16126
市外省内户,364155,15681,49129,122258,108592,54393,14102
外省,531966,19470,75629,209106,139590,65833,22338
其他,16321,1403,3309,4219,3243,2496,1651
按户籍性质分,,,,,,,
农业户籍户,325489705,17705094,49145397,79691253,74277964,68084312,36585685
混合户,12305696,355184,1446242,1849800,3478734,3710317,1465419
非农户籍户,4350173,147523,514189,1113413,1159905,1000741,414402
户籍待定户,24583,1822,4419,6632,5539,3958,2213
按户主受教育程度分,,,,,,,
文盲,22130047,1221111,3434826,3464789,2891282,4970839,6147200
小学,140342004,7289365,20688262,26991950,26592978,38268501,20510948
初中,158940065,8622435,24016834,48318642,41473039,25950532,10558583
高中,19904906,1044344,2816969,3689872,7758281,3430941,1164499
大学及以上,850719,32238,153050,195425,206236,177962,85808
