1-1-27全国按住户人口特征和受教育程度分的家庭户农业从业人员数量-名称,单位：人-合计,未上学,小学,初中,高中,大专及以上,未回答
,,,,,,,
合    计,342170157.0,32494424.0,140790379.0,154149033.0,13991387.0,744932.0,2.0
按住户居住时间分,,,,,,,
1年以下,74191.0,4501.0,25223.0,36797.0,5807.0,1863.0,
1-5年,1933345.0,164955.0,740362.0,906480.0,105693.0,15855.0,
5年以上,340162614.0,32324967.0,140024794.0,153205750.0,13879887.0,727214.0,2.0
按登记人数分,,,,,,,
1人户,5846191.0,1359445.0,3005580.0,1299614.0,162785.0,18767.0,
2人户,30075956.0,5303379.0,15588618.0,8217839.0,905250.0,60868.0,2.0
3人户,64566085.0,4872957.0,25362438.0,31411628.0,2761712.0,157350.0,
4人户,96962780.0,6355348.0,37206093.0,48888339.0,4319086.0,193914.0,
5人户,75530518.0,6884368.0,30968721.0,34396573.0,3123628.0,157228.0,
6人及以上,69188627.0,7718927.0,28658929.0,29935040.0,2718926.0,156805.0,
按住户户籍所在地分,,,,,,,
本村户,339708240.0,32302104.0,139884384.0,152981916.0,13823733.0,716101.0,2.0
村外乡内户,823239.0,53459.0,275998.0,415821.0,65186.0,12775.0,
乡外县内户,476705.0,34818.0,158183.0,231206.0,44219.0,8279.0,
县外(地)市内户,249531.0,20810.0,87061.0,116307.0,21024.0,4329.0,
市外省内户,364155.0,36515.0,153958.0,155563.0,16358.0,1761.0,
外省,531966.0,42298.0,223825.0,243955.0,20355.0,1533.0,
其他,16321.0,4420.0,6970.0,4265.0,512.0,154.0,
按户籍性质分,,,,,,,
农业户籍户,325489705.0,31271287.0,134877611.0,146352106.0,12465110.0,523589.0,2.0
混合户,12305696.0,970737.0,4565395.0,5517387.0,1108833.0,143344.0,
非农户籍户,4350173.0,247242.0,1337154.0,2271541.0,416420.0,77816.0,
户籍待定户,24583.0,5158.0,10219.0,7999.0,1024.0,183.0,
按户主受教育程度分,,,,,,,
文盲,22130047.0,15101915.0,3579613.0,3203459.0,222491.0,22569.0,
小学,140342004.0,10565438.0,102774029.0,25235252.0,1619753.0,147532.0,
初中,158940065.0,6063910.0,30885777.0,118510542.0,3259010.0,220826.0,
高中,19904906.0,721983.0,3384592.0,6912445.0,8794766.0,91120.0,
大学及以上,850719.0,40789.0,165186.0,286553.0,95310.0,262881.0,
