2-5-4各地区民族乡镇按所在法人单位类型分的农业生产经营单位数量-地区,单位：个-合计,多产业法人单位的产业活动单位数,单产业法人单位数,未注册单位数
,,,,
全国总计,16569.0,7875.0,5228.0,3466.0
北    京,61.0,44.0,17.0,
天    津,11.0,1.0,8.0,2.0
河    北,381.0,300.0,48.0,33.0
山    西,,,,
内 蒙 古,778.0,265.0,378.0,135.0
辽    宁,1368.0,681.0,426.0,261.0
吉    林,482.0,147.0,175.0,160.0
黑 龙 江,461.0,245.0,144.0,72.0
上    海,,,,
江    苏,49.0,12.0,20.0,17.0
浙    江,221.0,185.0,34.0,2.0
安    徽,105.0,43.0,13.0,49.0
福    建,890.0,497.0,48.0,345.0
江    西,178.0,95.0,53.0,30.0
山    东,93.0,45.0,7.0,41.0
河    南,305.0,38.0,75.0,192.0
湖    北,389.0,190.0,133.0,66.0
湖    南,1015.0,398.0,383.0,234.0
广    东,534.0,243.0,82.0,209.0
广    西,1428.0,493.0,552.0,383.0
海    南,719.0,170.0,186.0,363.0
重    庆,135.0,25.0,97.0,13.0
四    川,484.0,223.0,189.0,72.0
贵    州,1889.0,705.0,807.0,377.0
云    南,1197.0,560.0,493.0,144.0
西    藏,269.0,173.0,34.0,62.0
陕    西,45.0,8.0,17.0,20.0
甘    肃,250.0,103.0,116.0,31.0
青    海,198.0,112.0,79.0,7.0
宁    夏,361.0,185.0,120.0,56.0
新    疆,2273.0,1689.0,494.0,90.0
东部地区,2959.0,1497.0,450.0,1012.0
中部地区,1992.0,764.0,657.0,571.0
西部地区,9307.0,4541.0,3376.0,1390.0
东北地区,2311.0,1073.0,745.0,493.0
