3-1-2各地区年末拥有农业机械数量,单位：台,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
地    区,大中型拖拉机,小型拖拉机,大中型拖拉机配套农具,小型拖拉机配套农具,联合收割机
,,,,,
,,,,,
全国总计,1404702,25498406,1474467,25094957,555215
北    京,3852,18440,4769,5702,897
天    津,5703,54030,5125,26642,2242
河    北,104777,2726971,98148,1556293,50942
山    西,23719,356037,26789,217852,5661
内 蒙 古,78768,960903,85470,961038,5523
辽    宁,33771,273986,28135,144474,1051
吉    林,82815,1041217,73700,920364,1837
黑 龙 江,328629,1526307,381745,1354432,33840
上    海,2548,8200,4071,4562,1204
江    苏,38407,1726965,39330,1523634,72880
浙    江,16401,83713,3130,33541,8193
安    徽,70911,3096570,80773,4335104,56621
福    建,6136,60570,1234,27354,2118
江    西,3491,72008,3373,116728,12720
山    东,172194,3772989,170161,2515996,85884
河    南,139412,5496409,174406,6975693,119881
湖    北,38350,887400,36798,1415454,22904
湖    南,11976,118228,9541,361191,25790
广    东,11892,189071,7177,134757,5500
广    西,20852,549016,11539,596485,3190
海    南,3254,34919,2021,46024,915
重    庆,539,3291,508,5378,651
四    川,7738,94260,4577,63550,5970
贵    州,3856,26870,955,9904,1403
云    南,34142,359191,7433,169786,1079
西    藏,7758,85108,2004,28413,2030
陕    西,30999,228942,31816,90090,14523
甘    肃,19954,639154,20015,661386,2571
青    海,3097,269821,2190,126483,636
宁    夏,9331,227543,9914,147388,2697
新    疆,89430,510277,147620,519259,3862
东部地区,365164,8675868,335166,5874505,230775
中部地区,287859,10026652,331680,13422022,243577
西部地区,306464,3954376,324041,3379160,44135
东北地区,445215,2841510,483580,2419270,36728
