1-1-36全国按住户生产经营情况和户籍所在地分的家庭户农业从业人员数量-名称,单位：人-合计,在本村内,村外乡内,乡外县内,县外(地)市内,市外省内,外省,其他
,,,,,,,,
合        计,341414555.0,336507865.0,1520136.0,1156292.0,533123.0,582742.0,1010082.0,104315.0
一、按住户收入和经营兼业情况分,,,,,,,,
纯农户,306444545.0,302077318.0,1299865.0,1015938.0,478826.0,539482.0,939844.0,93272.0
农业兼业户,17601514.0,17383532.0,84010.0,52950.0,20843.0,19542.0,35348.0,5289.0
非农业兼业户,17368496.0,17047015.0,136261.0,87404.0,33454.0,23718.0,34890.0,5754.0
二、按农业生产经营户经营主要农业行业分,,,,,,,,
农作物种植业,315818022.0,311775916.0,1249283.0,927224.0,417176.0,476222.0,877350.0,94851.0
林业,4039836.0,3945060.0,32290.0,25829.0,10882.0,11217.0,12750.0,1808.0
畜牧业,17876083.0,17300163.0,174067.0,155904.0,83931.0,69503.0,86385.0,6130.0
渔业,2812875.0,2648787.0,52654.0,39933.0,18284.0,22708.0,29307.0,1202.0
农林牧渔服务业,867712.0,837912.0,11842.0,7402.0,2850.0,3092.0,4290.0,324.0
未填写,27.0,27.0,,,,,,
