4-1-1各地区农作物播种面积-地区,4-1-1各地区农作物播种面积-单位：千公顷-农作物总播种面积,4-1-1各地区农作物播种面积-单位：千公顷-粮食,4-1-1各地区农作物播种面积-单位：千公顷-稻谷,4-1-1各地区农作物播种面积-单位：千公顷-小麦,4-1-1各地区农作物播种面积-单位：千公顷-玉米,4-1-1各地区农作物播种面积-单位：千公顷-大豆,4-1-1各地区农作物播种面积-单位：千公顷-薯类,4-1-1各地区农作物播种面积-单位：千公顷-油菜籽-油菜籽,4-1-1各地区农作物播种面积-单位：千公顷-花生-花生,4-1-1各地区农作物播种面积-单位：千公顷-棉花-棉花,4-1-1各地区农作物播种面积-单位：千公顷-麻类-麻类,4-1-1各地区农作物播种面积-单位：千公顷-糖料-糖料,4-1-1各地区农作物播种面积-单位：千公顷-烟叶-烟叶,4-1-1各地区农作物播种面积-单位：千公顷-药材-药材,4-1-1各地区农作物播种面积-单位：千公顷-蔬菜-蔬菜,4-1-1各地区农作物播种面积-单位：千公顷-瓜果类,4-1-1各地区农作物播种面积-单位：千公顷-其他
,,,,,,,,,,,,,,,,,
全国总计,152149.0,104958.0,28938.0,23613.0,28463.0,9304.0,7877.0,5984.0,3956.0,5816.0,283.0,1567.0,1189.0,831.0,16639.0,2246.0,6883.0
北    京,320.0,220.0,1.0,63.0,136.0,12.0,4.0,,7.0,2.0,,,,1.0,71.0,9.0,9.0
天    津,430.0,284.0,14.0,103.0,151.0,13.0,1.0,,1.0,69.0,,,,,64.0,9.0,2.0
河    北,8714.0,6272.0,89.0,2504.0,2800.0,211.0,250.0,13.0,378.0,664.0,2.0,14.0,2.0,10.0,1067.0,103.0,95.0
山    西,3471.0,2833.0,1.0,660.0,1260.0,221.0,173.0,3.0,9.0,120.0,,3.0,2.0,10.0,243.0,36.0,51.0
内 蒙 古,6590.0,4937.0,72.0,484.0,1917.0,941.0,593.0,293.0,11.0,2.0,7.0,30.0,4.0,18.0,172.0,53.0,775.0
辽    宁,3627.0,3090.0,625.0,8.0,1983.0,129.0,103.0,,96.0,2.0,,1.0,8.0,1.0,354.0,35.0,30.0
吉    林,4815.0,4237.0,656.0,1.0,2881.0,242.0,134.0,,113.0,,,2.0,12.0,16.0,215.0,51.0,44.0
黑 龙 江,11678.0,10526.0,1992.0,243.0,3305.0,4246.0,206.0,1.0,24.0,,56.0,58.0,19.0,26.0,313.0,122.0,319.0
上    海,401.0,165.0,111.0,31.0,4.0,6.0,1.0,23.0,1.0,1.0,,1.0,,1.0,136.0,22.0,51.0
江    苏,7385.0,5111.0,2216.0,1913.0,378.0,213.0,76.0,525.0,131.0,330.0,1.0,1.0,,4.0,992.0,126.0,152.0
浙    江,2511.0,1253.0,995.0,45.0,22.0,51.0,39.0,153.0,12.0,18.0,,9.0,2.0,26.0,672.0,114.0,242.0
安    徽,8790.0,6443.0,2208.0,2308.0,623.0,975.0,176.0,656.0,178.0,360.0,13.0,6.0,10.0,52.0,669.0,176.0,125.0
福    建,2236.0,1227.0,891.0,5.0,33.0,53.0,224.0,10.0,94.0,1.0,,9.0,65.0,10.0,638.0,36.0,143.0
江    西,5281.0,3547.0,3239.0,12.0,15.0,89.0,112.0,415.0,152.0,79.0,8.0,12.0,16.0,24.0,506.0,67.0,422.0
山    东,10754.0,6999.0,127.0,3557.0,2844.0,183.0,253.0,11.0,781.0,890.0,,,33.0,32.0,1679.0,268.0,58.0
河    南,13996.0,9456.0,571.0,5208.0,2752.0,539.0,267.0,347.0,919.0,748.0,14.0,3.0,97.0,92.0,1559.0,344.0,194.0
湖    北,6901.0,3902.0,1975.0,1017.0,432.0,118.0,219.0,1001.0,140.0,496.0,25.0,4.0,36.0,20.0,818.0,93.0,262.0
湖    南,7290.0,4545.0,3932.0,14.0,196.0,74.0,226.0,608.0,73.0,159.0,57.0,12.0,78.0,37.0,846.0,121.0,744.0
广    东,4383.0,2467.0,1942.0,1.0,119.0,65.0,312.0,7.0,308.0,,1.0,141.0,20.0,7.0,1085.0,48.0,298.0
广    西,5557.0,3133.0,2238.0,4.0,516.0,92.0,214.0,12.0,139.0,2.0,6.0,839.0,13.0,44.0,926.0,64.0,375.0
海    南,699.0,379.0,296.0,,16.0,2.0,61.0,,28.0,,,46.0,,2.0,168.0,25.0,49.0
重    庆,3074.0,2156.0,672.0,165.0,441.0,68.0,676.0,134.0,35.0,,11.0,3.0,49.0,48.0,417.0,19.0,185.0
四    川,9342.0,6455.0,2082.0,1287.0,1292.0,205.0,1135.0,747.0,241.0,24.0,40.0,21.0,89.0,94.0,1062.0,50.0,507.0
贵    州,4449.0,2836.0,680.0,244.0,735.0,122.0,792.0,400.0,24.0,1.0,1.0,18.0,193.0,24.0,495.0,26.0,425.0
云    南,5776.0,4022.0,1030.0,438.0,1251.0,84.0,557.0,107.0,30.0,,17.0,252.0,389.0,30.0,523.0,18.0,384.0
西    藏,233.0,172.0,1.0,41.0,3.0,1.0,1.0,24.0,,,,,,,19.0,,18.0
陕    西,3983.0,3081.0,121.0,1159.0,1130.0,182.0,293.0,149.0,27.0,85.0,1.0,2.0,33.0,54.0,356.0,60.0,61.0
甘    肃,3659.0,2599.0,5.0,959.0,518.0,89.0,580.0,151.0,1.0,76.0,3.0,5.0,16.0,124.0,317.0,41.0,179.0
