1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-名称,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-从业6个月以上人员-合计-合计,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-本户劳动力-本户劳动力,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-女,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-雇工-雇工,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-女.1,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业总时间-在本户从事农业不足6个月人员农业从业总时间-本户劳动力(月),1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业总时间-在本户从事农业不足6个月人员农业从业总时间-雇工(天),1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业折算时间(人.年)-在本户从事农业不足6个月人员农业从业折算时间(人.年)-合计,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业折算时间(人.年)-在本户从事农业不足6个月人员农业从业折算时间(人.年)-本户劳动力,1-1-49全国按经营耕地规模和劳动力来源分的农业生产经营户农业从业人员数量-单位：人-在本户从事农业不足6个月人员农业从业折算时间(人.年)-在本户从事农业不足6个月人员农业从业折算时间(人.年)-雇工
,,,,,,,,,,
合  计,213765507.0,212210737.0,107098466.0,1554770.0,492971.0,908643834.0,274971118.0,91780954.0,90864383.0,916570.0
0亩,5245965.0,4886651.0,2289846.0,359314.0,76891.0,13368960.0,21057762.0,1407089.0,1336896.0,70193.0
0.1-0.9亩,5630289.0,5568821.0,2867564.0,61468.0,15485.0,32596548.0,6508426.0,3281350.0,3259655.0,21695.0
1-1.9亩,18160614.0,18062590.0,9338696.0,98024.0,30207.0,83354078.0,12899071.0,8378405.0,8335408.0,42997.0
2-2.9亩,26432543.0,26312686.0,13723210.0,119857.0,40268.0,112760545.0,17913202.0,11335765.0,11276055.0,59711.0
3-3.9亩,27515579.0,27407744.0,14211723.0,107835.0,36260.0,115643867.0,16878101.0,11620647.0,11564387.0,56260.0
4-4.9亩,24638307.0,24542988.0,12599357.0,95319.0,31532.0,105153635.0,14839237.0,10564828.0,10515364.0,49464.0
5-5.9亩,19444811.0,19376564.0,9853470.0,68247.0,23483.0,82630537.0,11883439.0,8302665.0,8263054.0,39611.0
6-6.9亩,16250787.0,16200056.0,8161351.0,50731.0,16915.0,69830887.0,10206538.0,7017110.0,6983089.0,34022.0
7-7.9亩,12007113.0,11969955.0,5993819.0,37158.0,12604.0,49987746.0,7733955.0,5024554.0,4998775.0,25780.0
8-8.9亩,9965729.0,9935597.0,4940074.0,30132.0,10671.0,39786025.0,6818953.0,4001332.0,3978603.0,22730.0
9-9.9亩,7324328.0,7302169.0,3613346.0,22159.0,7966.0,29144528.0,5274277.0,2932034.0,2914453.0,17581.0
10-10.9亩,6507201.0,6482577.0,3181009.0,24624.0,8928.0,25287659.0,5524888.0,2547182.0,2528766.0,18416.0
11-11.9亩,4276214.0,4262448.0,2088195.0,13766.0,4521.0,16164737.0,3745659.0,1628959.0,1616474.0,12486.0
12-12.9亩,4136862.0,4122432.0,2008413.0,14430.0,5186.0,16071193.0,3989801.0,1620419.0,1607119.0,13299.0
13-13.9亩,2955132.0,2943982.0,1428172.0,11150.0,3402.0,11169436.0,3083937.0,1127223.0,1116944.0,10280.0
14-14.9亩,2529439.0,2520395.0,1218796.0,9044.0,3276.0,9664190.0,2838881.0,975882.0,966419.0,9463.0
15-15.9亩,2358312.0,2345604.0,1127270.0,12708.0,3954.0,9426748.0,3088744.0,952971.0,942675.0,10296.0
16-16.9亩,1864295.0,1855300.0,889807.0,8995.0,3691.0,7378252.0,2469843.0,746058.0,737825.0,8233.0
17-17.9亩,1396435.0,1389537.0,664546.0,6898.0,2616.0,5581963.0,2120545.0,565265.0,558196.0,7068.0
18-18.9亩,1430020.0,1423013.0,677557.0,7007.0,2605.0,6106048.0,2239192.0,618069.0,610605.0,7464.0
19-19.9亩,993102.0,988592.0,469955.0,4510.0,1686.0,4214457.0,1703262.0,427123.0,421446.0,5678.0
20-24.9亩,4114313.0,4079981.0,1923868.0,34332.0,12462.0,18459920.0,9412235.0,1877366.0,1845992.0,31374.0
25-29.9亩,2206998.0,2188264.0,1025152.0,18734.0,7324.0,10802291.0,6544315.0,1102043.0,1080229.0,21814.0
30-34.9亩,1596782.0,1574429.0,732275.0,22353.0,9224.0,8174981.0,6987317.0,840789.0,817498.0,23291.0
35-39.9亩,975159.0,962556.0,447846.0,12603.0,5110.0,5263245.0,5042697.0,543133.0,526325.0,16809.0
40-44.9亩,812103.0,794660.0,368777.0,17443.0,7385.0,4149648.0,6322286.0,436039.0,414965.0,21074.0
45-49.9亩,525358.0,515485.0,238943.0,9873.0,4108.0,3072590.0,4492406.0,322234.0,307259.0,14975.0
50-59.9亩,739939.0,713450.0,330655.0,26489.0,10930.0,4029588.0,9567514.0,434851.0,402959.0,31892.0
60-99.9亩,1084818.0,1029601.0,477830.0,55217.0,22670.0,6284166.0,24174444.0,708998.0,628417.0,80581.0
100亩以上,646960.0,452610.0,206944.0,194350.0,71611.0,3085366.0,39610191.0,440571.0,308537.0,132034.0
