1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-名称-名称,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-合计-合计,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-国有-国有,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-集体-集体,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-内资私营-内资私营,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-内资合作、合资-内资合作、合资,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-港澳台独资-港澳台独资,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-与港澳台合资,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-外商独资,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-与外商合资-与外商合资,1-1-54全国按经营耕地规模和所有制分的农业生产经营单位数(不含未注册单位)-单位：个-未回答-未回答
,,,,,,,,,,
合  计,268217.0,99766.0,45947.0,36058.0,59687.0,505.0,153.0,415.0,396.0,25290.0
0亩,224925.0,85431.0,39384.0,25471.0,51795.0,297.0,97.0,251.0,280.0,21919.0
0.1-5亩,6205.0,1997.0,1013.0,1234.0,962.0,18.0,4.0,10.0,7.0,960.0
5.1-10亩,2936.0,801.0,521.0,857.0,515.0,10.0,4.0,6.0,3.0,219.0
10.1-15亩,1576.0,483.0,235.0,485.0,259.0,9.0,,3.0,2.0,100.0
15.1-20亩,1873.0,545.0,286.0,566.0,349.0,12.0,4.0,4.0,5.0,102.0
20.1-25亩,868.0,231.0,151.0,271.0,152.0,2.0,,4.0,4.0,53.0
25.1-30亩,1468.0,392.0,229.0,442.0,300.0,12.0,2.0,7.0,4.0,80.0
30.1-35亩,619.0,165.0,83.0,206.0,108.0,2.0,2.0,2.0,,51.0
35.1-40亩,996.0,256.0,153.0,316.0,193.0,6.0,1.0,4.0,1.0,66.0
40.1-45亩,517.0,142.0,94.0,156.0,94.0,1.0,1.0,1.0,3.0,25.0
45.1-50亩,1323.0,339.0,202.0,428.0,263.0,5.0,,7.0,8.0,71.0
50.1-55亩,346.0,69.0,64.0,95.0,92.0,1.0,,1.0,,24.0
55.1-60亩,884.0,221.0,147.0,283.0,168.0,3.0,1.0,7.0,,54.0
60.1-65亩,308.0,72.0,63.0,88.0,64.0,2.0,,2.0,2.0,15.0
65.1-70亩,587.0,130.0,111.0,184.0,121.0,5.0,1.0,3.0,2.0,30.0
70.1-75亩,296.0,66.0,69.0,69.0,65.0,2.0,,2.0,2.0,21.0
75.1-80亩,733.0,166.0,112.0,232.0,162.0,2.0,,5.0,3.0,51.0
80.1-85亩,269.0,60.0,63.0,64.0,64.0,3.0,1.0,2.0,1.0,11.0
85.1-90亩,403.0,107.0,82.0,95.0,87.0,1.0,2.0,2.0,1.0,26.0
90.1-95亩,165.0,37.0,36.0,44.0,33.0,,,2.0,,13.0
95.1-100亩,1211.0,273.0,201.0,391.0,258.0,8.0,2.0,4.0,2.0,72.0
100.1-150亩,3002.0,692.0,539.0,861.0,633.0,16.0,5.0,16.0,12.0,228.0
150.1-200亩,2429.0,585.0,445.0,649.0,542.0,14.0,2.0,11.0,7.0,174.0
200.1-250亩,1321.0,343.0,232.0,339.0,277.0,6.0,1.0,6.0,4.0,113.0
250.1-300亩,1474.0,378.0,223.0,399.0,302.0,8.0,3.0,8.0,6.0,147.0
300.1-400亩,1633.0,476.0,292.0,386.0,320.0,14.0,3.0,7.0,5.0,130.0
400.1-500亩,1346.0,429.0,224.0,307.0,271.0,6.0,4.0,9.0,8.0,88.0
500.1-1000亩,2768.0,1066.0,360.0,565.0,541.0,22.0,3.0,8.0,12.0,191.0
1000.1-5000亩,3451.0,1866.0,286.0,488.0,550.0,18.0,9.0,18.0,8.0,208.0
5000亩以上,2285.0,1948.0,47.0,87.0,147.0,,1.0,3.0,4.0,48.0
