1-1-61全国按性别、年龄和受教育程度分的住户畜牧业劳动力数量-名称,单位：人-合计,未上学,小学,初中,高中,大专及以上
,,,,,,
合  计,14707868.0,1982440.0,6387518.0,5712233.0,579395.0,46282.0
16-20岁,612171.0,88444.0,185885.0,306761.0,29299.0,1782.0
21-30岁,1928904.0,220681.0,549959.0,1036660.0,102821.0,18783.0
31-40岁,3657766.0,275291.0,1317538.0,1925059.0,129134.0,10744.0
41-50岁,3722455.0,320870.0,1597058.0,1572467.0,225135.0,6925.0
51-60岁,3256288.0,529457.0,1926907.0,717779.0,76485.0,5660.0
60岁以上,1530284.0,547697.0,810171.0,153507.0,16521.0,2388.0
男,5294970.0,527857.0,1961265.0,2438499.0,336849.0,30500.0
16-20岁,300179.0,38036.0,89754.0,156068.0,15399.0,922.0
21-30岁,768127.0,84297.0,196895.0,422907.0,53379.0,10649.0
31-40岁,1214366.0,83624.0,338478.0,714340.0,70687.0,7237.0
41-50岁,1223460.0,68227.0,378301.0,643137.0,128685.0,5110.0
51-60岁,1157385.0,107252.0,594104.0,396288.0,55256.0,4485.0
60岁以上,631453.0,146421.0,363733.0,105759.0,13443.0,2097.0
女,9412898.0,1454583.0,4426253.0,3273734.0,242546.0,15782.0
16-20岁,311992.0,50408.0,96131.0,150693.0,13900.0,860.0
21-30岁,1160777.0,136384.0,353064.0,613753.0,49442.0,8134.0
31-40岁,2443400.0,191667.0,979060.0,1210719.0,58447.0,3507.0
41-50岁,2498995.0,252643.0,1218757.0,929330.0,96450.0,1815.0
51-60岁,2098903.0,422205.0,1332803.0,321491.0,21229.0,1175.0
60岁以上,898831.0,401276.0,446438.0,47748.0,3078.0,291.0
