1-1-67全国按九大农区和劳动能力分的住户农业从业人员数量-名称,单位：人-合计,整劳动力,半劳动力,其中16-17岁
,,,,
合  计,340789164.0,283081337.0,57707827.0,4864541.0
东北,25463923.0,22696828.0,2767095.0,475959.0
长城沿线,12158436.0,10341947.0,1816489.0,172190.0
黄淮海,84477212.0,71589831.0,12887381.0,1112448.0
黄土高原,25555710.0,22017152.0,3538558.0,383441.0
长江中下游,75904640.0,60994754.0,14909886.0,708177.0
西南,72449924.0,57465740.0,14984184.0,1119467.0
华南,32011213.0,26707595.0,5303618.0,504742.0
甘新,9653371.0,8493477.0,1159894.0,260423.0
青藏,3114735.0,2774013.0,340722.0,127694.0
