1-1-68全国按九大农区和年龄分的住户农业从业人员数量-名称,单位：人-合计,20岁以下,21-30岁,31-40岁,41-50岁,51-60岁,60岁以上
,,,,,,,
合  计,340789164.0,18145965.0,50926498.0,82335458.0,78580314.0,72478494.0,38322435.0
东北,25463923.0,1682201.0,4495775.0,6505129.0,6367827.0,4884786.0,1528205.0
长城沿线,12158436.0,643780.0,1962396.0,2837874.0,3130802.0,2348108.0,1235476.0
黄淮海,84477212.0,4678775.0,13623128.0,20008246.0,19724124.0,18192745.0,8250194.0
黄土高原,25555710.0,1414058.0,3974171.0,6669756.0,6279521.0,4994942.0,2223262.0
长江中下游,75904640.0,2627753.0,8424066.0,17219495.0,18689439.0,18534589.0,10409298.0
西南,72449924.0,3773598.0,9729373.0,18000418.0,14583117.0,16029090.0,10334328.0
华南,32011213.0,1929499.0,5647539.0,7687999.0,7388200.0,5769841.0,3588135.0
甘新,9653371.0,1001921.0,2197604.0,2581484.0,1885702.0,1369342.0,617318.0
青藏,3114735.0,394380.0,872446.0,825057.0,531582.0,355051.0,136219.0
