1-1-69全国按九大农区和受教育程度分的住户农业从业人员数量-名称,单位：人-合计,未上学,小学,初中,高中,大专及以上
,,,,,,
合  计,340789164.0,32385196.0,140202665.0,153480836.0,13957517.0,762948.0
东北,25463923.0,716092.0,9891376.0,13974402.0,814685.0,67368.0
长城沿线,12158436.0,1022348.0,4887138.0,5629427.0,580082.0,39441.0
黄淮海,84477212.0,7033342.0,27106408.0,46102185.0,4033732.0,201545.0
黄土高原,25555710.0,2706331.0,8338803.0,13003423.0,1438168.0,68985.0
长江中下游,75904640.0,7010016.0,33234001.0,32227017.0,3305051.0,128555.0
西南,72449924.0,9488834.0,37523276.0,23519009.0,1818731.0,100074.0
华南,32011213.0,2261322.0,14033319.0,14209842.0,1445449.0,61281.0
甘新,9653371.0,777183.0,3752881.0,4540581.0,491707.0,91017.0
青藏,3114735.0,1369728.0,1435463.0,274950.0,29912.0,4682.0
