1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-名称,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-合计,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-在本村内,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-村外乡内,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-乡外县内,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-县外(地)市内,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-市外省内,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-外省,1-1-70全国按九大农区和户籍所在地分的住户农业从业人员数量-单位：人-其他
名  称,合计,在本村内,村外乡内,乡外县内,"县外(地)
市内",市外省内,外省,其他
,,,,,,,,
合  计,340789164,335542865,1592250,1219722,561768,615410,1152460,104689
东北,25463923,24628025,290534,215783,109864,96884,114732,8101
长城沿线,12158436,11880837,87143,83833,41768,23416,38224,3215
黄淮海,84477212,83798355,207661,152248,61913,48258,194303,14474
黄土高原,25555710,25289685,70669,83903,32948,27045,42635,8825
长江中下游,75904640,74555903,434709,270285,116509,160959,347082,19193
西南,72449924,71637611,258198,238579,101985,79842,114187,19522
华南,32011213,31398574,118083,99019,63202,129620,177723,24992
甘新,9653371,9283091,114778,65190,29701,39378,117133,4100
青藏,3114735,3070784,10475,10882,3878,10008,6441,2267
