1-1-74全国按九大农区和主要农业行业分的农业生产经营单位数-名称,单位：个-合计,农作物种植业,林业,畜牧业,渔业,农林牧渔服务业
,,,,,,
合  计,392327.0,69861.0,98620.0,43571.0,42333.0,137942.0
东北,24527.0,5240.0,5092.0,3103.0,2068.0,9024.0
长城沿线,11619.0,1336.0,4576.0,1491.0,134.0,4082.0
黄淮海,53519.0,8618.0,12015.0,9181.0,3273.0,20432.0
黄土高原,17372.0,2414.0,3118.0,3665.0,219.0,7956.0
长江中下游,164480.0,24276.0,52520.0,14382.0,23383.0,49919.0
西南,49176.0,8599.0,9494.0,4672.0,1877.0,24534.0
华南,55429.0,12818.0,10668.0,5708.0,11219.0,15016.0
甘新,13561.0,6130.0,811.0,949.0,153.0,5518.0
青藏,2644.0,430.0,326.0,420.0,7.0,1461.0
