1-1-78全国按九大农区和主要农业行业分的农业生产经营单位农业从业人员数量-名称,单位：人-合计,农作物种植业,林业,畜牧业,渔业,农林牧渔服务业
,,,,,,
合  计,6746768.0,2587572.0,1539859.0,654406.0,649459.0,1315472.0
东北,1503418.0,801216.0,450739.0,88883.0,56369.0,106211.0
长城沿线,170285.0,42415.0,49980.0,32531.0,3457.0,41902.0
黄淮海,881374.0,284169.0,111374.0,165524.0,98266.0,222041.0
黄土高原,276846.0,96353.0,49008.0,42348.0,2549.0,86588.0
长江中下游,1811742.0,527082.0,363343.0,170183.0,327893.0,423241.0
西南,508387.0,157325.0,103146.0,53745.0,13527.0,180644.0
华南,1211043.0,482443.0,379617.0,74312.0,141727.0,132944.0
甘新,337057.0,184924.0,15175.0,22887.0,5606.0,108465.0
青藏,46616.0,11645.0,17477.0,3993.0,65.0,13436.0
