1-2-6全国按乡村类型分的农业生产经营户年末拥有农业机械数量-名称,单位：台-大中型拖拉机,单位：台-小型拖拉机,单位：台-大中型拖拉机配套农具,单位：台-小型拖拉机配套农具,单位：台-联合收割机
,,,,,
,,,,,
合       计,1322028.0,25261991.0,1341963.0,24897637.0,527723.0
一、按社区类型分,,,,,
村委会,1263218.0,24746158.0,1264119.0,24443109.0,510941.0
居委会,18207.0,293341.0,14304.0,277126.0,10598.0
农场,37701.0,205367.0,59717.0,166536.0,5343.0
二、按地势分,,,,,
平原,855535.0,16389152.0,972298.0,16199859.0,408746.0
丘陵,311375.0,6551695.0,276905.0,7109963.0,97572.0
山区,151426.0,2298745.0,87558.0,1571765.0,20324.0
三、按贫困村类型分,,,,,
非贫困村,1092954.0,21440101.0,1108754.0,20995784.0,467382.0
贫困村,225359.0,3799290.0,227985.0,3885628.0,59260.0
省定贫困村,167035.0,2868858.0,173908.0,2886702.0,44335.0
省以下定贫困村,58324.0,930432.0,54077.0,998926.0,14925.0
四、按是否少数民族聚居村分,,,,,
是,134125.0,1796163.0,123647.0,1429171.0,15378.0
否,1184193.0,23443346.0,1213092.0,23452313.0,511264.0
五、按所在乡镇类型分,,,,,
乡,433248.0,8390292.0,461437.0,8735082.0,158889.0
镇,812527.0,16072536.0,787872.0,15515055.0,345901.0
街道,34789.0,544089.0,27362.0,419878.0,15682.0
农场,41108.0,254036.0,64646.0,226757.0,7229.0
六、按所在乡镇是否县政府驻地分,,,,,
是,87750.0,1420794.0,73059.0,1121020.0,28513.0
否,1233922.0,23840159.0,1268258.0,23775752.0,499188.0
七、按所在乡镇是否民族乡镇分,,,,,
是,85792.0,988293.0,85895.0,837024.0,10786.0
否,1235880.0,24272660.0,1255422.0,24059748.0,516915.0
八、按所在乡镇是否老区分,,,,,
是,209508.0,5131791.0,184387.0,4705751.0,118679.0
否,1112164.0,20129162.0,1156930.0,20191021.0,409022.0
九、按所在乡镇是否边区分,,,,,
是,71244.0,679685.0,69604.0,670174.0,10757.0
否,1250428.0,24581268.0,1271713.0,24226598.0,516944.0
十、无对应乡表的分组,356.0,1038.0,646.0,865.0,22.0
十一、无对应村表的分组,2902.0,17125.0,3823.0,10866.0,841.0
