1-2-9全国按乡村类型分的农业生产经营户农用薄膜、化肥、农药使用情况,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
名        称,"地膜覆盖面积
(公顷)","中小棚覆盖面积
(公顷)","化肥购买量
(吨)","农药购买量
(吨)"
,,,,
,,,,
合        计,7366855,211896,97610751,1546268
一、按社区类型分,,,,
村委会,6510661,203703,94209293,1489433
居委会,67402,5406,1604560,30711
农场,764925,2171,1635988,22797
二、按地势分,,,,
平原,4941155,137821,49647860,708390
丘陵,1248884,50866,30420956,571207
山区,1144378,22517,17316523,262174
三、按贫困村类型分,,,,
非贫困村,6151733,192717,81425066,1319560
贫困村,1182484,18487,15959970,222208
省定贫困村,856996,12312,10688107,140699
省以下定贫困村,325488,6175,5271863,81508
四、按是否少数民族聚居村分,,,,
是,1336919,14239,9007685,126579
否,5997289,196965,88377336,1415188
五、按所在乡镇类型分,,,,
乡,2432851,46506,27963339,378523
镇,3990243,145603,64763146,1086989
街道,140321,16121,2935072,52328
农场,790219,3655,1917647,28108
六、按所在乡镇是否县政府驻地分,,,,
是,410424,17463,5675038,94514
否,6943211,194422,91904165,1451435
七、按所在乡镇是否民族乡镇分,,,,
是,601171,5917,4001991,53695
否,6752464,205967,93577212,1492253
八、按所在乡镇是否老区分,,,,
是,1325274,41869,22180485,380714
否,6028361,170015,75398718,1165234
九、按所在乡镇是否边区分,,,,
是,361196,3670,3128285,51936
否,6992439,208215,94450918,1494012
十、无对应乡表的分组,13221,11,31547,320
十一、无对应村表的分组,23867,617,160910,3326
