1-2-11全国按乡镇类型分的农业生产经营单位年末拥有农业生产用房面积-名称,温室面积(公顷),大棚面积(公顷),农业生产用房面积(万平方米),畜牧养殖用房,渔业养殖用房
,,,,,
合        计,10027.0,31184.0,26273.0,16740.0,2056.0
一、按所在乡镇类型分,,,,,
乡,1072.0,3473.0,3521.0,2397.0,204.0
镇,6736.0,19782.0,16203.0,10772.0,1454.0
街道,1841.0,3513.0,3722.0,1968.0,305.0
农场,226.0,4002.0,2402.0,1347.0,87.0
二、按所在乡镇是否县政府驻地分,,,,,
是,824.0,3011.0,3952.0,1978.0,132.0
否,9052.0,27760.0,21896.0,14506.0,1918.0
三、按所在乡镇的地势分,,,,,
平原,5063.0,19205.0,12984.0,7970.0,687.0
丘陵,2912.0,8489.0,9588.0,6362.0,1166.0
山区,1901.0,3076.0,3276.0,2153.0,198.0
四、按所在乡镇是否民族乡镇分,,,,,
是,138.0,364.0,546.0,347.0,33.0
否,9738.0,30406.0,25302.0,16137.0,2017.0
五、按所在乡镇是否老区分,,,,,
是,1080.0,4660.0,4174.0,2730.0,474.0
否,8796.0,26110.0,21674.0,13754.0,1577.0
六、按所在乡镇是否边区分,,,,,
是,335.0,1589.0,798.0,413.0,30.0
否,9541.0,29181.0,25049.0,16070.0,2021.0
七、无对应乡表的分组,151.0,414.0,425.0,256.0,6.0
