1-2-15全国按农户生产经营情况分的农业生产经营户年末拥有农业生产用房面积-名称,温室面积(公顷),大棚面积(公顷),农业生产用房面积(万平方米),畜牧养殖用房,渔业养殖用房
,,,,,
合        计,71077.0,433902.0,449459.0,300126.0,3311.0
一、按住户收入和经营兼业情况分,,,,,
纯农户,60556.0,383248.0,389797.0,263094.0,2760.0
农业兼业户,5431.0,27912.0,24590.0,15958.0,299.0
非农业兼业户,5090.0,22741.0,35073.0,21074.0,253.0
二、按农业生产经营户经营主要农业行业分,,,,,
农作物种植业,67975.0,419031.0,367320.0,232498.0,1031.0
林业,523.0,2260.0,4697.0,3113.0,18.0
畜牧业,2260.0,9415.0,72253.0,62569.0,187.0
渔业,206.0,1959.0,3901.0,1325.0,2012.0
农林牧渔服务业,113.0,1237.0,1283.0,617.0,62.0
