1-2-16全国按农户生产经营情况分的农业生产经营户农业技术措施应用情况-名称-名称-名称,1-2-16全国按农户生产经营情况分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-机耕面积比重-机耕面积比重,1-2-16全国按农户生产经营情况分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-机电灌溉面积比重-机电灌溉面积比重,1-2-16全国按农户生产经营情况分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-喷灌面积比重-喷灌面积比重,1-2-16全国按农户生产经营情况分的农业生产经营户农业技术措施应用情况-单位：%-占耕地面积比重-滴灌渗灌面积比重-滴灌渗灌面积比重,1-2-16全国按农户生产经营情况分的农业生产经营户农业技术措施应用情况-单位：%-占播种面积比重-机播面积比重-机播面积比重,1-2-16全国按农户生产经营情况分的农业生产经营户农业技术措施应用情况-单位：%-占播种面积比重-机收面积比重
,,,,,,
合        计,59.0,27.0,2.0,1.0,31.0,23.0
一、按住户收入和经营兼业情况分,,,,,,
纯农户,58.0,26.0,2.0,1.0,31.0,23.0
农业兼业户,58.0,27.0,2.0,1.0,29.0,24.0
非农业兼业户,63.0,36.0,3.0,0.0,32.0,32.0
二、按农业生产经营户经营主要农业行业分,,,,,,
农作物种植业,59.0,27.0,2.0,1.0,31.0,23.0
林业,22.0,7.0,1.0,0.0,6.0,8.0
畜牧业,62.0,26.0,2.0,0.0,34.0,21.0
渔业,52.0,41.0,2.0,1.0,10.0,25.0
农林牧渔服务业,80.0,49.0,4.0,1.0,42.0,43.0
