1-16按行业(大类)、专业技术职称分组的法人单位从业人员数-行业大类,代码,法人单位数(个),从业人员数(人),Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,"#具有高级
 技术职称
 人    员","#具有中级
 技术职称
 人    员","#具有初级
 技术职称
 人    员"
,,,,,,
总    计,,7098765.0,271537187.0,5141100,17440690,22896249
农、林、牧、渔业,A,2023.0,1952739.0,19208,75453,134809
农业,100,678.0,1283632.0,12767,40323,81776
林业,200,528.0,579754.0,5831,32386,48209
畜牧业,300,415.0,51629.0,332,1147,2316
渔业,400,64.0,6085.0,39,145,292
农、林、牧、渔服务业,500,338.0,31639.0,239,1452,2216
采矿业,B,97315.0,9907544.0,103088,351376,557956
煤炭开采和洗选业,600,21931.0,5786535.0,56585,191164,324773
石油和天然气开采业,700,1363.0,1126201.0,28487,94325,113470
黑色金属矿采选业,800,17469.0,928632.0,6695,21664,33713
有色金属矿采选业,900,10686.0,743014.0,6514,22790,37058
非金属矿采选业,1000,45161.0,1307197.0,4670,20731,48404
其他采矿业,1100,705.0,15965.0,137,702,538
制造业,C,1818370.0,104330564.0,825112,2663375,4697783
农副食品加工业,1300,102309.0,4547146.0,23164,90604,186622
食品制造业,1400,41714.0,2187868.0,13870,51384,93413
饮料制造业,1500,34980.0,1660363.0,12719,46348,88996
烟草制品业,1600,251.0,208318.0,884,12134,23014
纺织业,1700,108024.0,8138660.0,30035,109975,262601
纺织服装、鞋、帽制造业,1800,79494.0,6448028.0,15930,59299,161980
皮革、毛皮、羽毛(绒)及其制品业,1900,31232.0,3386625.0,6592,25595,69551
木材加工及木、竹、藤、棕、草制品业,2000,62693.0,2390195.0,7763,39049,74696
家具制造业,2100,36117.0,1583494.0,6160,23330,49305
造纸及纸制品业,2200,48625.0,2190967.0,10112,36733,85097
印刷业和记录媒介的复制,2300,52693.0,1544478.0,10280,37062,61206
文教体育用品制造业,2400,20118.0,1680598.0,5244,16947,39114
石油加工及炼焦,2500,6424.0,921134.0,18777,51707,67037
化学原料及化学制品制造业,2600,96172.0,5625078.0,65339,213425,358004
医药制造业,2700,15286.0,1682985.0,26905,91350,161260
化学纤维制造业,2800,4521.0,475685.0,3456,14272,19495
橡胶制品业,2900,20744.0,1282569.0,7191,23252,43679
塑料制品业,3000,98293.0,3899242.0,17651,65763,126519
非金属矿物制品业,3100,211193.0,9390564.0,47488,174856,344743
黑色金属冶炼及压延加工业,3200,18939.0,3372463.0,41576,130883,205277
有色金属冶炼及压延加工业,3300,21498.0,2036208.0,25308,76515,114840
金属制品业,3400,132747.0,5023298.0,35022,119642,209999
通用设备制造业,3500,181969.0,7243788.0,84519,251402,411244
专用设备制造业,3600,92806.0,4343877.0,68303,195919,269947
交通运输设备制造业,3700,79692.0,5812002.0,84527,247316,388380
电气机械及器材制造业,3900,93754.0,6294621.0,60258,177361,316655
通信设备、计算机及其他电子设备制造业,4000,45455.0,7004903.0,61543,183122,307299
仪器仪表及文化、办公用机械制造业,4100,23731.0,1496156.0,24232,64089,91004
工艺品及其他制造业,4200,48693.0,2255917.0,9179,30626,60166
废弃资源和废旧材料回收加工业,4300,8203.0,203334.0,1085,3415,6640
