1-17按登记注册类型、专业技术职称分组的法人单位从业人员数-登记注册类型,法人单位数(个),从业人员数(人),Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,"#具有高级
 技术职称
 人    员","#具有中级
 技术职称
 人    员","#具有初级
 技术职称
 人    员"
,,,,,
总    计,7098765.0,271537187.0,5141100,17440690,22896249
内资企业,6912470.0,240356569.0,4919799,16722320,21670034
国有企业,1106291.0,63120633.0,2890630,9402354,10252166
集体企业,264959.0,10474507.0,110120,533157,985599
股份合作企业,67013.0,2782936.0,38604,142548,271111
联营企业,13545.0,654166.0,11832,34718,49480
国有联营企业,2336.0,167606.0,4395,12634,16229
集体联营企业,5389.0,203148.0,2299,7313,13429
国有与集体联营企业,1742.0,102098.0,1694,5578,8669
其他联营企业,4078.0,181314.0,3444,9193,11153
有限责任公司,555366.0,45018024.0,663875,2313921,3536965
国有独资公司,10761.0,4579948.0,114757,323062,450681
其他有限责任公司,544605.0,40438076.0,549118,1990859,3086284
股份有限公司,98507.0,14729043.0,215288,970138,1433230
私营企业,3671752.0,92686925.0,810219,2847901,4588132
私营独资企业,1367231.0,26407607.0,143087,460138,836468
私营合伙企业,231025.0,5148828.0,43088,131521,214836
私营有限责任公司,1962311.0,56996256.0,575685,2084039,3258301
私营股份有限公司,111185.0,4134234.0,48359,172203,278527
其他企业,1135037.0,10890335.0,179231,477583,553351
港、澳、台商投资企业,84004.0,14474042.0,90421,298726,542724
合资经营企业(港、澳、台资),22137.0,3834705.0,32632,109772,185885
合作经营企业(港、澳、台资),4171.0,594684.0,3539,11833,20553
港、澳、台商独资经营企业,55042.0,9570762.0,48916,158391,299306
港、澳、台商投资股份有限公司,2654.0,473891.0,5334,18730,36980
外商投资企业,102291.0,16706576.0,130880,419644,683491
中外合资经营企业,32611.0,5577192.0,58245,183721,291170
中外合作经营企业,3938.0,584180.0,4426,13217,21331
外资企业,62533.0,9822042.0,60226,189131,323849
外商投资股份有限公司,3209.0,723162.0,7983,33575,47141
