1-19按行业(大类)、技术等级分组的法人单位从业人员数-行业大类,代码,法人单位数(个),从业人员数(人),#高级技师,#技师,#高级工,#中级工
,,,,,,,
总    计,,7098765.0,271537187.0,979426.0,2768715.0,7419406.0,11681406.0
农、林、牧、渔业,A,2023.0,1952739.0,6770.0,29500.0,124314.0,142421.0
农业,100,678.0,1283632.0,4978.0,22293.0,92000.0,117812.0
林业,200,528.0,579754.0,1705.0,6615.0,28191.0,22100.0
畜牧业,300,415.0,51629.0,45.0,88.0,1558.0,1070.0
渔业,400,64.0,6085.0,17.0,136.0,121.0,214.0
农、林、牧、渔服务业,500,338.0,31639.0,25.0,368.0,2444.0,1225.0
采矿业,B,97315.0,9907544.0,26533.0,124323.0,517993.0,654734.0
煤炭开采和洗选业,600,21931.0,5786535.0,16659.0,82908.0,207186.0,413688.0
石油和天然气开采业,700,1363.0,1126201.0,3331.0,17150.0,232156.0,125823.0
黑色金属矿采选业,800,17469.0,928632.0,2137.0,8143.0,35494.0,43473.0
有色金属矿采选业,900,10686.0,743014.0,2232.0,7115.0,20751.0,34448.0
非金属矿采选业,1000,45161.0,1307197.0,2140.0,8941.0,22280.0,36664.0
其他采矿业,1100,705.0,15965.0,34.0,66.0,126.0,638.0
制造业,C,1818370.0,104330564.0,399726.0,1055635.0,2430727.0,4312118.0
农副食品加工业,1300,102309.0,4547146.0,11608.0,33742.0,59310.0,138765.0
食品制造业,1400,41714.0,2187868.0,8882.0,18653.0,29288.0,64423.0
饮料制造业,1500,34980.0,1660363.0,7743.0,19552.0,27519.0,65314.0
烟草制品业,1600,251.0,208318.0,597.0,4535.0,26712.0,34655.0
纺织业,1700,108024.0,8138660.0,48631.0,48238.0,87717.0,235446.0
纺织服装、鞋、帽制造业,1800,79494.0,6448028.0,8575.0,28813.0,54793.0,148904.0
皮革、毛皮、羽毛(绒)及其制品业,1900,31232.0,3386625.0,4456.0,13191.0,24677.0,66581.0
木材加工及木、竹、藤、棕、草制品业,2000,62693.0,2390195.0,4227.0,14514.0,25972.0,62554.0
家具制造业,2100,36117.0,1583494.0,3714.0,10647.0,19142.0,42800.0
造纸及纸制品业,2200,48625.0,2190967.0,5244.0,15225.0,27957.0,70645.0
