1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-分组,1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-法人单位-单位数(个),1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-法人单位-单产业法人,1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-法人单位-多产业法人,1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-法人单位-从业人员数(人),1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-法人单位-#女性,1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-单位数(个),1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-#多产业法人所属的产业活动单位数,1-02按机构类型、人员组距、开业(成立)时间分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-从业人员数(人)
,,,,,,,,
按机构类型分组,7098765.0,6738242.0,360523.0,271537187.0,94594096.0,8869595.0,2131353.0,278632867.0
企业法人,4959671.0,4805606.0,154065.0,218893553.0,74191490.0,5838294.0,1032688.0,224526330.0
事业法人,708728.0,643976.0,64752.0,30510489.0,13828874.0,1247805.0,603829.0,32417577.0
机关法人,249670.0,188187.0,61483.0,11317359.0,2866187.0,404252.0,216065.0,10537875.0
社会法人,186286.0,183363.0,2923.0,2140849.0,622947.0,210308.0,26945.0,2287166.0
民办非企业单位,152517.0,151634.0,883.0,2357459.0,1333216.0,151634.0,,2286576.0
基金会,803.0,793.0,10.0,5970.0,2336.0,978.0,185.0,7959.0
居委会,80219.0,76199.0,4020.0,723272.0,380812.0,82178.0,5979.0,718268.0
村委会,610391.0,539419.0,70972.0,3649343.0,632592.0,617215.0,77796.0,3496269.0
其他组织机构,150480.0,149065.0,1415.0,1938893.0,735642.0,316931.0,167866.0,2354847.0
按从业人员数分组,7098765.0,6738242.0,360523.0,271537187.0,94594096.0,8869595.0,2131353.0,278632867.0
7人及以下,3137540.0,3064270.0,73270.0,12208572.0,3934105.0,4324979.0,1260709.0,15942338.0
8-19人,1918977.0,1842860.0,76117.0,22758018.0,7502313.0,2316687.0,473827.0,27395065.0
20-49人,1152260.0,1079856.0,72404.0,34590694.0,12237079.0,1299690.0,219834.0,38850958.0
50-99人,451206.0,396755.0,54451.0,30806002.0,11649314.0,482862.0,86107.0,32846874.0
100-299人,317180.0,263124.0,54056.0,51790846.0,20165465.0,323430.0,60306.0,52586265.0
300-499人,58021.0,45782.0,12239.0,21887272.0,8217240.0,58503.0,12721.0,22038088.0
500-999人,37419.0,28556.0,8863.0,25538290.0,9123692.0,37823.0,9267.0,25828729.0
1000-4999人,23805.0,15952.0,7853.0,44651657.0,14597036.0,23756.0,7804.0,44126333.0
5000-9999人,1576.0,787.0,789.0,10712654.0,3213526.0,1328.0,541.0,8992535.0
10000人及以上,781.0,300.0,481.0,16593182.0,3954326.0,537.0,237.0,10025682.0
按开业(成立)年份分组,7098765.0,6738242.0,360523.0,271537187.0,94594096.0,8869595.0,2131353.0,278632867.0
1949年以前,86962.0,73792.0,13170.0,7774891.0,2837273.0,128690.0,54898.0,6595893.0
1950-1977年,474481.0,401694.0,72787.0,34803017.0,10921159.0,723215.0,321521.0,32099527.0
1978-1991年,822850.0,738229.0,84621.0,34160855.0,11016582.0,1133912.0,395683.0,34813262.0
1992-1995年,387265.0,360280.0,26985.0,25281434.0,9055440.0,511367.0,151087.0,25331462.0
1996年,124640.0,116622.0,8018.0,6758558.0,2479255.0,164247.0,47625.0,6849925.0
1997年,125294.0,118034.0,7260.0,7253492.0,2647300.0,160729.0,42695.0,7446528.0
1998年,205445.0,194803.0,10642.0,10488818.0,3631627.0,273257.0,78454.0,10770883.0
1999年,202572.0,191407.0,11165.0,9563175.0,3398157.0,250320.0,58913.0,9850746.0
2000年,310616.0,297502.0,13114.0,12779016.0,4767426.0,377129.0,79627.0,13171007.0
2001年,376565.0,360980.0,15585.0,15482768.0,5361985.0,450159.0,89179.0,16005990.0
2002年,414896.0,398215.0,16681.0,16432726.0,5958112.0,499365.0,101150.0,17388718.0
2003年,494382.0,477957.0,16425.0,17312212.0,6403044.0,587413.0,109456.0,18388669.0
2004年,515959.0,500632.0,15327.0,16560440.0,5930578.0,607350.0,106718.0,17623183.0
2005年,584023.0,570748.0,13275.0,16101113.0,5774905.0,689004.0,118256.0,17485944.0
2006年,675854.0,663719.0,12135.0,16330221.0,5785224.0,783722.0,120003.0,17642490.0
2007年,670272.0,659713.0,10559.0,14114761.0,5060424.0,781874.0,122161.0,15512043.0
2008年,515402.0,510092.0,5310.0,9011844.0,3234636.0,613702.0,103610.0,10261246.0
