1-20按登记注册类型、技术等级分组的法人单位从业人员数-登记注册类型,法人单位数(个),从业人员数(人),#高级技师,#技师,#高级工,#中级工
,,,,,,
总    计,7098765.0,271537187.0,979426.0,2768715.0,7419406.0,11681406.0
内资企业,6912470.0,240356569.0,883438.0,2525488.0,6979524.0,10814776.0
国有企业,1106291.0,63120633.0,239315.0,671756.0,2998387.0,2881926.0
集体企业,264959.0,10474507.0,29162.0,88845.0,204007.0,498008.0
股份合作企业,67013.0,2782936.0,11867.0,29783.0,46675.0,92101.0
联营企业,13545.0,654166.0,2824.0,9921.0,22050.0,33085.0
国有联营企业,2336.0,167606.0,963.0,4608.0,13047.0,13327.0
集体联营企业,5389.0,203148.0,859.0,2379.0,3244.0,7775.0
国有与集体联营企业,1742.0,102098.0,396.0,1339.0,3193.0,7677.0
其他联营企业,4078.0,181314.0,606.0,1595.0,2566.0,4306.0
有限责任公司,555366.0,45018024.0,196514.0,651429.0,1806805.0,3171598.0
国有独资公司,10761.0,4579948.0,24538.0,105946.0,462705.0,556859.0
其他有限责任公司,544605.0,40438076.0,171976.0,545483.0,1344100.0,2614739.0
股份有限公司,98507.0,14729043.0,66112.0,197503.0,615321.0,965738.0
私营企业,3671752.0,92686925.0,317424.0,835252.0,1223526.0,3068820.0
私营独资企业,1367231.0,26407607.0,59406.0,164083.0,232998.0,598925.0
私营合伙企业,231025.0,5148828.0,12568.0,34814.0,49679.0,131690.0
私营有限责任公司,1962311.0,56996256.0,224082.0,587038.0,859300.0,2138610.0
私营股份有限公司,111185.0,4134234.0,21368.0,49317.0,81549.0,199595.0
其他企业,1135037.0,10890335.0,20220.0,40999.0,62753.0,103500.0
港、澳、台商投资企业,84004.0,14474042.0,41703.0,108060.0,194058.0,385612.0
合资经营企业(港、澳、台资),22137.0,3834705.0,14201.0,33995.0,68296.0,147501.0
合作经营企业(港、澳、台资),4171.0,594684.0,1329.0,5059.0,6688.0,14682.0
港、澳、台商独资经营企业,55042.0,9570762.0,25105.0,64506.0,104970.0,203275.0
港、澳、台商投资股份有限公司,2654.0,473891.0,1068.0,4500.0,14104.0,20154.0
外商投资企业,102291.0,16706576.0,54285.0,135167.0,245824.0,481018.0
中外合资经营企业,32611.0,5577192.0,23038.0,60589.0,122535.0,244252.0
中外合作经营企业,3938.0,584180.0,1310.0,3437.0,7516.0,12770.0
外资企业,62533.0,9822042.0,27825.0,63524.0,91131.0,187651.0
外商投资股份有限公司,3209.0,723162.0,2112.0,7617.0,24642.0,36345.0
