4-13全国分性别、职业小类、周工作时间的正在工作人口-职业小类性别-职业小类性别-职业小类性别,单位：人-合计-合计-合计,1-8小时-1-8小时-1-8小时,9-19小时-9-19小时-9-19小时,20-34小时,35小时,36-39小时,40小时-40小时-40小时,41-47小时-41-47小时-41-47小时,48小时-48小时-48小时,48小时以上,周平均-工作时间-(小时)
总  计,69677870,461198.0,1672396.0,8185883.0,1488035.0,1067478.0,20100762,3524063.0,6443370,26734685,45
国家机关、党群组织、企业、事业单位负责人,1261631,2081.0,3323.0,26467.0,15699.0,6995.0,602348,32427.0,132517,439774,47
中国共产党中央委员会和地方各级组织负责人,10715,21.0,26.0,308.0,229.0,82.0,7345,217.0,589,1898,43
中国共产党中央委员会和地方各级组织负责人,10715,21.0,26.0,308.0,229.0,82.0,7345,217.0,589,1898,43
国家机关及其工作机构负责人,106709,224.0,147.0,1910.0,2845.0,641.0,83580,1499.0,4825,11038,42
国家权力机关及其工作机构负责人,12712,40.0,34.0,359.0,333.0,87.0,9453,227.0,677,1502,42
人民政协及其工作机构负责人,5054,15.0,21.0,124.0,135.0,27.0,3736,71.0,293,632,42
人民法院负责人,3075,9.0,10.0,73.0,73.0,14.0,2412,59.0,118,307,42
人民检察院负责人,2323,,1.0,35.0,76.0,12.0,1910,36.0,74,179,41
国家行政机关及其工作机构负责人,67208,115.0,63.0,1051.0,1792.0,409.0,53701,851.0,2840,6386,42
其他国家机关及其工作机构负责人,16337,45.0,18.0,268.0,436.0,92.0,12368,255.0,823,2032,42
"民主党派和社会团体及其工作机构
   负责人",73784,231.0,694.0,4942.0,1458.0,691.0,36233,2367.0,6128,21040,44
民主党派负责人,3305,20.0,100.0,459.0,107.0,44.0,1194,174.0,182,1025,43
工会、共青团、妇联、其他人民团体及其工作机构负责人,14389,50.0,184.0,1068.0,318.0,126.0,8853,358.0,921,2511,42
群众自治组织负责人,49547,140.0,371.0,3138.0,893.0,476.0,22538,1676.0,4526,15789,45
其他社会团体及其工作机构负责人,6543,21.0,39.0,277.0,140.0,45.0,3648,159.0,499,1715,44
事业单位负责人,81310,191.0,178.0,1517.0,1750.0,492.0,59165,1571.0,4933,11513,43
教育教学单位负责人,22039,56.0,72.0,473.0,383.0,110.0,16455,456.0,1170,2864,42
卫生单位负责人,9101,30.0,46.0,270.0,191.0,97.0,5856,279.0,666,1666,43
科研单位负责人,3459,11.0,4.0,58.0,82.0,11.0,2520,75.0,181,517,43
其他事业单位负责人,46711,94.0,56.0,716.0,1094.0,274.0,34334,761.0,2916,6466,43
企业负责人,989113,1414.0,2278.0,17790.0,9417.0,5089.0,416025,26773.0,116042,394285,49
企业负责人,989113,1414.0,2278.0,17790.0,9417.0,5089.0,416025,26773.0,116042,394285,49
专业技术人员,4853386,12830.0,16258.0,119827.0,78247.0,36114.0,3106945,138637.0,457243,887285,43
科学研究人员,48003,209.0,328.0,2414.0,1083.0,671.0,32145,1326.0,3029,6798,42
哲学研究人员,5363,88.0,161.0,909.0,128.0,77.0,1948,236.0,290,1526,42
经济学研究人员,1469,3.0,12.0,48.0,24.0,11.0,981,37.0,100,253,43
法学研究人员,777,3.0,10.0,38.0,11.0,12.0,459,22.0,57,165,43
社会学研究人员,1432,7.0,6.0,27.0,20.0,11.0,1069,30.0,73,189,42
教育科学研究人员,3379,35.0,29.0,159.0,50.0,24.0,2297,84.0,178,523,42
文学、艺术研究人员,876,1.0,2.0,45.0,13.0,10.0,560,28.0,66,151,43
图书馆学、情报学研究人员,1158,4.0,12.0,30.0,31.0,7.0,868,24.0,51,131,41
历史学研究人员,442,1.0,2.0,6.0,11.0,2.0,344,4.0,16,56,42
管理科学研究人员,2882,4.0,7.0,61.0,44.0,19.0,1960,67.0,250,470,43
数学研究人员,3040,6.0,36.0,645.0,205.0,353.0,1340,148.0,103,204,38
物理学研究人员,1953,1.0,5.0,22.0,26.0,7.0,1555,47.0,93,197,42
化学研究人员,4185,14.0,5.0,59.0,51.0,21.0,2852,113.0,424,646,43
天文学研究人员,422,2.0,,10.0,8.0,3.0,278,16.0,29,76,43
地球科学研究人员,791,2.0,4.0,7.0,8.0,7.0,627,27.0,31,78,42
生物科学研究人员,3144,6.0,4.0,38.0,47.0,15.0,2488,61.0,195,290,42
农业科学研究人员,5382,10.0,17.0,166.0,174.0,44.0,3930,104.0,282,655,42
医学研究人员,5286,9.0,9.0,80.0,80.0,17.0,3979,127.0,385,600,42
其他科学研究人员,6022,13.0,7.0,64.0,152.0,31.0,4610,151.0,406,588,42
工程技术人员,1031114,2081.0,2210.0,18147.0,11644.0,6970.0,586813,29761.0,121257,252231,45
地质勘探工程技术人员,15071,41.0,31.0,291.0,333.0,122.0,9893,343.0,1121,2896,44
测绘工程技术人员,12702,26.0,31.0,291.0,205.0,77.0,8111,315.0,1175,2471,44
矿山工程技术人员,22521,49.0,59.0,544.0,215.0,188.0,10261,568.0,2540,8097,47
石油工程技术人员,17349,27.0,22.0,137.0,196.0,106.0,13152,243.0,996,2470,43
冶金工程技术人员,18270,34.0,34.0,288.0,174.0,130.0,10390,510.0,2278,4432,45
化工工程技术人员,20964,51.0,26.0,265.0,235.0,172.0,13039,591.0,2491,4094,44
机械工程技术人员,94504,203.0,129.0,1066.0,675.0,463.0,51942,2791.0,15838,21397,45
兵器工程技术人员,2864,1.0,3.0,17.0,27.0,38.0,2215,48.0,263,252,42
航空工程技术人员,6361,8.0,5.0,63.0,33.0,62.0,4891,172.0,445,682,42
航天工程技术人员,5776,10.0,13.0,83.0,23.0,29.0,4286,125.0,377,830,43
电子工程技术人员,67628,157.0,79.0,761.0,384.0,380.0,40017,2336.0,10091,13423,45
通信工程技术人员,44199,67.0,42.0,509.0,625.0,252.0,30663,1229.0,4253,6559,43
计算机与应用工程技术人员,119034,175.0,132.0,1086.0,1041.0,741.0,83332,3641.0,11638,17248,43
电气工程技术人员,25719,47.0,39.0,320.0,279.0,146.0,14799,770.0,3596,5723,45
电力工程技术人员,67046,144.0,117.0,1353.0,1313.0,650.0,40378,1667.0,6581,14843,44
邮政工程技术人员,2927,9.0,3.0,66.0,39.0,21.0,1908,75.0,279,527,43
广播、电影、电视工程技术人员,10953,25.0,21.0,225.0,212.0,73.0,7305,278.0,959,1855,43
交通工程技术人员,22490,56.0,64.0,475.0,308.0,123.0,11943,635.0,2516,6370,46
民用航空工程技术人员,2811,9.0,16.0,102.0,34.0,29.0,1678,87.0,210,646,44
铁路工程技术人员,23560,51.0,37.0,352.0,227.0,147.0,15114,534.0,2271,4827,44
建筑工程技术人员,195256,433.0,734.0,5430.0,2337.0,1424.0,90743,6156.0,20492,67507,47
建材工程技术人员,21997,59.0,80.0,662.0,209.0,184.0,8427,731.0,2759,8886,48
林业工程技术人员,8095,34.0,41.0,266.0,190.0,52.0,4958,195.0,734,1625,43
水利工程技术人员,16103,31.0,22.0,295.0,380.0,104.0,11438,305.0,1094,2434,43
海洋工程技术人员,1353,5.0,5.0,21.0,9.0,3.0,969,25.0,96,220,43
水产工程技术人员,1444,5.0,3.0,49.0,30.0,17.0,787,64.0,118,371,45
纺织工程技术人员,26558,59.0,113.0,726.0,192.0,252.0,9264,1013.0,4380,10559,48
食品工程技术人员,15700,39.0,87.0,519.0,174.0,128.0,5820,582.0,2268,6083,48
气象工程技术人员,3435,2.0,7.0,59.0,157.0,33.0,2463,75.0,202,437,42
地震工程技术人员,1194,1.0,2.0,28.0,26.0,6.0,738,24.0,101,268,44
环境保护工程技术人员,8055,20.0,10.0,111.0,158.0,56.0,5865,158.0,600,1077,43
