4-14b各地区分性别、未工作原因的失业人口(镇)-地区性别,单位：人-合计,毕业后未工作,因单位-原因-失去工作,因本人-原因-失去工作,承包土地被征用,离退休,料理家务,其他
全    国,498780,127324,83374,58171,27152,6172.0,89122,107465
北    京,3102,749,596,864,79,11.0,459,344
天    津,2458,649,510,208,116,41.0,342,592
河    北,24448,8067,5031,1842,956,311.0,3679,4562
山    西,18122,6581,3664,1186,477,139.0,2797,3278
内 蒙 古,11017,2864,2125,944,297,146.0,1926,2715
辽    宁,11197,3253,2799,1421,261,341.0,1793,1329
吉    林,10079,2620,2921,950,237,127.0,1246,1978
黑 龙 江,16572,3887,3905,2347,183,385.0,2583,3282
上    海,6875,943,1674,1698,516,57.0,1124,863
江    苏,20602,6380,3507,2521,871,296.0,3654,3373
浙    江,26397,4865,2641,6782,1176,233.0,7330,3370
安    徽,20826,4975,3584,1817,1085,186.0,5014,4165
福    建,14044,3195,1657,2108,716,105.0,2980,3283
江    西,18810,4603,2965,2235,719,255.0,3749,4284
山    东,21168,6567,4498,1962,687,555.0,4012,2887
河    南,34810,10391,5700,2045,2214,347.0,5076,9037
湖    北,18764,4434,3805,2019,723,263.0,3253,4267
湖    南,35040,8423,6035,2626,2377,406.0,6273,8900
广    东,30230,8226,3391,5980,651,253.0,5075,6654
广    西,26183,5976,3195,4809,1087,366.0,3628,7122
海    南,6819,1819,799,705,178,71.0,1106,2141
重    庆,14834,2583,2388,1926,1826,126.0,3096,2889
四    川,38295,7995,5494,3925,4551,448.0,5934,9948
贵    州,14334,3201,1484,1054,1011,103.0,2829,4652
云    南,14454,3555,2603,1224,2226,117.0,1920,2809
西    藏,425,115,13,31,5,5.0,77,179
陕    西,16802,4743,2760,1331,1106,256.0,2925,3681
甘    肃,11688,2794,2095,853,557,143.0,2856,2390
青    海,2227,566,474,142,44,7.0,384,610
宁    夏,1258,329,151,136,102,6.0,279,255
新    疆,6900,1976,910,480,118,67.0,1723,1626
男,245598,71307,48522,34429,15632,3276.0,6461,65971
北    京,1713,432,398,554,52,2.0,57,218
天    津,1298,327,336,133,78,19.0,9,396
河    北,12048,4055,2899,1161,630,170.0,230,2903
山    西,9381,3604,2185,772,321,90.0,96,2313
内 蒙 古,5826,1542,1311,631,211,90.0,120,1921
辽    宁,5377,1775,1635,763,159,158.0,66,821
吉    林,5652,1423,1982,632,157,78.0,48,1332
黑 龙 江,8477,2070,2511,1472,127,145.0,117,2035
上    海,3401,530,1021,959,252,24.0,105,510
江    苏,9875,3537,1963,1456,438,153.0,367,1961
浙    江,11916,2919,1675,3909,862,99.0,300,2152
安    徽,9275,2792,1945,1091,627,106.0,232,2482
福    建,7377,1977,1064,1429,485,53.0,158,2211
江    西,9062,2628,1765,1353,440,139.0,197,2540
山    东,9006,3452,2086,928,393,318.0,215,1614
河    南,17722,5711,3174,1291,1323,202.0,414,5607
湖    北,9263,2621,2099,1224,404,151.0,221,2543
湖    南,17214,4667,3534,1628,1410,225.0,431,5319
广    东,16168,5009,2092,3668,439,140.0,505,4315
广    西,12367,3622,1763,2075,569,164.0,444,3730
海    南,3804,1186,508,460,101,28.0,151,1370
重    庆,7035,1456,1397,1175,943,59.0,239,1766
四    川,18738,4434,3098,2344,2266,235.0,583,5778
贵    州,7338,1861,969,720,579,63.0,219,2927
云    南,7382,1989,1457,788,1190,63.0,190,1705
西    藏,216,57,8,13,1,5.0,8,124
陕    西,8468,2600,1603,868,704,159.0,205,2329
甘    肃,5086,1476,1137,443,308,94.0,186,1442
青    海,1130,310,253,91,27,5.0,48,396
宁    夏,606,176,93,89,65,5.0,8,170
新    疆,3377,1069,561,309,71,34.0,292,1041
女,253182,56017,34852,23742,11520,2896.0,82661,41494
北    京,1389,317,198,310,27,9.0,402,126
天    津,1160,322,174,75,38,22.0,333,196
河    北,12400,4012,2132,681,326,141.0,3449,1659
山    西,8741,2977,1479,414,156,49.0,2701,965
内 蒙 古,5191,1322,814,313,86,56.0,1806,794
辽    宁,5820,1478,1164,658,102,183.0,1727,508
吉    林,4427,1197,939,318,80,49.0,1198,646
黑 龙 江,8095,1817,1394,875,56,240.0,2466,1247
上    海,3474,413,653,739,264,33.0,1019,353
江    苏,10727,2843,1544,1065,433,143.0,3287,1412
浙    江,14481,1946,966,2873,314,134.0,7030,1218
安    徽,11551,2183,1639,726,458,80.0,4782,1683
福    建,6667,1218,593,679,231,52.0,2822,1072
江    西,9748,1975,1200,882,279,116.0,3552,1744
山    东,12162,3115,2412,1034,294,237.0,3797,1273
河    南,17088,4680,2526,754,891,145.0,4662,3430
湖    北,9501,1813,1706,795,319,112.0,3032,1724
湖    南,17826,3756,2501,998,967,181.0,5842,3581
广    东,14062,3217,1299,2312,212,113.0,4570,2339
广    西,13816,2354,1432,2734,518,202.0,3184,3392
海    南,3015,633,291,245,77,43.0,955,771
重    庆,7799,1127,991,751,883,67.0,2857,1123
四    川,19557,3561,2396,1581,2285,213.0,5351,4170
贵    州,6996,1340,515,334,432,40.0,2610,1725
云    南,7072,1566,1146,436,1036,54.0,1730,1104
西    藏,209,58,5,18,4,,69,55
陕    西,8334,2143,1157,463,402,97.0,2720,1352
甘    肃,6602,1318,958,410,249,49.0,2670,948
青    海,1097,256,221,51,17,2.0,336,214
宁    夏,652,153,58,47,37,1.0,271,85
新    疆,3523,907,349,171,47,33.0,1431,585
