1-8c各地区分性别、受教育程度的6岁及以上人口(乡村)-地区,单位：人-6岁及以上人口-合计,男,女,未上过学-小计,男.1,女.1,小学-小计,男.2,女.2,初中-小计,男.3,女.3,高中-小计,男.4,女.4,大学专科-小计,男.5,女.5,大学本科-小计,男.6,女.6,研究生-小计,男.7,女.7
全    国,609708623,310363106,299345517,44174664,12826175,31348489,232068330,109823110,122245220,273812219,151364449,122447770,47099999,29167514,17932485,9415451,5396414,4019037,3022393,1722565,1299828,115567,62879,52688
北    京,2641925,1393485,1248440,130822,35478,95344,474343,230963,243380,1339348,755041,584307,478272,262868,215404,141622,70969,70653,74089,36371,37718,3429,1795,1634
天    津,2485102,1288378,1196724,114304,29841,84463,794848,376816,418032,1264472,704525,559947,242304,140357,101947,48614,25881,22733,19877,10565,9312,683,393,290
河    北,36700056,18565987,18134069,1525956,428051,1097905,11866526,5422043,6444483,19706145,10630473,9075672,2961138,1758245,1202893,522499,266180,256319,112143,58248,53895,5649,2747,2902
山    西,17347218,8988423,8358795,630702,201865,428837,5123519,2393689,2729830,9514516,5187948,4326568,1713935,1004015,709920,284697,158169,126528,77589,41522,36067,2260,1215,1045
内 蒙 古,10350768,5448447,4902321,754229,243274,510955,3850235,1852899,1997336,4567200,2644321,1922879,825317,516291,309026,241204,138316,102888,107149,50963,56186,5434,2383,3051
辽    宁,15686075,8025903,7660172,579501,171567,407934,5661922,2709702,2952220,8282585,4475506,3807079,865746,508445,357301,225247,122208,103039,68784,37332,31452,2290,1143,1147
吉    林,12042553,6142770,5899783,398237,139926,258311,4552305,2173392,2378913,6100382,3265662,2834720,775385,447138,328247,152457,83853,68604,61665,31774,29891,2122,1025,1097
黑 龙 江,16027742,8157242,7870500,532982,179310,353672,6057330,2850434,3206896,8372888,4508201,3864687,849808,501631,348177,162169,88733,73436,51353,28324,23029,1212,609,603
上    海,2360676,1237110,1123566,186989,42323,144666,645574,319542,326032,1146727,651942,494785,268723,163055,105668,75679,40548,35131,35524,18834,16690,1460,866,594
江    苏,29201895,14398796,14803099,1949790,452251,1497539,10033805,4290598,5743207,13249085,7203598,6045487,3031869,1917173,1114696,688450,391118,297332,236416,137044,99372,12480,7014,5466
浙    江,19714793,10113658,9601135,1995533,552568,1442965,7757613,3853008,3904605,7664772,4344148,3320624,1769516,1075724,693792,371205,202227,168978,150299,82771,67528,5855,3212,2643
安    徽,31033930,15565248,15468682,3814891,1091097,2723794,11265233,5211824,6053409,13536502,7709974,5826528,1857717,1206350,651367,429069,260318,168751,126811,83379,43432,3707,2306,1401
