8-1c各地区分性别、健康状况的60岁及以上老年人口(乡村)-地区,单位：人-60岁及以上人口-合计,男,女,健康-小计,男.1,女.1,基本健康-小计,男.2,女.2,不健康，但生活能自理-小计,男.3,女.3,生活不能自理-小计,男.4,女.4
全    国,10087958,4957455,5130503,4077443,2243035,1834408,3967187,1830534,2136653,1708739,747535,961204,334589,136351,198238
北    京,40156,19797,20359,13439,7591,5848,15878,7342,8536,8284,3792,4492,2555,1072,1483
天    津,37692,18633,19059,16792,9263,7529,14010,6270,7740,5453,2463,2990,1437,637,800
河    北,563513,275660,287853,242001,132296,109705,203541,92133,111408,96221,42146,54075,21750,9085,12665
山    西,250530,125704,124826,89257,51640,37617,100314,47262,53052,50037,22236,27801,10922,4566,6356
内 蒙 古,138751,71988,66763,51340,30467,20873,51914,25510,26404,29531,13412,16119,5966,2599,3367
辽    宁,269559,135290,134269,112422,64536,47886,98859,44987,53872,49522,21921,27601,8756,3846,4910
吉    林,157682,79615,78067,58967,33796,25171,60829,28627,32202,33034,14944,18090,4852,2248,2604
黑 龙 江,191096,97563,93533,77131,44024,33107,70287,32878,37409,37986,18011,19975,5692,2650,3042
上    海,43525,20322,23203,19627,10325,9302,17569,7560,10009,4884,1879,3005,1445,558,887
江    苏,620430,296212,324218,301311,160533,140778,227640,98096,129544,75787,31473,44314,15692,6110,9582
浙    江,400121,199943,200178,195214,107204,88010,146087,65775,80312,48545,22584,25961,10275,4380,5895
安    徽,560756,279355,281401,197844,114539,83305,231998,109043,122955,110862,48067,62795,20052,7706,12346
福    建,228036,113215,114821,101925,56028,45897,94783,43144,51639,26426,12105,14321,4902,1938,2964
江    西,307427,149262,158165,123999,68922,55077,129799,57373,72426,46203,19949,26254,7426,3018,4408
山    东,826691,393041,433650,410680,217473,193207,275780,118266,157514,116810,48218,68592,23421,9084,14337
河    南,809586,387476,422110,368599,195215,173384,283536,127031,156505,130126,55063,75063,27325,10167,17158
湖    北,458922,226575,232347,147368,84638,62730,200369,95068,105301,94783,40295,54488,16402,6574,9828
湖    南,603437,302098,301339,194282,111581,82701,265750,127082,138668,123502,55229,68273,19903,8206,11697
广    东,438876,212665,226211,196174,104645,91529,182906,82766,100140,50466,21606,28860,9330,3648,5682
广    西,415180,199088,216092,173816,92006,81810,167905,76903,91002,63294,26185,37109,10165,3994,6171
海    南,54410,25801,28609,19265,10431,8834,22572,10385,12187,10646,4285,6361,1927,700,1227
重    庆,288845,148895,139950,101810,58064,43746,121603,60613,60990,54777,25673,29104,10655,4545,6110
四    川,979440,490271,489169,343001,193085,149916,417478,200574,216904,181059,80991,100068,37902,15621,22281
贵    州,329073,161184,167889,128033,68647,59386,128938,60537,68401,59840,26635,33205,12262,5365,6897
云    南,348190,166792,181398,141735,75358,66377,138703,62833,75870,52446,22453,29993,15306,6148,9158
西    藏,17418,7668,9750,3853,1869,1984,8502,3750,4752,4004,1657,2347,1059,392,667
陕    西,302191,148379,153812,111461,61036,50425,123619,57885,65734,56052,24783,31269,11059,4675,6384
甘    肃,238890,118924,119966,77491,43869,33622,94826,45436,49390,56951,25551,31400,9622,4068,5554
青    海,28958,14041,14917,9108,5015,4093,12302,5880,6422,6150,2602,3548,1398,544,854
宁    夏,33161,16605,16556,12284,7010,5274,13356,6387,6969,6230,2658,3572,1291,550,741
新    疆,105416,55393,50023,37214,21929,15285,45534,23138,22396,18828,8669,10159,3840,1657,2183
