1-11b各地区家庭户类别(镇)-地区,单位：户、%-家庭户-户数,一代户-户数,比重,二代户-户数,比重.1,三代户-户数,比重.2,四代户-户数,比重.3,五代及以上户-户数,比重.4
全    国,78528240,26428254,34,38982229,50,12631413,16,485856,1,488.0,
北    京,427497,210260,49,173531,41,42758,10,948,0,,
天    津,374642,129153,34,190558,51,53112,14,1818,0,1.0,
河    北,4677328,1254316,27,2459302,53,922156,20,41520,1,34.0,
山    西,2196400,582593,27,1303208,59,300016,14,10572,0,11.0,
内 蒙 古,1915033,719136,38,1048286,55,144911,8,2700,0,,
辽    宁,1787832,691454,39,869364,49,222125,12,4889,0,,
吉    林,1600554,648019,40,776358,49,172203,11,3970,0,4.0,
黑 龙 江,2655986,1103926,42,1309401,49,238226,9,4430,0,3.0,
上    海,1058274,596688,56,359063,34,97000,9,5513,1,10.0,
江    苏,5281326,1905750,36,2310557,44,1007992,19,56945,1,82.0,
浙    江,4523591,2113645,47,1892676,42,498676,11,18583,0,11.0,
安    徽,4167758,1477081,35,2048101,49,617047,15,25510,1,19.0,
福    建,2482591,826060,33,1207488,49,432436,17,16587,1,20.0,
江    西,3024685,733123,24,1644153,54,625392,21,22005,1,12.0,
山    东,5731446,1895980,33,3022578,53,783939,14,28938,1,11.0,
河    南,4550905,1011930,22,2491597,55,1006109,22,41222,1,47.0,
湖    北,2958881,907385,31,1488241,50,542685,18,20549,1,21.0,
湖    南,4457974,1346818,30,2195455,49,879294,20,36383,1,24.0,
广    东,4064401,1298579,32,1911669,47,822737,20,31385,1,31.0,
广    西,2801475,823468,29,1456927,52,501897,18,19134,1,49.0,
海    南,535352,174357,33,263160,49,94206,18,3625,1,4.0,
重    庆,2223962,892858,40,995420,45,325267,15,10412,0,5.0,
四    川,5243022,2014658,38,2364109,45,834287,16,29940,1,28.0,
贵    州,1876388,600209,32,1008145,54,260653,14,7375,0,6.0,
云    南,2668907,734085,28,1382373,52,528270,20,24138,1,41.0,
西    藏,121262,52991,44,56042,46,11887,10,340,0,2.0,
陕    西,2333578,719254,31,1259302,54,345431,15,9586,0,5.0,
甘    肃,1070634,315600,29,575588,54,174887,16,4555,0,4.0,
青    海,333164,110408,33,177691,53,44140,13,924,0,1.0,
宁    夏,282680,88174,31,164239,58,29618,10,648,0,1.0,
新    疆,1100712,450296,41,577647,52,72056,7,712,0,1.0,
