3-2b各地区人口年龄构成和抚养比（一）(镇)-地区,单位：人、%-人口数-合计,0-14岁,15-59岁,60岁及以上,占总人口比重-0-14岁,15-59岁.1,60岁及以上.1,抚养比-总抚养比,少儿抚养比,老年抚养比
全    国,266245506,44924654,189343382,31977470,17,71,12,41,24,17
北    京,1295477,123883,1028724,142870,10,79,11,26,12,14
天    津,1419767,178052,1100505,141210,13,78,10,29,16,13
河    北,17187307,2941525,12255857,1989925,17,71,12,40,24,16
山    西,7746486,1462700,5560867,722919,19,72,9,39,26,13
内 蒙 古,5708610,881246,4258528,568836,15,75,10,34,21,13
辽    宁,5166779,631304,3789518,745957,12,73,14,36,17,20
吉    林,4451454,527960,3324322,599172,12,75,13,34,16,18
黑 龙 江,7201199,869354,5363820,968025,12,74,13,34,16,18
上    海,2914256,285349,2283857,345050,10,78,12,28,12,15
江    苏,17205022,2421659,12181692,2601671,14,71,15,41,20,21
浙    江,13163915,1850986,9756742,1556187,14,74,12,35,19,16
安    徽,13394530,2316585,9315007,1762938,17,70,13,44,25,19
福    建,8513556,1377279,6256826,879451,16,73,10,36,22,14
江    西,11995669,2510883,8282085,1202701,21,69,10,45,30,15
山    东,19255743,3125313,13498211,2632219,16,70,14,43,23,20
河    南,17888274,3559406,12348450,1980418,20,69,11,45,29,16
湖    北,10516925,1516128,7699632,1301165,14,73,12,37,20,17
湖    南,15714621,2715000,10947214,2052407,17,70,13,44,25,19
广    东,16641873,3043148,11817447,1781278,18,71,11,41,26,15
广    西,10065066,2054536,6845463,1165067,20,68,12,47,30,17
海    南,1984228,383338,1378314,222576,19,69,11,44,28,16
重    庆,6614192,1163863,4478148,972181,18,68,15,48,26,22
四    川,16428768,2619559,11583785,2225424,16,71,14,42,23,19
贵    州,6199971,1450253,4106769,642949,23,66,10,51,35,16
云    南,9634242,1847470,6802972,983800,19,71,10,42,27,14
西    藏,408267,74494,312346,21427,18,77,5,31,24,7
陕    西,8222162,1286444,6065956,869762,16,74,11,36,21,14
甘    肃,3932250,676689,2864731,390830,17,73,10,37,24,14
青    海,1148221,226554,830216,91451,20,72,8,38,27,11
宁    夏,962727,211917,671789,79021,22,70,8,43,32,12
新    疆,3263949,591777,2333589,338583,18,72,10,40,25,15
