2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-地区,2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-产值利润率(%),2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-产值利税率(%),2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-资本利润率(%),2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-资本利税率(%),2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-人均利润(元/人),2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-人均利税(元/人),2-B-2.18各地区国有总承包和专业承包企业主要经济效益指标-资产负债率(%)
地   区,"产值利润率
(%)","产值利税率
(%)","资本利润率
(%)","资本利税率
(%)","人均利润
(元/人)","人均利税
(元/人)","资产负债率
(%)"
地   区,"产值利润率
(%)","产值利税率
(%)","资本利润率
(%)","资本利税率
(%)","人均利润
(元/人)","人均利税
(元/人)","资产负债率
(%)"
,,,,,,,
全国总计,3,5,18,34,15825,29458,78
,,,,,,,
北  京,3,5,17,22,23503,30821,78
天  津,3,4,15,21,19969,28316,79
河  北,1,2,3,16,6115,28700,83
山  西,2,5,6,17,7061,21593,83
内蒙古,(0),3,(1),11,(1252),14524,74
,,,,,,,
辽  宁,1,5,6,20,3427,12352,83
吉  林,1,4,7,29,7233,28940,59
黑龙江,(4),(1),(10),(2),(10362),(2241),85
,,,,,,,
上  海,3,4,23,34,25739,38659,81
江  苏,3,6,20,44,13162,28739,77
浙  江,4,7,21,38,16694,30043,76
安  徽,2,4,21,46,11658,25360,81
福  建,2,5,19,40,6643,14185,80
江  西,1,5,11,37,7394,24220,80
山  东,3,5,16,28,18922,33139,78
,,,,,,,
河  南,4,8,25,47,22885,43242,79
湖  北,5,8,49,85,78349,134625,78
湖  南,3,6,19,38,13578,27871,69
广  东,3,5,16,32,12012,24632,77
广  西,2,4,12,26,7921,17382,78
海  南,3,6,15,33,13089,27969,76
,,,,,,,
重  庆,3,6,18,35,18426,34883,81
四  川,3,6,18,34,12241,22504,74
贵  州,4,7,24,38,16702,26730,73
云  南,4,6,36,59,15736,25989,75
西  藏,12,20,39,69,23699,41574,65
,,,,,,,
陕  西,2,4,18,33,13096,24285,77
甘  肃,1,3,7,25,4962,16934,80
青  海,3,7,22,46,23852,49091,74
宁  夏,2,5,17,42,6009,15089,81
新  疆,5,7,30,46,16147,24970,82
