3-C-03分地区限额以上文化批零业企业主要财务指标-地区,3-C-03分地区限额以上文化批零业企业主要财务指标-法人单位数(个),3-C-03分地区限额以上文化批零业企业主要财务指标-从业人员期末人数(人),3-C-03分地区限额以上文化批零业企业主要财务指标,3-C-03分地区限额以上文化批零业企业主要财务指标-资产总计(万元),3-C-03分地区限额以上文化批零业企业主要财务指标-营业收入(万元),3-C-03分地区限额以上文化批零业企业主要财务指标-营业成本(万元),3-C-03分地区限额以上文化批零业企业主要财务指标-税金及附加(万元),3-C-03分地区限额以上文化批零业企业主要财务指标-营业利润(万元),3-C-03分地区限额以上文化批零业企业主要财务指标-投资收益(万元),3-C-03分地区限额以上文化批零业企业主要财务指标-应付职工薪酬(万元),3-C-03分地区限额以上文化批零业企业主要财务指标-应交增值税(万元)
地    区,"法人单位数
(个)","从业人员
期末人数
(人)",#女性,"资产总计
(万元)","营业收入
(万元)","营业成本
(万元)","税金及附加
(万元)","营业利润
(万元)","投资收益
(万元)","应付职工薪酬
(万元)","应交增值税
(万元)"
,,,,,,,,,,,
全    国,10528,590402,346994,127466253,205379431,183842156,622956,6088672,968391,5858305,2119659
,,,,,,,,,,,
北    京,422,52397,29913,19362704,22405785,19602170,77452,503033,227034,896788,226880
天    津,157,5522,3270,2957446,3376864,3166106,4711,75670,12654,48210,16313
河    北,297,16155,10178,1594634,1883032,1491599,6212,67718,6236,83504,24219
山    西,90,4934,2817,858180,924795,812252,4217,30180,14770,46013,4213
内 蒙 古,46,2282,1455,470067,299853,252276,2151,8613,47,13895,2955
,,,,,,,,,,,
辽    宁,157,7934,4899,944804,1473740,1328935,7558,9097,804,43076,13643
吉    林,94,4407,2640,413856,543962,473037,2625,17430,6982,293842,2742
黑 龙 江,92,4461,2614,454484,417546,333951,3294,15724,26,25922,10317
,,,,,,,,,,,
上    海,318,36346,22320,14353867,39673262,35804485,85875,1332325,33737,625366,245391
江    苏,1226,63765,38137,14269419,20826847,18116842,58670,852015,147887,623596,264912
浙    江,921,32594,19560,6835562,13113108,12062711,24838,283369,48618,283905,169013
安    徽,487,18658,10531,4483795,5885781,5349650,15078,235770,97115,145903,98537
福    建,487,11788,6092,3279345,6594037,5920821,30117,282411,21037,127740,53158
江    西,102,8720,4555,2314188,1575895,1328645,4913,87074,1225,78406,25278
山    东,809,48417,29318,11095361,17060975,15856671,43508,319584,28715,345598,157941
,,,,,,,,,,,
河    南,650,36256,20201,2162085,3524928,2927893,27099,188630,5710,167023,58160
湖    北,567,27877,16781,3581427,6054259,5151041,30200,290736,1525,208794,129293
湖    南,542,27191,16534,2046031,3956308,3280157,36381,231075,1069,171029,61267
广    东,1625,101639,59212,20042383,35357200,32383326,104448,580384,242683,979232,403980
广    西,190,6104,3244,1143507,940516,802683,3408,22168,687,50778,8527
海    南,24,1626,910,274729,614517,581014,1200,6488,4134,11363,3407
,,,,,,,,,,,
重    庆,216,18346,12565,4330028,8311922,7787515,15768,133604,22281,152637,46127
四    川,308,20045,11401,4569025,4913629,4323823,14961,164194,10377,162157,34026
贵    州,128,4058,1882,860144,606035,520371,1057,27405,46,27299,4567
云    南,181,11759,6487,1538032,2266370,1784896,6948,282065,23981,97837,16892
西    藏,5,154,88,18943,23312,19864,9,935,,1181,80
,,,,,,,,,,,
陕    西,264,10243,5610,1056138,1591059,1383567,5608,33191,1783,76877,12783
甘    肃,51,1673,967,1224556,519243,474155,1377,(6076),6241,20101,17559
青    海,9,891,479,89450,71080,50039,245,3455,72,4549,553
宁    夏,21,646,389,118833,63626,50631,232,963,202,7218,327
新    疆,42,3514,1945,723230,509947,421031,2800,9443,714,38469,6601
