本周KPI直接ROI2.4，客户素材要参考的话可以找我扒-素材ID,素材标题,素材创建时间,素材时长,素材来源,消耗,展示次数,点击率,平均千次展现费用,点击次数,转化数,转化成本,转化率,直接成交订单数,直接成交金额,直接支付ROI,播放数,有效播放数,平均单次播放时长,分享次数,评论次数,点赞次数,关联计划数,关联创意数
7381677914712506378,6.17-博观图文-素人-蜜粉饼中样1058-可视化效品口播-无-陈奕璠.mp4,2024-06-18 11:20:43,00:16,本地上传,31971,522664,0,61,19396,1011,32,0,1032,71668,2,538635,39654,3,164,18,803,13,13
7379943420956114970,授权日期24890613图文茄子凡人玉养蜜粉饼中样阿拉fifi营销产品花西子你真的我哭死,2024-06-13 19:10:10,00:25,巨量纵横共享素材,29538,363675,0,81,13015,945,31,0,970,67477,2,372124,39278,4,144,17,637,23,23
7381382295348314121,0614授权至20240806图文茄子超光速小黛伞午郡产品向谁大夏天,2024-06-17 16:13:59,00:30,巨量纵横共享素材,29507,291530,0,101,4513,318,93,0,318,62081,2,295196,26476,4,33,11,404,31,114
7371397338302562358,0510-剧星-姜亭阳-防晒粉饼-混剪-种草-是谁发的粉饼.mp4,2024-05-21 18:27:10,00:29,本地上传,19772,135705,0,146,3815,250,79,0,264,50606,3,144910,16671,4,29,9,190,31,42
7379116491733729331,授权至24790607官号阿会两佰山茶蜜粉饼中样香秀营销产品夏天出,2024-06-11 13:41:00,00:18,巨量纵横共享素材,14049,160725,0,87,5649,524,27,0,541,38207,3,168478,15548,3,70,8,267,23,24
7360893196811075622,422-博观图文-素人-防晒粉饼924-可视化效品口播-无-马倩.mp4,2024-04-23 11:05:22,00:26,本地上传,13719,93348,0,147,2430,152,90,0,160,30572,2,99120,12219,4,27,7,167,16,31
7385086095829221427,6.25-博观图文-素人-防晒粉饼1088-可视化效品口播-无-马倩.mp4,2024-06-27 15:46:40,00:36,本地上传,10917,60796,0,180,1490,126,87,0,128,24659,2,62246,7413,5,7,1,69,11,21
7387318998147334156,7.1-博观图文-素人-防晒粉饼1100-可视化效品口播-无-马倩.mp4,2024-07-03 16:11:15,00:20,本地上传,10378,87742,0,118,2164,136,76,0,142,27152,3,89911,8056,3,16,2,90,9,17
7383907963768520755,6.3-博观图文-素人-蜜粉饼中样1016-可视化效品口播-无-陈奕璠.mp4,2024-06-24 11:34:43,00:16,本地上传,10208,86275,0,118,3845,350,29,0,359,25156,2,88611,10404,4,23,1,140,12,12
7385055005420421147,6.24-博观图文-素人-眉粉笔1080-可视化效品口播-无-王梦园.mp4,2024-06-27 13:45:53,00:29,本地上传,9821,163343,0,60,3850,344,29,0,350,24506,3,167334,12802,3,14,11,177,16,16
7360628876931891250,2404200415图文广告超光速阿会玉容纱防晒粉饼效果混剪夏天有,2024-04-22 17:59:37,00:17,巨量纵横共享素材,6275,41225,0,152,1101,78,80,0,77,14777,2,45244,4534,3,8,0,54,17,30
7379173092063723558,授权截止至24890604图文凡人阿会玉养蜜粉饼中样产品向花西子你怎么,2024-06-11 17:20:48,00:19,巨量纵横共享素材,6052,77820,0,78,3432,194,31,0,196,13752,2,80895,9049,3,55,3,182,26,27
7387287123018301467,7.2-博观图文-素人-小黛伞1103-可视化效品口播-无-李大鑫.mp4,2024-07-03 14:07:26,00:18,本地上传,5590,43802,0,128,1130,69,81,0,69,13961,3,45789,3907,3,4,1,53,9,41
7368757481713221682,5.13-博观图文-素人-眉粉笔957-可视化效品口播-无-陈奕璠.mp4,2024-05-14 15:42:47,00:20,本地上传,5320,113677,0,47,2027,149,36,0,151,10385,2,115059,5940,2,1,4,70,27,27
7387319047161102399,7.1-博观图文-素人-防晒粉饼1101-可视化效品口播-无-马倩.mp4,2024-07-03 16:11:15,00:25,本地上传,5047,37334,0,135,883,62,81,0,66,12613,3,37463,3975,4,3,2,51,9,17
7381686002610061351,6.17-博观图文-素人-防晒粉饼1067-可视化效品口播-无-马倩.mp4,2024-06-18 11:52:16,00:26,本地上传,3104,23014,0,135,568,35,89,0,38,7196,2,25426,3271,4,5,2,30,9,17
7385518041504268297,授权至202407260628图文茄子凡人蜜粉饼中样双支宋单单香秀营销产品谁还没有这么可爱的蜜粉饼中样呀,2024-06-28 19:42:37,00:24,巨量纵横共享素材,2755,28426,0,97,1497,98,28,0,96,6746,2,29976,3102,4,24,8,56,2,2
7381677772451872778,6.17-博观图文-素人-蜜粉饼中样1057-可视化效品口播-无-陈奕璠.mp4,2024-06-18 11:20:18,00:19,本地上传,2750,25939,0,106,1369,100,28,0,103,7093,3,29388,4824,4,13,3,55,14,14
7387737158625099786,授权至2407040704图文茄子凡人玉养蜜粉饼搅搅土豆泥我是香秀裸宝宝维安营销产品向公主们喜欢这种淡紫色粉体的,2024-07-04 19:13:47,00:30,巨量纵横共享素材,2636,23625,0,112,658,28,94,0,28,5581,2,23585,1721,3,9,0,16,2,4
