月份,项目店,区域,经营模式,有无预算,科目,本月计划,本月完成,备注
1月,河北区域办,河北子公司,区域办,有预算,综合收入,0,0,
1月,河北区域办,河北子公司,区域办,有预算,综合成本,0,0,
1月,河北区域办,河北子公司,区域办,有预算,综合毛利,0,0,
1月,河北区域办,河北子公司,区域办,有预算,劳务收入,0,0,
1月,河北区域办,河北子公司,区域办,有预算,劳务成本,0,0,
1月,河北区域办,河北子公司,区域办,有预算,劳务毛利,0,0,
1月,河北区域办,河北子公司,区域办,有预算,餐饮收入,0,0,
1月,河北区域办,河北子公司,区域办,有预算,餐饮成本,0,0,
1月,河北区域办,河北子公司,区域办,有预算,餐饮毛利,0,0,
1月,河北区域办,河北子公司,区域办,有预算,销售收入,0,0,
1月,河北区域办,河北子公司,区域办,有预算,销售成本,0,0,
1月,河北区域办,河北子公司,区域办,有预算,销售毛利,0,0,
1月,河北区域办,河北子公司,区域办,有预算,外包档口收入,0,0,
1月,河北区域办,河北子公司,区域办,有预算,外包档口成本,0,0,
1月,河北区域办,河北子公司,区域办,有预算,外包档口毛利,0,0,
1月,河北区域办,河北子公司,区域办,有预算,其他收入,0,0,
1月,河北区域办,河北子公司,区域办,有预算,其他成本,0,0,
1月,河北区域办,河北子公司,区域办,有预算,其他毛利,0,0,
1月,河北区域办,河北子公司,区域办,有预算,人事费用,128098,127199,
1月,河北区域办,河北子公司,区域办,有预算,工资,103900,100484,2024年1月：18人104484元，河北子公司曹园园工资由肃宁西区承担-4000元
1月,河北区域办,河北子公司,区域办,有预算,监管工资,0,0,
1月,河北区域办,河北子公司,区域办,有预算,绩效考核奖,10900,10504,2023年12月：9人
1月,河北区域办,河北子公司,区域办,有预算,公司承担外包费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,公司缴纳五险,12098,15011,2024年1月：15人16224.69元，河北子公司曹园园社保由肃宁西区承担-1213.42元
1月,河北区域办,河北子公司,区域办,有预算,外包五险,0,0,
1月,河北区域办,河北子公司,区域办,有预算,商业保险费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,外包管理费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,福利费,1200,1200,苑帅华报销2024年1月区域办公室4人生活费，300元/人，共计1200元
1月,河北区域办,河北子公司,区域办,有预算,员工宿舍费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,能源费用,200,200,
1月,河北区域办,河北子公司,区域办,有预算,水费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,电费,200,200,苑帅华报销河北办公室2024年1月电费200元
1月,河北区域办,河北子公司,区域办,有预算,燃气费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,暖气费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,运营费用,7400,13303,
1月,河北区域办,河北子公司,区域办,有预算,办公费,200,2915,"苑帅华报销2024年1月网络费用100元
任志有报销刻章费240元
任志有报销旭盛公司更换地址、降资、变更经营范围，办理食品经营许可证，注册新个体公司（稻汇聚企业管理有限公司）办证，报税费用合计2500元
邮寄费75元"
1月,河北区域办,河北子公司,区域办,有预算,差旅费,2000,5788,"董俊亮报销去报名的差旅费556元（保定市第二中心医院食堂对外出租项目）
范冬飞报销朱总去肃宁巡店产生的过路费291元
范冬飞报销朱总去正定开拓市场产生的住宿费355元
范冬飞报销回公司拉春节礼品产生的过路费267元、尿素300元，合计567元
范冬飞报销朱总巡店产生的过路费和加油费共1553元
范冬飞报销朱总巡店过路费182元
范冬飞报销去正定开拓市场产生的过路费315.06元
范冬飞报销去保定开拓市场产生的过路费246.69元
范冬飞报销朱总去黄骅港送礼产生的差旅费685元
范冬飞报销朱总去北京开拓市场产生的差旅费541.81元
范冬飞报销朱总去黄骅港巡店产生的过路费245.90元
范冬飞报销朱总送礼产生的过路费249.33元"
1月,河北区域办,河北子公司,区域办,有预算,汽车费用,5200,4600,"油卡分摊-朱泰宏车4000元
油卡分摊-河北办公室车600元"
1月,河北区域办,河北子公司,区域办,有预算,营销费用,0,0,
1月,河北区域办,河北子公司,区域办,有预算,低值物料,0,0,
1月,河北区域办,河北子公司,区域办,有预算,目视化费用,0,0,
1月,河北区域办,河北子公司,区域办,有预算,修理费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,招待费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,运输费用,0,0,
1月,河北区域办,河北子公司,区域办,有预算,其他,0,0,
1月,河北区域办,河北子公司,区域办,有预算,固定费用,3130,5795,
1月,河北区域办,河北子公司,区域办,有预算,租金,2667,2667,河北子公司房租2023年6月15日-2024年5月14日，每月分摊2666.67元
1月,河北区域办,河北子公司,区域办,有预算,管理费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,市场开发费,0,2530,"报销保定市第二中心医院食堂报名费500元
市场部打印费用分摊1,289.50元（保定市第二中心医院食堂对外出租项目）
报销铁路装备沧州分公司物业服务公开招标项目 报名费70元
报销山东公司泰安公司后勤综合服务项目 报名费70元
报销2024-2026年度石家庄市联通市区餐饮服务采购项目 报名费300元
报销中国煤科电子采购平台CA费300元"
1月,河北区域办,河北子公司,区域办,有预算,折旧,463,599,2024年1月固定资产折旧599.13元
1月,河北区域办,河北子公司,区域办,有预算,各项摊提,0,0,
1月,河北区域办,河北子公司,区域办,有预算,上交总部管理费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,计提税金及附加,0,0,
1月,河北区域办,河北子公司,区域办,有预算,营业外收支,0,452,考勤违纪451.94元
1月,河北区域办,河北子公司,区域办,有预算,自营业务利润,(138828),(146045),
1月,河北区域办,河北子公司,区域办,有预算,外包业务利润,0,0,
1月,河北区域办,河北子公司,区域办,有预算,项目部经营利润,(138828),(146045),
1月,河北区域办,河北子公司,区域办,有预算,区域管理费用,0,0,
1月,河北区域办,河北子公司,区域办,有预算,运行费用,0,0,
1月,河北区域办,河北子公司,区域办,有预算,两节费用,0,0,
1月,河北区域办,河北子公司,区域办,有预算,公关费,0,0,
1月,河北区域办,河北子公司,区域办,有预算,项目店净利润,(138828),(146045),
1月,河北区域办,河北子公司,区域办,有预算,项目合作分红,0,0,
1月,河北区域办,河北子公司,区域办,有预算,项目店可分配利润,(138828),(146045),
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,综合收入,45417,45417,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,综合成本,24000,24400,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,综合毛利,21417,21017,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,劳务收入,45417,45417,人工工资，体检费，管理费，证件办理费，税费
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,劳务成本,24000,24400,2024年1月：6人
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,劳务毛利,21417,21017,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,餐饮收入,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,餐饮成本,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,餐饮毛利,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,销售收入,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,销售成本,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,销售毛利,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,外包档口收入,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,外包档口成本,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,外包档口毛利,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,其他收入,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,其他成本,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,其他毛利,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,人事费用,2480,2226,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,工资,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,监管工资,750,446,2023年12月：2人，朱红章223元+任志有223元
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,绩效考核奖,600,596,2023年12月：1人，张海峰596元
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,公司承担外包费,0,0,
