表9-1各地区分性别、身体健康状况的老年人口-地区别-地区别,表9-1各地区分性别、身体健康状况的老年人口-60岁及以上人口-小计,表9-1各地区分性别、身体健康状况的老年人口-60岁及以上人口-男,表9-1各地区分性别、身体健康状况的老年人口-60岁及以上人口-女,表9-1各地区分性别、身体健康状况的老年人口-身体健康-小计,表9-1各地区分性别、身体健康状况的老年人口-身体健康-男,表9-1各地区分性别、身体健康状况的老年人口-身体健康-女,表9-1各地区分性别、身体健康状况的老年人口-基本能保证正常的工作生活-小计,表9-1各地区分性别、身体健康状况的老年人口-基本能保证正常的工作生活-男,表9-1各地区分性别、身体健康状况的老年人口-基本能保证正常的工作生活-女,表9-1各地区分性别、身体健康状况的老年人口-不能正常工作或生活不能自理-小计,表9-1各地区分性别、身体健康状况的老年人口-不能正常工作或生活不能自理-男,表9-1各地区分性别、身体健康状况的老年人口-不能正常工作或生活不能自理-女,表9-1各地区分性别、身体健康状况的老年人口-说不准-小计,表9-1各地区分性别、身体健康状况的老年人口-单位：人-说不准-男,表9-1各地区分性别、身体健康状况的老年人口-说不准-女
湖南省,89137,44712,44425,47242,25875,21367,27191,12644,14547,12171,5122,7049,2533,1071,1462
长沙市,8491,4258,4233,4107,2262,1845,3211,1472,1739,907,399,508,266,125,141
株洲市,4891,2479,2412,2884,1575,1309,1308,619,689,545,226,319,154,59,95
湘潭市,4866,2437,2429,2625,1441,1184,1613,737,876,492,203,289,136,56,80
衡阳市,8861,4446,4415,4718,2624,2094,2432,1114,1318,1440,592,848,271,116,155
邵阳市,9999,5003,4996,5185,2891,2294,2955,1326,1629,1626,695,931,233,91,142
岳阳市,5859,2992,2867,3172,1758,1414,1712,822,890,790,331,459,185,81,104
常德市,8644,4355,4289,3966,2265,1701,2980,1404,1576,1372,553,819,326,133,193
张家界市,2410,1210,1200,1424,756,668,714,331,383,229,104,125,43,19,24
益阳市,6393,3313,3080,3201,1792,1409,2023,1010,1013,1026,439,587,143,72,71
郴州市,5877,2906,2971,3460,1842,1618,1622,730,892,616,264,352,179,70,109
永州市,6594,3301,3293,3921,2070,1851,1724,813,911,748,331,417,201,87,114
怀化市,7017,3488,3529,3750,2036,1714,2092,984,1108,996,398,598,179,70,109
娄底市,5331,2625,2706,2481,1340,1141,1863,865,998,807,345,462,180,75,105
湘西土家族苗族自治州,3904,1899,2005,2348,1223,1125,942,417,525,577,242,335,37,17,20
