8-1各地区分性别、健康状况的60岁及以上老年人口-地区-地区,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-60岁及以上人口-合计,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-60岁及以上人口-男,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-60岁及以上人口-女,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-健康-小计,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-健康-男,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-健康-女,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-基本健康-小计,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-基本健康-男,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-基本健康-女,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-不健康，但生活能自理-小计,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-不健康，但生活能自理-男,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-不健康，但生活能自理-女,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-不健康，生活不能自理-小计,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-不健康，生活不能自理-男,8-1各地区分性别、健康状况的60岁及以上老年人口-单位：人-不健康，生活不能自理-女
,,,,,,,,,,,,,,,
全    国,25523101.0,12312008.0,13211093.0,13946479.0,7084568.0,6861911.0,8322635.0,3763391.0,4559244.0,2655869.0,1202575.0,1453294.0,598118.0,261474.0,336644.0
,,,,,,,,,,,,,,,
北    京,428002.0,201396.0,226606.0,265572.0,129309.0,136263.0,122493.0,54331.0,68162.0,27755.0,12459.0,15296.0,12182.0,5297.0,6885.0
天    津,276745.0,131947.0,144798.0,153242.0,75801.0,77441.0,96376.0,43601.0,52775.0,20302.0,9283.0,11019.0,6825.0,3262.0,3563.0
河    北,1441053.0,690432.0,750621.0,755909.0,380836.0,375073.0,463083.0,209215.0,253868.0,179381.0,81982.0,97399.0,42680.0,18399.0,24281.0
山    西,641115.0,315685.0,325430.0,294765.0,156393.0,138372.0,231573.0,107725.0,123848.0,96102.0,43363.0,52739.0,18675.0,8204.0,10471.0
内 蒙 古,458505.0,222262.0,236243.0,208250.0,108419.0,99831.0,163337.0,75043.0,88294.0,72460.0,32249.0,40211.0,14458.0,6551.0,7907.0
,,,,,,,,,,,,,,,
辽    宁,1053493.0,502283.0,551210.0,572796.0,286220.0,286576.0,334574.0,149622.0,184952.0,124049.0,56101.0,67948.0,22074.0,10340.0,11734.0
吉    林,508469.0,241775.0,266694.0,239949.0,120199.0,119750.0,175558.0,78890.0,96668.0,76471.0,34973.0,41498.0,16491.0,7713.0,8778.0
黑 龙 江,676647.0,321317.0,355330.0,314887.0,157095.0,157792.0,260751.0,117873.0,142878.0,86759.0,39524.0,47235.0,14250.0,6825.0,7425.0
,,,,,,,,,,,,,,,
上    海,569165.0,273188.0,295977.0,351729.0,176468.0,175261.0,162465.0,73297.0,89168.0,36910.0,16194.0,20716.0,18061.0,7229.0,10832.0
江    苏,1768129.0,855251.0,912878.0,1081481.0,546452.0,535029.0,518292.0,232296.0,285996.0,133259.0,61258.0,72001.0,35097.0,15245.0,19852.0
浙    江,1176613.0,581439.0,595174.0,764948.0,394258.0,370690.0,311544.0,139522.0,172022.0,76120.0,36729.0,39391.0,24001.0,10930.0,13071.0
安    徽,1115044.0,545996.0,569048.0,571624.0,298620.0,273004.0,384914.0,174964.0,209950.0,129741.0,60167.0,69574.0,28765.0,12245.0,16520.0
福    建,635334.0,308421.0,326913.0,400957.0,203959.0,196998.0,178859.0,78689.0,100170.0,44566.0,20920.0,23646.0,10952.0,4853.0,6099.0
江    西,761001.0,369323.0,391678.0,462082.0,236030.0,226052.0,229013.0,101054.0,127959.0,57342.0,26647.0,30695.0,12564.0,5592.0,6972.0
山    东,2068666.0,978025.0,1090641.0,1223362.0,606391.0,616971.0,577766.0,253199.0,324567.0,214761.0,96244.0,118517.0,52777.0,22191.0,30586.0
,,,,,,,,,,,,,,,
河    南,1707479.0,807575.0,899904.0,963865.0,477490.0,486375.0,516161.0,229731.0,286430.0,185452.0,83056.0,102396.0,42001.0,17298.0,24703.0
湖    北,1181529.0,575416.0,606113.0,589925.0,304492.0,285433.0,428454.0,197540.0,230914.0,139816.0,63178.0,76638.0,23334.0,10206.0,13128.0
湖    南,1305917.0,640531.0,665386.0,611680.0,320608.0,291072.0,508937.0,235755.0,273182.0,156517.0,71332.0,85185.0,28783.0,12836.0,15947.0
广    东,1443501.0,693938.0,749563.0,871659.0,437371.0,434288.0,444845.0,199916.0,244929.0,98741.0,44471.0,54270.0,28256.0,12180.0,16076.0
广    西,794598.0,375621.0,418977.0,407856.0,205958.0,201898.0,279965.0,122927.0,157038.0,86643.0,37813.0,48830.0,20134.0,8923.0,11211.0
海    南,136158.0,64999.0,71159.0,68766.0,35442.0,33324.0,48800.0,21674.0,27126.0,15256.0,6437.0,8819.0,3336.0,1446.0,1890.0
,,,,,,,,,,,,,,,
重    庆,693072.0,343078.0,349994.0,414146.0,212797.0,201349.0,210369.0,97818.0,112551.0,54947.0,26237.0,28710.0,13610.0,6226.0,7384.0
四    川,1817836.0,890745.0,927091.0,891240.0,461612.0,429628.0,674854.0,314267.0,360587.0,209097.0,95926.0,113171.0,42645.0,18940.0,23705.0
贵    州,575342.0,274049.0,301293.0,364939.0,179584.0,185355.0,157235.0,69575.0,87660.0,42272.0,19742.0,22530.0,10896.0,5148.0,5748.0
云    南,692031.0,329187.0,362844.0,375159.0,189132.0,186027.0,227818.0,101163.0,126655.0,73249.0,32172.0,41077.0,15805.0,6720.0,9085.0
西    藏,28527.0,12919.0,15608.0,10271.0,5213.0,5058.0,11563.0,5043.0,6520.0,5391.0,2162.0,3229.0,1302.0,501.0,801.0
,,,,,,,,,,,,,,,
陕    西,714762.0,348700.0,366062.0,357395.0,185268.0,172127.0,261156.0,120827.0,140329.0,81267.0,36190.0,45077.0,14944.0,6415.0,8529.0
甘    肃,410723.0,201303.0,209420.0,166419.0,90491.0,75928.0,169596.0,78896.0,90700.0,65469.0,28041.0,37428.0,9239.0,3875.0,5364.0
青    海,69612.0,33372.0,36240.0,29259.0,15423.0,13836.0,27560.0,12582.0,14978.0,10571.0,4478.0,6093.0,2222.0,889.0,1333.0
宁    夏,96276.0,47098.0,49178.0,42315.0,22824.0,19491.0,36400.0,16805.0,19595.0,15026.0,6388.0,8638.0,2535.0,1081.0,1454.0
新    疆,277757.0,134737.0,143020.0,120032.0,64413.0,55619.0,108324.0,49551.0,58773.0,40177.0,16859.0,23318.0,9224.0,3914.0,5310.0
