表9-5各地区分性别、婚姻状况的老年人口-地区别-地区别,表9-5各地区分性别、婚姻状况的老年人口-60岁及以上人口-小计,表9-5各地区分性别、婚姻状况的老年人口-60岁及以上人口-男,表9-5各地区分性别、婚姻状况的老年人口-60岁及以上人口-女,表9-5各地区分性别、婚姻状况的老年人口-未婚-小计,表9-5各地区分性别、婚姻状况的老年人口-未婚-男,表9-5各地区分性别、婚姻状况的老年人口-未婚-女,表9-5各地区分性别、婚姻状况的老年人口-初婚有配偶-小计,表9-5各地区分性别、婚姻状况的老年人口-初婚有配偶-男,表9-5各地区分性别、婚姻状况的老年人口-初婚有配偶-女,表9-5各地区分性别、婚姻状况的老年人口-再婚有配偶-小计,表9-5各地区分性别、婚姻状况的老年人口-再婚有配偶-男,表9-5各地区分性别、婚姻状况的老年人口-再婚有配偶-女,表9-5各地区分性别、婚姻状况的老年人口-离婚-小计,表9-5各地区分性别、婚姻状况的老年人口-离婚-男,表9-5各地区分性别、婚姻状况的老年人口-离婚-女,表9-5各地区分性别、婚姻状况的老年人口-丧偶-小计,表9-5各地区分性别、婚姻状况的老年人口-单位：人-丧偶-男,表9-5各地区分性别、婚姻状况的老年人口-丧偶-女
湖南省,89137,44712,44425,1258,1200,58,58542,33329,25213,3440,1913,1527,541,397,144,25356,7873,17483
长沙市,8491,4258,4233,133,121,12,5568,3157,2411,405,233,172,75,52,23,2310,695,1615
株洲市,4891,2479,2412,63,58,5,3139,1771,1368,217,112,105,26,17,9,1446,521,925
湘潭市,4866,2437,2429,90,87,3,3189,1831,1358,167,99,68,26,19,7,1394,401,993
衡阳市,8861,4446,4415,115,105,10,5753,3339,2414,270,147,123,35,28,7,2688,827,1861
邵阳市,9999,5003,4996,128,124,4,6740,3877,2863,354,192,162,48,39,9,2729,771,1958
岳阳市,5859,2992,2867,97,93,4,3887,2210,1677,232,126,106,33,23,10,1610,540,1070
常德市,8644,4355,4289,118,114,4,5630,3188,2442,400,209,191,90,70,20,2406,774,1632
张家界市,2410,1210,1200,19,18,1,1601,896,705,118,61,57,13,9,4,659,226,433
益阳市,6393,3313,3080,102,101,1,4331,2469,1862,239,134,105,39,29,10,1682,580,1102
郴州市,5877,2906,2971,78,77,1,3756,2150,1606,209,123,86,38,26,12,1796,530,1266
永州市,6594,3301,3293,158,153,5,4119,2339,1780,213,112,101,41,32,9,2063,665,1398
怀化市,7017,3488,3529,57,54,3,4744,2654,2090,305,185,120,31,19,12,1880,576,1304
娄底市,5331,2625,2706,67,64,3,3528,2036,1492,171,98,73,26,19,7,1539,408,1131
湘西土家族苗族自治州,3904,1899,2005,33,31,2,2557,1412,1145,140,82,58,20,15,5,1154,359,795
