表9-3各地区分性别、主要生活来源的老年人口-地区别-地区别,表9-3各地区分性别、主要生活来源的老年人口-60岁及以上人口-小计,表9-3各地区分性别、主要生活来源的老年人口-60岁及以上人口-男,表9-3各地区分性别、主要生活来源的老年人口-60岁及以上人口-女,表9-3各地区分性别、主要生活来源的老年人口-劳动收入-小计,表9-3各地区分性别、主要生活来源的老年人口-劳动收入-男,表9-3各地区分性别、主要生活来源的老年人口-劳动收入-女,表9-3各地区分性别、主要生活来源的老年人口-离退休金、养老金-小计,表9-3各地区分性别、主要生活来源的老年人口-离退休金、养老金-男,表9-3各地区分性别、主要生活来源的老年人口-离退休金、养老金-女,表9-3各地区分性别、主要生活来源的老年人口-失业保险金-小计,表9-3各地区分性别、主要生活来源的老年人口-失业保险金-男,表9-3各地区分性别、主要生活来源的老年人口-失业保险金-女,表9-3各地区分性别、主要生活来源的老年人口-最低生活保障金-小计,表9-3各地区分性别、主要生活来源的老年人口-最低生活保障金-男,表9-3各地区分性别、主要生活来源的老年人口-最低生活保障金-女,表9-3各地区分性别、主要生活来源的老年人口-下岗生活费-小计,表9-3各地区分性别、主要生活来源的老年人口-下岗生活费-男,表9-3各地区分性别、主要生活来源的老年人口-下岗生活费-女,表9-3各地区分性别、主要生活来源的老年人口-内退生活费-小计,表9-3各地区分性别、主要生活来源的老年人口-内退生活费-男,表9-3各地区分性别、主要生活来源的老年人口-内退生活费-女,表9-3各地区分性别、主要生活来源的老年人口-财产性收入-小计,表9-3各地区分性别、主要生活来源的老年人口-财产性收入-男,表9-3各地区分性别、主要生活来源的老年人口-财产性收入-女,表9-3各地区分性别、主要生活来源的老年人口-家庭其他成员供养-小计,表9-3各地区分性别、主要生活来源的老年人口-家庭其他成员供养-男,表9-3各地区分性别、主要生活来源的老年人口-家庭其他成员供养-女,表9-3各地区分性别、主要生活来源的老年人口-单位：人-其它-小计,表9-3各地区分性别、主要生活来源的老年人口-单位：人-其它-男,表9-3各地区分性别、主要生活来源的老年人口-单位：人-其它-女
湖南省,89137,44712,44425,24029,16522,7507,13204,9083,4121,55.0,32.0,23.0,1742,907,835,60,30,30,45,35,10,211,101,110,48188,17137,31051,1603,865,738
长沙市,8491,4258,4233,1195,965,230,2510,1511,999,2.0,1.0,1.0,338,182,156,3,1,2,3,3,0,50,25,25,4233,1494,2739,157,76,81
株洲市,4891,2479,2412,1038,765,273,810,532,278,5.0,3.0,2.0,94,48,46,5,3,2,8,7,1,12,8,4,2874,1090,1784,45,23,22
湘潭市,4866,2437,2429,976,713,263,1307,830,477,8.0,5.0,3.0,102,42,60,4,1,3,6,5,1,6,4,2,2381,788,1593,76,49,27
衡阳市,8861,4446,4415,2201,1570,631,1405,953,452,6.0,3.0,3.0,100,49,51,9,7,2,2,1,1,10,4,6,4981,1782,3199,147,77,70
邵阳市,9999,5003,4996,2999,2015,984,1219,925,294,8.0,4.0,4.0,141,69,72,9,3,6,5,4,1,29,12,17,5409,1873,3536,180,98,82
岳阳市,5859,2992,2867,1339,1028,311,931,608,323,3.0,1.0,2.0,137,77,60,1,1,0,3,3,0,15,9,6,3267,1174,2093,163,91,72
常德市,8644,4355,4289,3059,1979,1080,1188,816,372,3.0,1.0,2.0,220,122,98,3,1,2,1,0,1,15,6,9,4000,1348,2652,155,82,73
张家界市,2410,1210,1200,1198,682,516,157,130,27,3.0,3.0,0.0,20,14,6,1,1,0,1,1,0,5,0,5,994,360,634,31,19,12
益阳市,6393,3313,3080,1607,1267,340,431,334,97,4.0,3.0,1.0,125,73,52,4,2,2,2,2,0,18,13,5,4094,1567,2527,108,52,56
郴州市,5877,2906,2971,1442,974,468,841,637,204,1.0,0.0,1.0,146,58,88,6,2,4,2,1,1,4,2,2,3302,1160,2142,133,72,61
永州市,6594,3301,3293,1965,1300,665,624,474,150,5.0,3.0,2.0,127,74,53,7,3,4,2,1,1,10,3,7,3723,1362,2361,131,81,50
怀化市,7017,3488,3529,2400,1591,809,640,452,188,4.0,2.0,2.0,63,31,32,2,2,0,4,4,0,13,5,8,3784,1348,2436,107,53,54
娄底市,5331,2625,2706,1313,892,421,854,657,197,3.0,3.0,0.0,92,45,47,3,1,2,2,0,2,17,7,10,2946,963,1983,101,57,44
湘西土家族苗族自治州,3904,1899,2005,1297,781,516,287,224,63,,,,37,23,14,3,2,1,4,3,1,7,3,4,2200,828,1372,69,35,34
