2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-民族-民族,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-合计-合计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-生男孩的-妇女人数,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-生女孩的-妇女人数,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-一孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-一孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-一孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-二孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-二孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-二孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-三孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-三孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-三孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-四孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-四孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-四孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-五孩及以上-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-五孩及以上-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-五孩及以上-女
,,,,,,,,,,,,,,,,,,
总  计,1212321.0,641238.0,571083.0,555030.0,294657.0,260373.0,522301.0,269715.0,252586.0,109320.0,62388.0,46932.0,19501.0,11025.0,8476.0,6169.0,3453.0,2716.0
汉  族,1084567.0,573850.0,510717.0,500255.0,265685.0,234570.0,470181.0,242586.0,227595.0,94508.0,54307.0,40201.0,15482.0,8891.0,6591.0,4141.0,2381.0,1760.0
蒙古族,5574.0,2906.0,2668.0,3066.0,1603.0,1463.0,2248.0,1165.0,1083.0,226.0,122.0,104.0,31.0,14.0,17.0,3.0,2.0,1.0
回  族,12626.0,6642.0,5984.0,5299.0,2786.0,2513.0,4861.0,2493.0,2368.0,1755.0,965.0,790.0,507.0,282.0,225.0,204.0,116.0,88.0
藏  族,9431.0,4837.0,4594.0,3432.0,1854.0,1578.0,3132.0,1601.0,1531.0,1559.0,760.0,799.0,683.0,323.0,360.0,625.0,299.0,326.0
维吾尔族,7252.0,3737.0,3515.0,3720.0,1955.0,1765.0,2696.0,1372.0,1324.0,717.0,372.0,345.0,98.0,33.0,65.0,21.0,5.0,16.0
苗  族,13383.0,7136.0,6247.0,5282.0,2786.0,2496.0,5510.0,2913.0,2597.0,1829.0,1000.0,829.0,514.0,296.0,218.0,248.0,141.0,107.0
彝  族,13327.0,7090.0,6237.0,5222.0,2785.0,2437.0,4909.0,2560.0,2349.0,2016.0,1098.0,918.0,767.0,409.0,358.0,413.0,238.0,175.0
壮  族,19095.0,10227.0,8868.0,7515.0,4031.0,3484.0,8929.0,4656.0,4273.0,2189.0,1274.0,915.0,360.0,208.0,152.0,102.0,58.0,44.0
布依族,4269.0,2263.0,2006.0,1773.0,934.0,839.0,1900.0,996.0,904.0,472.0,269.0,203.0,104.0,54.0,50.0,20.0,10.0,10.0
朝鲜族,532.0,270.0,262.0,375.0,194.0,181.0,144.0,70.0,74.0,10.0,5.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0
满  族,7117.0,3709.0,3408.0,4065.0,2145.0,1920.0,2774.0,1401.0,1373.0,248.0,145.0,103.0,25.0,15.0,10.0,5.0,3.0,2.0
侗  族,3682.0,1970.0,1712.0,1431.0,779.0,652.0,1740.0,897.0,843.0,438.0,252.0,186.0,60.0,36.0,24.0,13.0,6.0,7.0
瑶  族,3725.0,1979.0,1746.0,1413.0,759.0,654.0,1517.0,781.0,736.0,497.0,271.0,226.0,174.0,104.0,70.0,124.0,64.0,60.0
白  族,2177.0,1096.0,1081.0,1022.0,520.0,502.0,1012.0,497.0,515.0,111.0,64.0,47.0,22.0,12.0,10.0,10.0,3.0,7.0
土家族,9041.0,4826.0,4215.0,4185.0,2191.0,1994.0,3941.0,2113.0,1828.0,740.0,430.0,310.0,137.0,73.0,64.0,38.0,19.0,19.0
哈尼族,2219.0,1146.0,1073.0,870.0,461.0,409.0,832.0,431.0,401.0,343.0,163.0,180.0,136.0,72.0,64.0,38.0,19.0,19.0
