6-4各地区育龄妇女年龄别生育率-地区-地区,6-4各地区育龄妇女年龄别生育率-15-19岁-15-19岁,6-4各地区育龄妇女年龄别生育率-20-24岁-20-24岁,6-4各地区育龄妇女年龄别生育率-25-29岁-25-29岁,6-4各地区育龄妇女年龄别生育率-30-34岁-30-34岁,6-4各地区育龄妇女年龄别生育率-35-39岁-35-39岁,6-4各地区育龄妇女年龄别生育率-40-44岁-40-44岁,6-4各地区育龄妇女年龄别生育率-45-49岁-45-49岁,6-4各地区育龄妇女年龄别生育率-单位：‰-总和-生育率
,,,,,,,,
全    国,6.0,55.0,99.0,65.0,27.0,6.0,2.0,1301.0
,,,,,,,,
北    京,1.0,12.0,56.0,67.0,30.0,7.0,1.0,868.0
天    津,1.0,27.0,74.0,55.0,22.0,4.0,1.0,921.0
河    北,4.0,62.0,105.0,60.0,22.0,5.0,1.0,1301.0
山    西,2.0,46.0,105.0,65.0,23.0,4.0,1.0,1224.0
内 蒙 古,2.0,34.0,98.0,69.0,28.0,5.0,1.0,1189.0
,,,,,,,,
辽    宁,2.0,29.0,74.0,52.0,20.0,5.0,1.0,916.0
吉    林,2.0,30.0,74.0,47.0,19.0,3.0,1.0,879.0
黑 龙 江,2.0,25.0,64.0,42.0,15.0,3.0,1.0,758.0
,,,,,,,,
上    海,3.0,21.0,53.0,47.0,19.0,5.0,1.0,740.0
江    苏,4.0,42.0,87.0,50.0,19.0,4.0,2.0,1038.0
浙    江,6.0,42.0,80.0,52.0,22.0,5.0,1.0,1044.0
安    徽,6.0,65.0,106.0,66.0,27.0,6.0,1.0,1387.0
福    建,6.0,57.0,108.0,69.0,28.0,6.0,2.0,1378.0
江    西,5.0,70.0,111.0,64.0,24.0,6.0,2.0,1407.0
山    东,3.0,51.0,107.0,77.0,37.0,9.0,2.0,1431.0
,,,,,,,,
河    南,5.0,63.0,109.0,71.0,27.0,6.0,2.0,1412.0
湖    北,2.0,40.0,97.0,63.0,25.0,5.0,2.0,1170.0
湖    南,4.0,56.0,105.0,68.0,27.0,7.0,2.0,1343.0
广    东,6.0,53.0,101.0,71.0,32.0,8.0,2.0,1362.0
广    西,11.0,83.0,134.0,96.0,47.0,13.0,3.0,1936.0
海    南,13.0,67.0,106.0,77.0,35.0,11.0,2.0,1552.0
,,,,,,,,
重    庆,4.0,50.0,95.0,60.0,23.0,4.0,1.0,1188.0
四    川,6.0,58.0,95.0,59.0,23.0,5.0,1.0,1231.0
贵    州,25.0,116.0,142.0,88.0,39.0,11.0,2.0,2119.0
云    南,18.0,81.0,110.0,70.0,31.0,8.0,2.0,1605.0
西    藏,16.0,109.0,118.0,78.0,41.0,17.0,6.0,1927.0
,,,,,,,,
陕    西,2.0,38.0,96.0,65.0,25.0,5.0,1.0,1164.0
甘    肃,11.0,82.0,131.0,78.0,27.0,5.0,1.0,1685.0
青    海,21.0,77.0,107.0,70.0,33.0,8.0,3.0,1589.0
宁    夏,15.0,86.0,121.0,78.0,28.0,5.0,1.0,1672.0
新    疆,3.0,50.0,81.0,51.0,19.0,5.0,1.0,1055.0
