7-4能源消费量及构成-TotalConsumptionofEnergyandItsComposition-类别,7-4能源消费量及构成-TotalConsumptionofEnergyandItsComposition-Category,7-4能源消费量及构成-TotalConsumptionofEnergyandItsComposition-2019,7-4能源消费量及构成-TotalConsumptionofEnergyandItsComposition-2020,7-4能源消费量及构成-TotalConsumptionofEnergyandItsComposition-2021,7-4能源消费量及构成-TotalConsumptionofEnergyandItsComposition-2022,7-4能源消费量及构成-TotalConsumptionofEnergyandItsComposition-2023
,,,,,,
能源消费量(折标准煤),Energy Consumption,41390.0,43649.0,45935.0,48167.0,52589.0
(万吨标准煤),(10 000 tons of SCE),,,,,
构  成,Composition,,,,,
煤  品                 (%),Coal                                        (%),67.0,64.0,61.0,58.0,53.0
油  品                 (%),Oil                                          (%),16.0,17.0,18.0,21.0,23.0
天然气                 (%),Natural Gas                            (%),5.0,6.0,6.0,5.0,5.0
一次电力               (%),Primary Electricity                 (%),4.0,4.0,6.0,7.0,8.0
电力净调入(+)          (%),Net Input of Electricity (+)     (%),6.0,7.0,7.0,8.0,8.0
其  他                 (%),Others                                   (%),2.0,2.0,2.0,2.0,3.0
,,,,,,
,,,,,,
注：本表使用等价折标系数折算标准煤。,,,,,,
a) Data of standard coal equivalent are calculated on the basis of the consumed heat value equivalent.,,,,,,
