7-1主要年份一次能源生产总量-PrimaryEnergyOutputinMajorYears-单位:万吨标煤-年份Year-年份Year,7-1主要年份一次能源生产总量-PrimaryEnergyOutputinMajorYears-能源生产总量TotalEnergyProduction-能源生产总量TotalEnergyProduction,7-1主要年份一次能源生产总量-PrimaryEnergyOutputinMajorYears-原煤CrudeCoal,7-1主要年份一次能源生产总量-PrimaryEnergyOutputinMajorYears-原油CrudeOil,7-1主要年份一次能源生产总量-PrimaryEnergyOutputinMajorYears-天然气NaturalGas,7-1主要年份一次能源生产总量-PrimaryEnergyOutputinMajorYears-(10000tonsofSCE)-一次电力PrimaryElectricity
"年 份
Year","能源生产
总    量
Total Energy
Production","原  煤
Crude Coal","原  油
Crude Oil","天然气
Natural Gas","一次电力
Primary 
Electricity"
"年 份
Year","能源生产
总    量
Total Energy
Production","原  煤
Crude Coal","原  油
Crude Oil","天然气
Natural Gas","一次电力
Primary 
Electricity"
"年 份
Year","能源生产
总    量
Total Energy
Production","原  煤
Crude Coal","原  油
Crude Oil","天然气
Natural Gas","一次电力
Primary 
Electricity"
,,,,,
1949,121,121,,,
1952,259,259,,,
1955,343,343,,,
1956,387,387,,,
1957,440,440,,,
1962,1041,1041,0,,0
1965,1363,1243,120,,0
1970,2384,1716,668,,0
1975,4555,2037,2389,129,1
1976,5014,2383,2501,129,1
1977,5387,2728,2503,156,1
1978,5902,2929,2781,190,1
1979,6075,3170,2697,205,2
1980,5873,3065,2617,189,3
1981,5393,2950,2302,139,2
1982,5506,3041,2335,129,0
1983,5898,3132,2625,140,1
1984,6697,3259,3288,148,1
1985,7532,3516,3862,152,2
1986,8047,3643,4216,186,3
1987,8511,3798,4514,197,1
1988,8918,3971,4758,189,1
1989,9039,4068,4765,205,0
1990,9262,4283,4787,191,2
1991,9270,4283,4793,191,3
1992,9509,4536,4780,192,1
1993,9875,4520,5172,182,2
1994,10625,5561,4887,174,3
1995,10758,6305,4295,156,2
1996,10698,6393,4160,145,1
1997,10621,6496,4002,122,1
1998,10436,6412,3902,122,0
1999,10322,6425,3808,89,1
2000,9649,5742,3822,84,1
2001,11550,7634,3812,103,1
2002,13242,9333,3817,91,1
2003,14384,10477,3809,98,0
2004,14395,10462,3821,112,0
2005,13996,10022,3849,123,2
2006,14083,10042,3936,103,2
2007,14617,10526,3990,99,1
2008,14615,10501,3999,113,3
2009,14600,10424,4040,120,16
2010,16056,11913,3980,129,33
2011,15998,11586,3974,64,53
2012,16974,12528,3964,76,79
2013,15165,10723,3895,65,116
2014,15220,10700,3876,63,133
2015,14693,10277,3752,58,162
2016,13617,9405,3302,56,229
2017,13710,9623,3193,50,306
2018,13102,8828,3203,53,484
2019,12539,7821,3178,56,743
2020,12206,7423,3170,63,817
2021,11544,6323,3158,68,1142
2022,11805,6026,3143,88,1367
2023,12935,6191,3163,97,1701
,,,,,
,,,,,
注：1.本表使用当量折标系数折算标准煤。,,,,,
"2.2009年开始，一次电力包含水电、风电、核电、生物质发电和太阳能光伏发电,1949-2008年数据为水电。",,,,,
a) Data of standard coal equivalent is calculated on the basis of heat value equivalent.,,,,,
"b) Since 2009, Primary Electricity includes that generated by hydro power, wind power, nuclear power, bio-energy and",,,,,
"solar PV power, and data of 1949-2008 refer to hydro power.",,,,,
