5月16日虚假揽收单量-网点-网点,5月16日虚假揽收单量-淘系-已揽未发,5月16日虚假揽收单量-淘系-在途未到中心,5月16日虚假揽收单量-字节-已揽未发,5月16日虚假揽收单量-字节-在途未到中心,5月16日虚假揽收单量-虚假揽收总计-虚假揽收总计
总计,333,205,40,70,648
大连开发区,130,31,8,39,208
大连腾飞软件园分部,0,49,0,0,49
大连明秀分部,4,32,0,0,36
大连中山一部,24,0,0,0,24
大连甘井子二部,0,5,18,0,23
大连沙区二部,20,0,0,0,20
大连普兰店,11,1,0,8,20
大连滨港分部,18,0,0,0,18
大连庄河,17,0,0,0,17
大连瓦房店,13,2,1,1,17
大连甘井子六部,1,14,0,2,17
大连金州,15,0,1,0,16
大连西岗三部,11,3,0,1,15
大连长海县,1,13,0,0,14
大连张家湾家村分部,5,0,8,0,13
大连市场部,0,5,0,6,11
大连华南广场分部,0,8,0,2,10
大连革镇堡分部,7,0,0,3,10
大连湾站,0,8,1,0,9
大连工人村,9,0,0,0,9
大连中山八部,8,0,0,0,8
大连营城子分部,0,7,0,0,7
大连中山五部,5,0,0,0,5
大连中南路分部,0,2,0,3,5
大连沙区七部,4,0,0,0,4
大连旅顺三涧堡,0,4,0,0,4
大连旅顺开发区,4,0,0,0,4
大连锦绣分部,1,0,3,0,4
大连甘井子一部,3,1,0,0,4
大连甘井子七部,0,3,0,1,4
大连西岗一部,0,2,0,1,3
大连沙区五部,0,3,0,0,3
大连沙区十部,0,0,0,3,3
大连旅顺,2,1,0,0,3
大连甘井子五部,0,3,0,0,3
大连东特花锦园,3,0,0,0,3
大连中山二部,1,1,0,0,2
大连新星绿城,1,1,0,0,2
大连西山水库分部,1,1,0,0,2
大连黄泥川,1,1,0,0,2
大连甘井子八部,1,1,0,0,2
大连中山四部,0,1,0,0,1
大连小平岛分部,1,0,0,0,1
大连西岗二部,1,0,0,0,1
大连沙区四部,1,0,0,0,1
大连泡崖一部,0,1,0,0,1
大连南关岭分部,1,0,0,0,1
大连龙王塘分部,0,1,0,0,1
大连理工大学分部,1,0,0,0,1
大连甘井子三部,1,0,0,0,1
