按键板束线返工工时、人力、材料损耗记录,按键板束线返工工时、人力、材料损耗记录.1,按键板束线返工工时、人力、材料损耗记录.2,按键板束线返工工时、人力、材料损耗记录.3,按键板束线返工工时、人力、材料损耗记录.4,按键板束线返工工时、人力、材料损耗记录.5,按键板束线返工工时、人力、材料损耗记录.6,按键板束线返工工时、人力、材料损耗记录.7,按键板束线返工工时、人力、材料损耗记录.8,按键板束线返工工时、人力、材料损耗记录.9,按键板束线返工工时、人力、材料损耗记录.10
返工步骤,操作内容,工时（秒）,返工人数,使用材料,材料规格,材料单位,使用数量,返工数量,消耗工时（秒）,材料数量
1,拆初包装箱取产品,30,2,-,,,,829,49740,
2,拆产品上下壳,25,1,-,,,,829,20725,
3,拆线换线,30,1,-,,,,829,24870,
4,组装上下壳,35,1,-,,,,829,29015,
5,工程性能测试,180,2,-,,,,829,298440,
6,外观检查,25,1,-,,,,829,20725,
7,成品检验（抽检）,300,1,-,,,,160,48000,
8,包装,30,2,初包装箱,WG-BP1860血压计初包装箱，三层瓦楞,个,1,829,49740,829
9,粘贴标签,25,1,S/N标签,亚银PET标签 S/N码+生产日期 30*10*0.05mm,个,7,829,20725,5803
10,封箱,20,1,透明胶带,,米,1,829,16580,497
,,,13,,,,,,578560,
,,,,,,,,,161小时,
