项目,明细,银禧聚创财务分析汇报数据-单位,45261,45292,45323,45352,45384,45415,45446,环比,变动幅度,说明
收入,销售收入,万元,91.0,80,49,114,102,118,136,18,0,
收入,销售数量,KG,2324.0,2103,1080,2526,2271,2623,3031,408,0,
收入,销售单价,元/KG,390.0,382,451,451,451,450,450,(0),(0),
收入,营业外收入,万元,0.0,1,1,1,0,0,0,(0),(1),理财本金赎回
主营业务成本,主营业务成本,万元,,135,63,134,121,144,134,(10),(0),取利润表
生产成本,生产数量,KG,3376.0,2556,841,2921,2187,2565,3914,1349,1,"投料3979KG,投入产出差异65KG，属于合理区间。"
生产成本,直接人工,万元,20.0,11,3,13,13,11,12,0,0,
生产成本,直接材料,万元,80.0,56,19,79,58,76,104,28,0,取材料进出存，其中酸酐9.63万元、外购单体91.29万元
生产成本,单位材料成本,元/KG,236.0,221,226,271,266,296,267,(30),(0),5月份含湿率超标
单位边际,单位边际,元/KG,154.0,161,225,180,185,154,184,29,0,
制造费用,职工薪酬,万元,10.0,9,6,9,9,9,9,(0),(0),
制造费用,折旧费,万元,5.0,5,5,5,5,5,5,0,0,
制造费用,摊销费,万元,11.0,11,11,11,11,11,11,0,0,
制造费用,物料消耗/蒸汽,万元,11.0,18,6,15,10,11,6,(5),(0),5月蒸汽结算方式改变调整1－4月份数调减3.05万元;1-5月危废价差调减6.3万元。
制造费用,水电费,万元,16.0,8,(3),8,2,6,5,(2),(0),6月冲回5月多计2.51万元。
制造费用,差旅费,万元,0.0,0,0,0,0,2,0,(1),(1),５月主要为3人前往山东、南京脱挥挤出验机、试料，三合一新锥网返厂。
制造费用,维修保养费,万元,0.0,0,0,0,0,1,0,(1),(1),５月空压机年度例行保养。
制造费用,房屋租赁费,万元,8.0,8,8,8,8,8,8,0,0,
制造费用,制造费用小计,万元,61.0,59,34,56,45,53,44,(9),(0),
管理费用,职工薪酬,万元,18.0,6,6,7,6,6,18,11,2,5月份开始承担部分总部人员工资5.6万元/月，6月份含5－6月份。
管理费用,折旧费,万元,0.0,0,0,0,0,0,0,(0),(0),
管理费用,办公/物料消耗,万元,0.0,1,1,3,0,0,0,(0),(0),
管理费用,水电费,万元,0.0,0,0,0,0,0,0,(0),(0),
管理费用,差旅费,万元,2.0,1,0,1,2,1,1,(0),(0),
管理费用,业务招待费,万元,1.0,0,0,2,1,2,0,(2),(1),
管理费用,招聘及培训费,万元,0.0,0,0,0,0,,,0,#DIV/0!,
管理费用,房屋租赁费,万元,1.0,1,1,1,1,1,1,0,0,
管理费用,其他费用,万元,0.0,1,0,0,0,,,0,#DIV/0!,
管理费用,管理费用小计,万元,21.0,10,8,13,10,10,19,9,1,总部人员5－6月工资11万元
其它期间费用,运杂费,万元,0.0,0,0,0,1,1,1,0,0,已经计入主营业务成本
其它期间费用,财务费用,万元,2.0,2,2,2,2,2,2,(0),(0),
其它期间费用,信用/资产减值损失,万元,12.0,8,(12),(2),(0),0,0,0,#DIV/0!,
其它期间费用,集团代付,万元,5.0,8,7,6,6,4,(4),(8),(2),
管理利润,管理利润,万元,50.0,(81),(19),(39),(36),(42),(15),27,(1),
