23-24两年一分一档对照表-分数-分数,23-24两年一分一档对照表-物理-2024人数,23-24两年一分一档对照表-物理-2024位次,23-24两年一分一档对照表-物理-2023人数,23-24两年一分一档对照表-物理-2023位次,23-24两年一分一档对照表-历史-2024人数,23-24两年一分一档对照表-历史-2024位次,23-24两年一分一档对照表-历史-2023人数,23-24两年一分一档对照表-历史-2023位次
691,,,31,31,,,,
690,,,7,38,,,,
689,31.0,31.0,11,49,,,,
688,9.0,40.0,6,55,,,,
687,6.0,46.0,12,67,,,,
686,5.0,51.0,6,73,,,,
685,5.0,56.0,12,85,,,,
684,7.0,63.0,15,100,,,,
683,7.0,70.0,9,109,,,,
682,7.0,77.0,13,122,,,,
681,15.0,92.0,20,142,,,,
680,21.0,113.0,21,163,,,,
679,15.0,128.0,19,182,,,,
678,11.0,139.0,30,212,,,,
677,16.0,155.0,33,245,,,,
676,21.0,176.0,20,265,,,,
675,17.0,193.0,29,294,,,,
674,17.0,210.0,32,326,,,,
673,18.0,228.0,30,356,32.0,32.0,,
672,28.0,256.0,28,384,1.0,33.0,,
671,35.0,291.0,32,416,0.0,33.0,,
670,22.0,313.0,37,453,7.0,40.0,,
669,28.0,341.0,55,508,3.0,43.0,,
668,29.0,370.0,40,548,5.0,48.0,,
667,26.0,396.0,60,608,6.0,54.0,,
666,37.0,433.0,58,666,6.0,60.0,,
665,44.0,477.0,59,725,6.0,66.0,,
664,40.0,517.0,60,785,8.0,74.0,30.0,30.0
663,46.0,563.0,60,845,7.0,81.0,2.0,32.0
662,40.0,603.0,62,907,8.0,89.0,7.0,39.0
661,57.0,660.0,62,969,4.0,93.0,4.0,43.0
660,60.0,720.0,74,1043,14.0,107.0,5.0,48.0
659,64.0,784.0,67,1110,5.0,112.0,8.0,56.0
658,69.0,853.0,71,1181,11.0,123.0,11.0,67.0
657,75.0,928.0,85,1266,13.0,136.0,11.0,78.0
656,72.0,1000.0,94,1360,16.0,152.0,10.0,88.0
655,63.0,1063.0,103,1463,15.0,167.0,8.0,96.0
654,79.0,1142.0,95,1558,21.0,188.0,12.0,108.0
653,81.0,1223.0,102,1660,20.0,208.0,13.0,121.0
652,112.0,1335.0,92,1752,18.0,226.0,10.0,131.0
651,87.0,1422.0,110,1862,22.0,248.0,16.0,147.0
650,96.0,1518.0,122,1984,23.0,271.0,9.0,156.0
649,88.0,1606.0,126,2110,26.0,297.0,14.0,170.0
648,100.0,1706.0,126,2236,35.0,332.0,18.0,188.0
647,111.0,1817.0,132,2368,37.0,369.0,17.0,205.0
646,112.0,1929.0,146,2514,28.0,397.0,19.0,224.0
645,130.0,2059.0,129,2643,23.0,420.0,15.0,239.0
644,133.0,2192.0,143,2786,35.0,455.0,21.0,260.0
643,142.0,2334.0,155,2941,41.0,496.0,9.0,269.0
642,139.0,2473.0,165,3106,37.0,533.0,21.0,290.0
641,149.0,2622.0,165,3271,31.0,564.0,33.0,323.0
640,156.0,2778.0,179,3450,39.0,603.0,32.0,355.0
639,174.0,2952.0,165,3615,46.0,649.0,26.0,381.0
638,144.0,3096.0,170,3785,38.0,687.0,29.0,410.0
637,167.0,3263.0,190,3975,36.0,723.0,29.0,439.0
636,169.0,3432.0,212,4187,61.0,784.0,36.0,475.0
635,196.0,3628.0,211,4398,48.0,832.0,23.0,498.0
634,195.0,3823.0,195,4593,44.0,876.0,24.0,522.0
633,194.0,4017.0,203,4796,55.0,931.0,34.0,556.0
632,203.0,4220.0,213,5009,57.0,988.0,33.0,589.0
631,231.0,4451.0,218,5227,59.0,1047.0,37.0,626.0
630,254.0,4705.0,222,5449,66.0,1113.0,43.0,669.0
629,191.0,4896.0,237,5686,79.0,1192.0,43.0,712.0
628,268.0,5164.0,211,5897,65.0,1257.0,45.0,757.0
627,245.0,5409.0,253,6150,65.0,1322.0,48.0,805.0
626,248.0,5657.0,280,6430,78.0,1400.0,36.0,841.0
625,254.0,5911.0,268,6698,74.0,1474.0,60.0,901.0
624,279.0,6190.0,270,6968,69.0,1543.0,55.0,956.0
623,287.0,6477.0,254,7222,98.0,1641.0,49.0,1005.0
622,289.0,6766.0,291,7513,73.0,1714.0,39.0,1044.0
621,302.0,7068.0,292,7805,100.0,1814.0,50.0,1094.0
620,320.0,7388.0,284,8089,105.0,1919.0,61.0,1155.0
619,325.0,7713.0,299,8388,80.0,1999.0,68.0,1223.0
618,358.0,8071.0,315,8703,97.0,2096.0,73.0,1296.0
617,338.0,8409.0,301,9004,93.0,2189.0,54.0,1350.0
616,341.0,8750.0,335,9339,122.0,2311.0,64.0,1414.0
615,396.0,9146.0,339,9678,114.0,2425.0,82.0,1496.0
614,369.0,9515.0,342,10020,106.0,2531.0,61.0,1557.0
613,393.0,9908.0,340,10360,120.0,2651.0,76.0,1633.0
612,400.0,10308.0,358,10718,113.0,2764.0,66.0,1699.0
611,407.0,10715.0,353,11071,118.0,2882.0,67.0,1766.0
610,425.0,11140.0,410,11481,116.0,2998.0,72.0,1838.0
609,425.0,11565.0,402,11883,126.0,3124.0,82.0,1920.0
608,435.0,12000.0,404,12287,121.0,3245.0,79.0,1999.0
607,449.0,12449.0,413,12700,123.0,3368.0,73.0,2072.0
606,449.0,12898.0,451,13151,115.0,3483.0,100.0,2172.0
605,487.0,13385.0,436,13587,136.0,3619.0,79.0,2251.0
604,451.0,13836.0,419,14006,122.0,3741.0,80.0,2331.0
603,498.0,14334.0,377,14383,141.0,3882.0,101.0,2432.0
602,532.0,14866.0,421,14804,139.0,4021.0,94.0,2526.0
601,521.0,15387.0,427,15231,154.0,4175.0,101.0,2627.0
600,563.0,15950.0,456,15687,125.0,4300.0,94.0,2721.0
599,503.0,16453.0,448,16135,151.0,4451.0,66.0,2787.0
598,519.0,16972.0,454,16589,150.0,4601.0,93.0,2880.0
597,589.0,17561.0,450,17039,169.0,4770.0,106.0,2986.0
596,550.0,18111.0,468,17507,163.0,4933.0,123.0,3109.0
595,552.0,18663.0,497,18004,181.0,5114.0,96.0,3205.0
594,615.0,19278.0,446,18450,155.0,5269.0,124.0,3329.0
593,615.0,19893.0,528,18978,160.0,5429.0,122.0,3451.0
592,618.0,20511.0,534,19512,176.0,5605.0,107.0,3558.0
591,636.0,21147.0,545,20057,198.0,5803.0,123.0,3681.0
590,625.0,21772.0,550,20607,170.0,5973.0,127.0,3808.0
589,661.0,22433.0,552,21159,194.0,6167.0,130.0,3938.0
588,622.0,23055.0,532,21691,189.0,6356.0,118.0,4056.0
587,652.0,23707.0,541,22232,204.0,6560.0,127.0,4183.0
586,653.0,24360.0,593,22825,178.0,6738.0,150.0,4333.0
585,681.0,25041.0,528,23353,208.0,6946.0,135.0,4468.0
584,680.0,25721.0,594,23947,192.0,7138.0,126.0,4594.0
583,719.0,26440.0,572,24519,198.0,7336.0,150.0,4744.0
582,743.0,27183.0,574,25093,182.0,7518.0,157.0,4901.0
581,718.0,27901.0,584,25677,190.0,7708.0,148.0,5049.0
580,794.0,28695.0,644,26321,232.0,7940.0,143.0,5192.0
579,761.0,29456.0,628,26949,204.0,8144.0,133.0,5325.0
578,801.0,30257.0,622,27571,236.0,8380.0,181.0,5506.0
577,823.0,31080.0,666,28237,215.0,8595.0,138.0,5644.0
576,770.0,31850.0,654,28891,256.0,8851.0,146.0,5790.0
575,823.0,32673.0,625,29516,215.0,9066.0,154.0,5944.0
574,803.0,33476.0,628,30144,243.0,9309.0,169.0,6113.0
573,776.0,34252.0,698,30842,240.0,9549.0,206.0,6319.0
572,857.0,35109.0,653,31495,237.0,9786.0,160.0,6479.0
571,815.0,35924.0,640,32135,235.0,10021.0,164.0,6643.0
570,824.0,36748.0,668,32803,250.0,10271.0,168.0,6811.0
569,869.0,37617.0,653,33456,259.0,10530.0,173.0,6984.0
568,873.0,38490.0,738,34194,284.0,10814.0,194.0,7178.0
567,942.0,39432.0,716,34910,263.0,11077.0,186.0,7364.0
566,938.0,40370.0,717,35627,247.0,11324.0,217.0,7581.0
565,921.0,41291.0,688,36315,312.0,11636.0,189.0,7770.0
564,920.0,42211.0,763,37078,311.0,11947.0,205.0,7975.0
563,918.0,43129.0,718,37796,276.0,12223.0,203.0,8178.0
562,878.0,44007.0,804,38600,262.0,12485.0,202.0,8380.0
561,962.0,44969.0,766,39366,278.0,12763.0,210.0,8590.0
560,926.0,45895.0,758,40124,289.0,13052.0,218.0,8808.0
