Style,Series,OrderSummary-OrderSKU,OrderSummary-OrderQuantity,OrderSummary-PickedSKU,OrderSummary-Picked-upQuantity,OrderSummary-UnpickedSKU,OrderSummary-UnclaimedQuantity,OrderSummary-WarehouseQuantity,OrderSummary-StoreQuantity,OrderSummary-ShippingQuantity,OrderSummary-SalesQuantity,NewStyle-OrderSKU,NewStyle-OrderQuantity,NewStyle-PickedSKU,NewStyle-Picked-upQuantity,NewStyle-UnpickedSKU,NewStyle-UnclaimedQuantity,NewStyle-WarehouseQuantity,NewStyle-StoreQuantity,NewStyle-ShippingQuantity,NewStyle-SalesQuantity,ReservedItems-CountItem:ProductNumber\ColorCode,SumItem:OrderQuantity,SumItem:PickedSKU,SumItem:QuantityPickedUp,SumItem:UnpulledSKU,SumItem:UnpulledQuantity,SumItem:WarehouseQuantity,SumItem:StoreQuantity,SumItem:DeliveryQuantity,SumItem:SalesQuantity,Sell-throughrate,Stock-to-salesratio
Underwear,Spring and Summer Home,7,542,7.0,324.0,,218,167.0,352.0,432.0,72.0,2.0,52.0,2.0,52.0,,,9,36.0,51.0,7.0,5.0,490.0,5.0,272.0,,218.0,158.0,316.0,381.0,65.0,13%,27.0
,Combed Cotton Lycra,4,192,2.0,96.0,2.0,96,48.0,46.0,47.0,1.0,4.0,192.0,2.0,96.0,2.0,96.0,48,46.0,47.0,1.0,,,,,,,,,,,1%,307.0
,High-count mercerized cotton brocade,6,163,6.0,74.0,,89,173.0,129.0,137.0,8.0,,,,,,,,,,,6.0,163.0,6.0,74.0,,89.0,173.0,129.0,137.0,8.0,5%,125.0
,Cotton Modal,6,2230,6.0,2122.0,,108,242.0,1595.0,1884.0,264.0,6.0,2230.0,6.0,2122.0,,108.0,242,1595.0,1884.0,264.0,,,,,,,,,,,12%,26.0
,Special Offer Items,4,5300,4.0,4462.0,,838,1087.0,2391.0,3525.0,954.0,4.0,5300.0,4.0,4462.0,,838.0,1087,2391.0,3525.0,954.0,,,,,,,,,,,18%,15.0
,Underwear,14,2488,9.0,1298.0,5.0,1190,819.0,1540.0,920.0,104.0,6.0,1770.0,3.0,810.0,3.0,960.0,33,727.0,777.0,50.0,8.0,718.0,6.0,488.0,2.0,230.0,786.0,813.0,143.0,54.0,4%,77.0
,Underwear Accessories,7,390,7.0,168.0,,222,232.0,63.0,2.0,4.0,,,,,,,,,,,7.0,390.0,7.0,168.0,,222.0,232.0,63.0,2.0,4.0,1%,242.0
Underwear Summary,,48,11305,41.0,8544.0,7.0,2761,2768.0,6116.0,6947.0,1407.0,22.0,9544.0,17.0,7542.0,5.0,2002.0,1419,4795.0,6284.0,1276.0,26.0,1761.0,24.0,1002.0,2.0,759.0,1349.0,1321.0,663.0,131.0,12%,24.0
Indoor Sports,Sports Bra,6,600,3.0,196.0,3.0,404,94.0,160.0,185.0,107.0,,,,,,,,,,,6.0,600.0,3.0,196.0,3.0,404.0,94.0,160.0,185.0,107.0,18%,11.0
,Running,14,390,6.0,164.0,8.0,226,18.0,113.0,137.0,34.0,14.0,390.0,6.0,164.0,8.0,226.0,18,113.0,137.0,34.0,,,,,,,,,,,9%,16.0
,Comfortable,15,470,14.0,439.0,1.0,31,130.0,263.0,348.0,75.0,15.0,470.0,14.0,439.0,1.0,31.0,130,263.0,348.0,75.0,,,,,,,,,,,16%,20.0
