"PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-Province","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-YuanpeiProgram","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-YuanpeiProgram.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-YuanpeiProgram.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-Mathematics","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-Mathematics.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-Mathematics.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-EconomicsandBusinessAdministration","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-EconomicsandBusinessAdministration.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-EconomicsandBusinessAdministration.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-BiologyClass","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-BiologyClass.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-BiologyClass.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-BusinessAdministrationandManagement","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-BusinessAdministrationandManagement.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-BusinessAdministrationandManagement.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-InternationalPolitics","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-InternationalPolitics.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-InternationalPolitics.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-PhysicsandEngineeringSciences","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-PhysicsandEngineeringSciences.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-PhysicsandEngineeringSciences.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-Chemistry","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-Chemistry.1","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-Chemistry.2","PekingUniversityMainCampus2008Provincial(AutonomousRegions,MunicipalitiesDirectlyUndertheCentralGovernment)MajorAdmissionScoreLines(Science)-PsychologyClass",PsychologyClass,PsychologyClass.1,Law,Law.1,Law.2,EarthandSpaceSciences,EarthandSpaceSciences.1,EarthandSpaceSciences.2,NewsandCommunicationMajor,NewsandCommunicationMajor.1,NewsandCommunicationMajor.2,ElectronicsandInformationEngineering,ElectronicsandInformationEngineering.1,ElectronicsandInformationEngineering.2,English,English.1,English.2,EnvironmentalScience,EnvironmentalScience.1,EnvironmentalScience.2,EnvironmentalScience(EnvironmentalScienceandEngineering),EnvironmentalScience(EnvironmentalScienceandEngineering).1,EnvironmentalScience(EnvironmentalScienceandEngineering).2,InformationManagementandInformationSystem,InformationManagementandInformationSystem.1,InformationManagementandInformationSystem.2,EngineeringSciences,EngineeringSciences.1,EngineeringSciences.2,PublicAdministration,PublicAdministration.1,PublicAdministration.2,ChineseLanguageandLiterature,ChineseLanguageandLiterature.1,ChineseLanguageandLiterature.2,Archaeology,Archaeology.1,Archaeology.2,PhilosophyandRelatedDisciplines,PhilosophyandRelatedDisciplines.1,PhilosophyandRelatedDisciplines.2,Astronomy,Astronomy.1,Astronomy.2,Geology,Geology.1,Geology.2,Province
,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,
Anhui Province,687,668,678,672,672,672,694,678,687,672,672,672,,,,,,,665,663,664,,,,,,,669,663,665,,,,,,,676,664,667,,,,664,661,663,,,,,,,664,663,663,,,,,,,,,,,,,,,,662,651,657,Anhui Province
Beijing City,690,661,667,692,678,684,684,668,674,700,660,675,691,670,678,686,652,670,690,655,669,694,652,664,669,662,665,682,665,671,654,643,650,685,655,665,677,632,656,684,652,667,666,649,658,658,645,651,654,631,644,665,632,650,665,650,658,669,639,654,654,654,654,,,,651,651,651,637,635,636,Beijing City
Fujian Province,662,656,660,666,656,661,,,,657,640,649,674,664,669,,,,634,634,634,641,633,637,,,,,,,,,,,,,657,634,649,,,,655,637,646,,,,,,,,,,,,,,,,,,,649,649,649,,,,,,,Fujian Province
Gansu Province,685,661,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gansu Province
Guangdong Province,688,676,682,672,667,670,683,673,679,,,,677,677,677,,,,667,667,667,668,650,657,668,668,668,666,657,662,,,,,,,673,665,668,,,,668,668,668,,,,,,,665,665,665,,,,,,,,,,,,,,,,,,,Guangdong Province
Guangxi Autonomous Region,645,645,645,,,,642,642,642,634,621,628,669,650,660,,,,614,614,614,,,,,,,,,,,,,,,,644,617,629,,,,,,,,,,634,634,634,615,615,615,,,,,,,,,,,,,,,,,,,Guangxi Autonomous Region
Guizhou Province,664,662,663,662,662,662,,,,666,665,666,694,666,680,,,,681,662,669,,,,,,,,,,,,,,,,678,656,666,,,,665,665,665,,,,,,,,,,,,,,,,,,,,,,,,,654,638,648,Guizhou Province
Hainan Province,,,,,,,895,895,895,,,,880,880,880,,,,,,,,,,863,863,863,,,,,,,,,,868,859,864,,,,858,851,855,,,,,,,,,,,,,,,,,,,,,,,,,830,830,830,Hainan Province
Hebei Province,667,667,667,666,661,664,669,669,669,,,,,,,,,,,,,661,646,654,661,661,661,,,,,,,,,,664,661,662,,,,,,,,,,,,,661,641,652,,,,,,,,,,,,,650,650,650,650,650,650,Hebei Province
Henan Province,680,675,677,678,670,673,672,670,671,663,656,659,,,,,,,692,682,687,658,656,657,678,663,671,668,667,668,,,,,,,685,658,666,,,,667,659,662,,,,667,658,663,668,660,664,,,,659,659,659,,,,,,,659,659,659,656,656,656,Henan Province
Heilongjiang Province,693,687,690,696,693,695,700,693,697,,,,710,703,707,,,,694,691,693,690,687,689,,,,,,,,,,,,,695,685,690,,,,,,,689,685,687,,,,685,685,685,,,,,,,,,,,,,,,,,,,Heilongjiang Province
Hubei Province,710,683,697,679,659,672,677,665,672,682,652,665,706,678,689,,,,,,,672,672,672,,,,666,651,659,,,,,,,671,660,666,,,,682,668,675,,,,,,,666,662,664,,,,,,,,,,,,,,,,661,658,660,Hubei Province
Hunan Province,689,677,683,665,654,660,660,658,659,658,654,656,678,673,675,,,,663,632,652,651,640,645,650,650,650,,,,,,,,,,652,632,648,,,,652,652,652,,,,650,646,648,631,631,631,,,,,,,,,,,,,,,,,,,Hunan Province
Jilin Province,689,689,689,685,683,684,,,,688,687,683,706,698,701,,,,686,684,685,688,677,683,,,,,,,682,682,682,,,,695,687,690,,,,,,,688,678,683,,,,,,,,,,686,682,684,,,,,,,,,,,,,Jilin Province
Jiangsu Province,,,,,,,420,419,419,425,425,425,429,429,429,,,,417,415,416,417,414,415,,,,,,,,,,,,,417,415,415,,,,416,415,416,,,,,,,415,414,415,,,,,,,,,,,,,419,414,417,414,414,414,Jiangsu Province
Jiangxi Province,663,646,655,635,631,633,639,636,638,639,635,637,672,672,672,,,,683,683,683,650,650,650,,,,,,,,,,,,,640,631,633,,,,631,631,631,,,,,,,632,631,631,,,,,,,,,,,,,629,629,629,630,620,628,Jiangxi Province
Liaoning Province,684,674,677,667,665,666,681,674,678,663,663,663,692,690,691,,,,671,663,667,667,667,667,664,653,660,,,,,,,,,,676,663,669,,,,672,666,669,,,,,,,668,653,662,,,,,,,,,,,,,,,,,,,Liaoning Province
Inner Mongolia,673,673,673,,,,672,668,670,659,658,659,,,,,,,689,689,689,652,652,652,,,,,,,,,,,,,664,657,661,,,,668,652,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inner Mongolia
Ningxia Autonomous Region,662,655,659,,,,671,671,671,668,652,661,,,,,,,,,,654,654,654,,,,,,,,,,,,,672,672,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ningxia Autonomous Region
